"date","river","site_code","parameter","value","unit"
"2019-04-03","","CH-R1","water_temp","45.4","°F"
"2019-04-03","","CH-R1","DO%","81.5","% Saturation"
"2019-04-03","","CH-R1","DO","9.75","mg/L"
"2019-04-03","","CH-R1","Sp. Cond.","93.1","µS/cm"
"2019-04-03","","CH-R1","pH","6.32",""
"2019-04-03","","CH-R1","DOC_mgl","2.598","mg/L"
"2019-04-03","","CH-R1","TDN_mgl","0.887","mg N/L"
"2019-04-03","","CH-R1","NO3_mgl","0.745940693","mg N/L"
"2019-04-03","","CH-R1","NH4_mgl","0.015937947","mg N/L"
"2019-04-03","","CH-R1","PO4_ugl","5.4827","µg P/L"
"2019-04-03","","CH-R1","Si_mgl","0.688","mg SiO2/L"
"2019-04-10","","CH-R1","water_temp","46.9","°F"
"2019-04-10","","CH-R1","DO%","84","% Saturation"
"2019-04-10","","CH-R1","DO","9.89","mg/L"
"2019-04-10","","CH-R1","Sp. Cond.","120.7","µS/cm"
"2019-04-10","","CH-R1","pH","5.56",""
"2019-04-10","","CH-R1","DOC_mgl","2.625","mg/L"
"2019-04-10","","CH-R1","TDN_mgl","0.788","mg N/L"
"2019-04-10","","CH-R1","NO3_mgl","0.680874084","mg N/L"
"2019-04-10","","CH-R1","NH4_mgl","0.068028353","mg N/L"
"2019-04-10","","CH-R1","PO4_ugl","3.606","µg P/L"
"2019-04-10","","CH-R1","Si_mgl","1.32","mg SiO2/L"
"2019-04-17","","CH-R1","water_temp","49.6","°F"
"2019-04-17","","CH-R1","DO%","86.6","% Saturation"
"2019-04-17","","CH-R1","DO","9.83","mg/L"
"2019-04-17","","CH-R1","Sp. Cond.","118.6","µS/cm"
"2019-04-17","","CH-R1","pH","6.99",""
"2019-04-17","","CH-R1","DOC_mgl","2.167","mg/L"
"2019-04-17","","CH-R1","TDN_mgl","0.733","mg N/L"
"2019-04-17","","CH-R1","NO3_mgl","0.674689812","mg N/L"
"2019-04-17","","CH-R1","NH4_mgl","0.067939394","mg N/L"
"2019-04-17","","CH-R1","PO4_ugl","3.3671","µg P/L"
"2019-04-17","","CH-R1","Si_mgl","0.217","mg SiO2/L"
"2019-04-24","","CH-R1","water_temp","52.9","°F"
"2019-04-24","","CH-R1","DO%","85.8","% Saturation"
"2019-04-24","","CH-R1","DO","9.33","mg/L"
"2019-04-24","","CH-R1","Sp. Cond.","113.1","µS/cm"
"2019-04-24","","CH-R1","pH","7.81",""
"2019-04-24","","CH-R1","DOC_mgl","2.306","mg/L"
"2019-04-24","","CH-R1","TDN_mgl","0.6479","mg N/L"
"2019-04-24","","CH-R1","NO3_mgl","0.591889","mg N/L"
"2019-04-24","","CH-R1","NH4_mgl","0.007","mg N/L"
"2019-04-24","","CH-R1","PO4_ugl","3.681395","µg P/L"
"2019-04-24","","CH-R1","Si_mgl","0.047543","mg SiO2/L"
"2019-05-01","","CH-R1","water_temp","50.8","°F"
"2019-05-01","","CH-R1","DO%","89.1","% Saturation"
"2019-05-01","","CH-R1","DO","9.95","mg/L"
"2019-05-01","","CH-R1","Sp. Cond.","119.9","µS/cm"
"2019-05-01","","CH-R1","pH","6.94",""
"2019-05-01","","CH-R1","DOC_mgl","2.218","mg/L"
"2019-05-01","","CH-R1","TDN_mgl","0.6793","mg N/L"
"2019-05-01","","CH-R1","NO3_mgl","0.611242","mg N/L"
"2019-05-01","","CH-R1","NH4_mgl","0.008","mg N/L"
"2019-05-01","","CH-R1","PO4_ugl","2.172625","µg P/L"
"2019-05-01","","CH-R1","Si_mgl","0.197492","mg SiO2/L"
"2019-05-08","","CH-R1","water_temp","55.6","°F"
"2019-05-08","","CH-R1","DO%","88.3","% Saturation"
"2019-05-08","","CH-R1","DO","9.28","mg/L"
"2019-05-08","","CH-R1","Sp. Cond.","120.3","µS/cm"
"2019-05-08","","CH-R1","pH","5.98",""
"2019-05-08","","CH-R1","DOC_mgl","2.812","mg/L"
"2019-05-08","","CH-R1","TDN_mgl","0.6888","mg N/L"
"2019-05-08","","CH-R1","NO3_mgl","0.554229","mg N/L"
"2019-05-08","","CH-R1","NH4_mgl","0.002","mg N/L"
"2019-05-08","","CH-R1","PO4_ugl","2.919254","µg P/L"
"2019-05-08","","CH-R1","Si_mgl","0.132265","mg SiO2/L"
"2019-05-15","","CH-R1","water_temp","52.3","°F"
"2019-05-15","","CH-R1","DO%","89.7","% Saturation"
"2019-05-15","","CH-R1","DO","9.81","mg/L"
"2019-05-15","","CH-R1","Sp. Cond.","77.9","µS/cm"
"2019-05-15","","CH-R1","pH","8.24",""
"2019-05-15","","CH-R1","DOC_mgl","2.425","mg/L"
"2019-05-15","","CH-R1","TDN_mgl","0.5921","mg N/L"
"2019-05-15","","CH-R1","NO3_mgl","0.572292","mg N/L"
"2019-05-15","","CH-R1","NH4_mgl","0.006","mg N/L"
"2019-05-15","","CH-R1","PO4_ugl","2.99111","µg P/L"
"2019-05-15","","CH-R1","Si_mgl","0.088965","mg SiO2/L"
"2019-05-22","","CH-R1","water_temp","57.4","°F"
"2019-05-22","","CH-R1","DO%","88.3","% Saturation"
"2019-05-22","","CH-R1","DO","9.08","mg/L"
"2019-05-22","","CH-R1","Sp. Cond.","112.8","µS/cm"
"2019-05-22","","CH-R1","pH","5.95",""
"2019-05-22","","CH-R1","DOC_mgl","2.283","mg/L"
"2019-05-22","","CH-R1","TDN_mgl","0.68","mg N/L"
"2019-05-22","","CH-R1","NO3_mgl","0.608959","mg N/L"
"2019-05-22","","CH-R1","NH4_mgl","0.005","mg N/L"
"2019-05-22","","CH-R1","PO4_ugl","3.210979","µg P/L"
"2019-05-22","","CH-R1","Si_mgl","0.082699","mg SiO2/L"
"2019-05-29","","CH-R1","water_temp","58.9","°F"
"2019-05-29","","CH-R1","DO%","81","% Saturation"
"2019-05-29","","CH-R1","DO","8.17","mg/L"
"2019-05-29","","CH-R1","Sp. Cond.","126.9","µS/cm"
"2019-05-29","","CH-R1","pH","5.96",""
"2019-05-29","","CH-R1","DOC_mgl","2.932","mg/L"
"2019-05-29","","CH-R1","TDN_mgl","0.7226","mg N/L"
"2019-05-29","","CH-R1","NO3_mgl","0.604934","mg N/L"
"2019-05-29","","CH-R1","NH4_mgl","0.009","mg N/L"
"2019-05-29","","CH-R1","PO4_ugl","3.262274","µg P/L"
"2019-05-29","","CH-R1","Si_mgl","0.21258","mg SiO2/L"
"2019-06-05","","CH-R1","water_temp","61.7","°F"
"2019-06-05","","CH-R1","DO%","78.5","% Saturation"
"2019-06-05","","CH-R1","DO","7.67","mg/L"
"2019-06-05","","CH-R1","Sp. Cond.","123.6","µS/cm"
"2019-06-05","","CH-R1","pH","5.81",""
"2019-06-05","","CH-R1","DOC_mgl","2.0007","mg/L"
"2019-06-05","","CH-R1","TDN_mgl","0.6964","mg N/L"
"2019-06-05","","CH-R1","NO3_mgl","0.667","mg N/L"
"2019-06-05","","CH-R1","NH4_mgl","0.075","mg N/L"
"2019-06-05","","CH-R1","PO4_ugl","1.47","µg P/L"
"2019-06-05","","CH-R1","Si_mgl","0.338","mg SiO2/L"
"2019-06-12","","CH-R1","water_temp","62.7","°F"
"2019-06-12","","CH-R1","DO%","79.6","% Saturation"
"2019-06-12","","CH-R1","DO","7.68","mg/L"
"2019-06-12","","CH-R1","Sp. Cond.","121","µS/cm"
"2019-06-12","","CH-R1","pH","5.64",""
"2019-06-12","","CH-R1","DOC_mgl","3.748","mg/L"
"2019-06-12","","CH-R1","TDN_mgl","0.6937","mg N/L"
"2019-06-12","","CH-R1","NO3_mgl","0.563836","mg N/L"
"2019-06-12","","CH-R1","NH4_mgl","0.045","mg N/L"
"2019-06-12","","CH-R1","PO4_ugl","4.475242","µg P/L"
"2019-06-12","","CH-R1","Si_mgl","0.327738","mg SiO2/L"
"2019-06-19","","CH-R1","water_temp","65.2","°F"
"2019-06-19","","CH-R1","DO%","80.8","% Saturation"
"2019-06-19","","CH-R1","DO","7.58","mg/L"
"2019-06-19","","CH-R1","Sp. Cond.","121.1","µS/cm"
"2019-06-19","","CH-R1","pH","5.68",""
"2019-06-19","","CH-R1","DOC_mgl","2.7597","mg/L"
"2019-06-19","","CH-R1","TDN_mgl","0.6647","mg N/L"
"2019-06-19","","CH-R1","NO3_mgl","0.487","mg N/L"
"2019-06-19","","CH-R1","NH4_mgl","0.039","mg N/L"
"2019-06-19","","CH-R1","PO4_ugl","1.5261","µg P/L"
"2019-06-19","","CH-R1","Si_mgl","0.375","mg SiO2/L"
"2019-06-26","","CH-R1","water_temp","68.3","°F"
"2019-06-26","","CH-R1","DO%","91.6","% Saturation"
"2019-06-26","","CH-R1","DO","7.39","mg/L"
"2019-06-26","","CH-R1","Sp. Cond.","116.4","µS/cm"
"2019-06-26","","CH-R1","pH","5.99",""
"2019-06-26","","CH-R1","DOC_mgl","2.9159","mg/L"
"2019-06-26","","CH-R1","TDN_mgl","0.6199","mg N/L"
"2019-06-26","","CH-R1","NO3_mgl","0.436","mg N/L"
"2019-06-26","","CH-R1","NH4_mgl","0.03","mg N/L"
"2019-06-26","","CH-R1","PO4_ugl","1.4933","µg P/L"
"2019-06-26","","CH-R1","Si_mgl","0.422","mg SiO2/L"
"2019-07-03","","CH-R1","water_temp","70.1","°F"
"2019-07-03","","CH-R1","DO%","79.3","% Saturation"
"2019-07-03","","CH-R1","DO","7.04","mg/L"
"2019-07-03","","CH-R1","Sp. Cond.","120","µS/cm"
"2019-07-03","","CH-R1","pH","5.24",""
"2019-07-03","","CH-R1","DOC_mgl","3.5227","mg/L"
"2019-07-03","","CH-R1","TDN_mgl","0.7","mg N/L"
"2019-07-03","","CH-R1","NO3_mgl","0.452","mg N/L"
"2019-07-03","","CH-R1","NH4_mgl","0.037","mg N/L"
"2019-07-03","","CH-R1","PO4_ugl","1.2316","µg P/L"
"2019-07-03","","CH-R1","Si_mgl","0.429","mg SiO2/L"
"2019-07-10","","CH-R1","water_temp","71.3","°F"
"2019-07-10","","CH-R1","DO%","79.5","% Saturation"
"2019-07-10","","CH-R1","DO","6.96","mg/L"
"2019-07-10","","CH-R1","Sp. Cond.","117.5","µS/cm"
"2019-07-10","","CH-R1","pH","5.62",""
"2019-07-10","","CH-R1","DOC_mgl","2.329","mg/L"
"2019-07-10","","CH-R1","TDN_mgl","0.628688","mg N/L"
"2019-07-10","","CH-R1","NO3_mgl","0.401","mg N/L"
"2019-07-10","","CH-R1","NH4_mgl","0.0489","mg N/L"
"2019-07-10","","CH-R1","PO4_ugl","1.924417","µg P/L"
"2019-07-10","","CH-R1","Si_mgl","0.227206","mg SiO2/L"
"2019-07-17","","CH-R1","water_temp","75.3","°F"
"2019-07-17","","CH-R1","DO%","79.4","% Saturation"
"2019-07-17","","CH-R1","DO","6.66","mg/L"
"2019-07-17","","CH-R1","Sp. Cond.","119.1","µS/cm"
"2019-07-17","","CH-R1","pH","5.51",""
"2019-07-17","","CH-R1","DOC_mgl","2.006","mg/L"
"2019-07-17","","CH-R1","TDN_mgl","0.527162","mg N/L"
"2019-07-17","","CH-R1","NO3_mgl","0.3603","mg N/L"
"2019-07-17","","CH-R1","NH4_mgl","0.036","mg N/L"
"2019-07-17","","CH-R1","PO4_ugl","1.720334","µg P/L"
"2019-07-17","","CH-R1","Si_mgl","0.177912","mg SiO2/L"
"2019-07-24","","CH-R1","water_temp","71.5","°F"
"2019-07-24","","CH-R1","DO%","82","% Saturation"
"2019-07-24","","CH-R1","DO","7.17","mg/L"
"2019-07-24","","CH-R1","Sp. Cond.","115.2","µS/cm"
"2019-07-24","","CH-R1","pH","6.31",""
"2019-07-24","","CH-R1","DOC_mgl","2.549","mg/L"
"2019-07-24","","CH-R1","TDN_mgl","0.494748","mg N/L"
"2019-07-24","","CH-R1","NO3_mgl","0.3173","mg N/L"
"2019-07-24","","CH-R1","NH4_mgl","0.0356","mg N/L"
"2019-07-24","","CH-R1","PO4_ugl","2.093964","µg P/L"
"2019-07-24","","CH-R1","Si_mgl","0.210661","mg SiO2/L"
"2019-07-31","","CH-R1","water_temp","76.82","°F"
"2019-07-31","","CH-R1","DO%","77.5","% Saturation"
"2019-07-31","","CH-R1","DO","6.42","mg/L"
"2019-07-31","","CH-R1","Sp. Cond.","116.5","µS/cm"
"2019-07-31","","CH-R1","pH","6.54",""
"2019-07-31","","CH-R1","DOC_mgl","3.655","mg/L"
"2019-07-31","","CH-R1","TDN_mgl","0.664361","mg N/L"
"2019-07-31","","CH-R1","NO3_mgl","0.287","mg N/L"
"2019-07-31","","CH-R1","NH4_mgl","0.032","mg N/L"
"2019-07-31","","CH-R1","PO4_ugl","1.670098","µg P/L"
"2019-07-31","","CH-R1","Si_mgl","0.258515","mg SiO2/L"
"2019-08-07","","CH-R1","water_temp","74.48","°F"
"2019-08-07","","CH-R1","DO%","82.9","% Saturation"
"2019-08-07","","CH-R1","DO","7.02","mg/L"
"2019-08-07","","CH-R1","Sp. Cond.","123.8","µS/cm"
"2019-08-07","","CH-R1","pH","7.43",""
"2019-08-07","","CH-R1","DOC_mgl","4.265","mg/L"
"2019-08-07","","CH-R1","TDN_mgl","0.556409","mg N/L"
"2019-08-07","","CH-R1","NO3_mgl","0.2728","mg N/L"
"2019-08-07","","CH-R1","NH4_mgl","0.036","mg N/L"
"2019-08-07","","CH-R1","PO4_ugl","1.428338","µg P/L"
"2019-08-07","","CH-R1","Si_mgl","0.248766","mg SiO2/L"
"2019-08-14","","CH-R1","DOC_mgl","3.467","mg/L"
"2019-08-14","","CH-R1","TDN_mgl","0.633252","mg N/L"
"2019-08-14","","CH-R1","NO3_mgl","0.3435","mg N/L"
