 ,HUC8,Fig2a_WetlandDensity,Fig2b_PercentNRemoval,Fig2c_NSurplus,Fig2d_EstNRemoval,,,,
1,1010002,0.058590708,0.246728584,1.623849,0.198939209,,,,
2,1010003,0.090100689,0.337603779,4.365647,0.721573927,,,,
3,1010004,0.108124854,0.369333247,8.175619,1.47788653,,,,
4,1010005,0.142439708,0.412268371,7.970005,1.624672548,,,,
5,1010006,0.10911345,0.372959013,1.598004,0.300307418,,,,
6,1010007,0.084193469,0.325230804,1.369447,0.216701588,,,, 
7,1010008,0.058398478,0.243582898,2.568682,0.303861138,,,,
8,1010009,0.112194427,0.368313544,6.694975,1.184252222,,,,
9,1010010,0.157669167,0.41606477,15.718136,3.208216544,,,,
10,1010011,0.268570688,0.488615871,0.580432,0.136425366,,,,
11,1020001,0.090719035,0.326396848,1.762616,0.28440354,,,,
12,1020002,0.102606063,0.358205706,1.702712,0.293706616,,,,
13,1020003,0.167445462,0.4367632,1.589758,0.328726842,,,,
14,1020004,0.099307243,0.35446784,1.753625,0.304952696,,,,
15,1020005,0.157977464,0.427438402,6.274039,1.328632126,,,,
16,1030001,0.075838167,0.294034411,1.809197,0.260354351,,,,
17,1030002,0.063882818,0.257136779,1.93029,0.2499792,,,,
18,1030003,0.099546646,0.356378302,7.064852,1.211626467,,,,
19,1040001,0.064894659,0.267696669,2.312832,0.308350483,,,,
20,1040002,0.069223658,0.288055035,4.364668,0.606582072,,,,
21,1050001,0.122372687,0.38724752,1.463718,0.272405866,,,,
22,1050002,0.152395754,0.41079099,2.675912,0.534695114,,,,
23,1050003,0.171888228,0.427265464,1.764932,0.37175911,,,,
24,1050004,0.144682891,0.404786465,1.45515,0.297177179,,,,
25,1060001,0.117893197,0.378805174,8.025815,1.469369106,,,,
26,1060002,0.099905527,0.347899791,8.478846,1.442477361,,,,
27,1060003,0.227678016,0.45036108,2.244513,0.502496041,,,,
28,1070001,0.027665802,0.118045498,2.864047,0.166284506,,,,
29,1070002,0.048020999,0.198256116,2.71383,0.270701586,,,,
30,1070003,0.068395146,0.280650704,2.809571,0.387614243,,,,
31,1070004,0.109980654,0.364671824,3.053658,0.549170275,,,,
32,1070005,0.14099994,0.393356566,3.001482,0.599660494,,,,
33,1070006,0.119132107,0.376488063,2.785403,0.525829064,,,,
34,1080101,0.081722049,0.320834775,4.795487,0.742750725,,,,
35,1080102,0.045435228,0.192481039,7.866092,0.743832051,,,,
36,1080103,0.054123744,0.227219526,8.241209,0.924967698,,,,
37,1080104,0.050320361,0.216756197,2.781917,0.295264576,,,,
38,1080105,0.024570198,0.10492348,10.181296,0.519794822,,,,
39,1080106,0.048415747,0.206421676,4.447334,0.458591245,,,,
40,1080107,0.05099926,0.213211204,3.474996,0.368589143,,,,
41,1080201,0.08883926,0.329387177,10.705662,1.708908148,,,,
42,1080202,0.145184398,0.405119113,3.104927,0.626757973,,,,
43,1080203,0.058239445,0.239447801,9.946706,1.158710162,,,,
44,1080204,0.084998592,0.321740267,12.188844,1.930073878,,,,
45,1080205,0.108912375,0.36475465,15.265564,2.813612567,,,,
46,1080206,0.067903618,0.275005079,3.094683,0.417287628,,,,
47,1080207,0.092577537,0.332784982,3.268414,0.531059271,,,,
48,1090001,0.17892896,0.44497619,9.354249,2.046333618,,,,
49,1090002,0.198139788,0.446501071,5.033842,1.126684778,,,,
50,1090003,0.124013471,0.379889068,3.16181,0.590362357,,,,
51,1090004,0.173474955,0.426389781,8.59221,1.775281535,,,,
52,1090005,0.176677528,0.428867043,2.568845,0.552279743,,,,
53,1100001,0.152705856,0.410018274,8.761716,1.819177464,,,,
54,1100002,0.078665857,0.290142629,3.208703,0.47129942,,,,
55,1100003,0.09694701,0.337730463,2.908216,0.495275172,,,,
56,1100004,0.092038458,0.328516532,3.034122,0.492035213,,,,
57,1100005,0.079034856,0.303700692,7.364915,1.091232684,,,,
58,1100006,0.063878425,0.264974739,3.298639,0.424548746,,,,
59,2020001,0.083725862,0.315495623,2.795366,0.442130134,,,,
60,2020002,0.075809295,0.293819952,3.829223,0.555848539,,,,
61,2020003,0.074799569,0.288338116,11.715785,1.677322498,,,,
62,2020004,0.064244462,0.263510055,14.207365,1.846395954,,,,
63,2020005,0.032241409,0.137433568,6.695031,0.450580465,,,,
64,2020006,0.067423542,0.279776641,7.31762,0.99703789,,,,
65,2020007,0.110561304,0.364595511,9.197745,1.660940971,,,,
66,2020008,0.083611751,0.318500886,4.814986,0.757709474,,,,
67,2030101,0.054607845,0.22866067,3.874463,0.436410826,,,,
68,2030102,0.017574578,0.074107476,3.599751,0.129652539,,,,
69,2030103,0.125837424,0.388118386,3.971139,0.754228706,,,,
