ID,Warehouse_vintage,Datayear,QCStatus,QCDate,Projname,Watershed,SARIS_PALIS_CAMIS,Waterbody,UNIQUE_ID,DESCRIPTOR,MLTYP_NAME,Latitude,Longitude,FSLOG,SURV_TYPE,OWMID,QAQC,QAQCType,StartDate,StartTime,FLOWSTAT,DWM_Name,DWM_Units,ResVal,nResult,DWMQual,DWM_Method,ResComm
419542,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3522150,Millers River,W0690,"[at USGS flow gaging station #01166500 near Bridge Street/Farley Road, Erving/Wendell]",River/Stream,42.59751119,-72.43783955,05-N001-01,River,SM-1119,,Routine Sample,1/18/2005,9:50:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.16,0.16,h,EPA 353.1,
419543,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3522150,Millers River,W0690,"[at USGS flow gaging station #01166500 near Bridge Street/Farley Road, Erving/Wendell]",River/Stream,42.59751119,-72.43783955,05-N001-01,River,SM-1119,,Routine Sample,1/18/2005,9:50:00 AM,Flowing,Total Nitrogen,mg/L,##,,"d, h",USGS I-4650-03,
419546,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3523800,Otter River,W0691,"[Turner Street, Templeton (near USGS flow gaging station #01163200)]",River/Stream,42.58812535,-72.04099473,05-N001-02,River,SM-1120,SM-1121,Duplicate,1/18/2005,10:50:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.48,0.48,h,EPA 353.1,
419547,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3523800,Otter River,W0691,"[Turner Street, Templeton (near USGS flow gaging station #01163200)]",River/Stream,42.58812535,-72.04099473,05-N001-02,River,SM-1120,SM-1121,Duplicate,1/18/2005,10:50:00 AM,Flowing,Total Nitrogen,mg/L,1,1,h,USGS I-4650-03,
419550,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3522150,Millers River,W0692,"[south of Blossom Street, approximately 450 feet west of King Street at USGS flow gaging station #01164000, Royalston]",River/Stream,42.62969793,-72.15035652,05-N001-03,River,SM-1122,,Routine Sample,1/18/2005,11:30:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.12,0.12,h,EPA 353.1,
419551,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3522150,Millers River,W0692,"[south of Blossom Street, approximately 450 feet west of King Street at USGS flow gaging station #01164000, Royalston]",River/Stream,42.62969793,-72.15035652,05-N001-03,River,SM-1122,,Routine Sample,1/18/2005,11:30:00 AM,Flowing,Total Nitrogen,mg/L,0.4,0.4,h,USGS I-4650-03,
419554,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3524150,Priest Brook,W0693,"[Winchendon Road, Royalston (at USGS flow gaging station #01162500)]",River/Stream,42.68279648,-72.11503734,05-N001-04,River,SM-1123,,Routine Sample,1/18/2005,12:05:00 PM,Flowing,Nitrate/Nitrite-N,mg/L,<0.02,-0.02,h,EPA 353.1,
419555,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Millers (2005),Millers,3524150,Priest Brook,W0693,"[Winchendon Road, Royalston (at USGS flow gaging station #01162500)]",River/Stream,42.68279648,-72.11503734,05-N001-04,River,SM-1123,,Routine Sample,1/18/2005,12:05:00 PM,Flowing,Total Nitrogen,mg/L,0.24,0.24,h,USGS I-4650-03,
419574,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Concord (2005),Concord (SuAsCo),8246500,Concord River,W0679,"[at USGS flow gaging station #01099500 downstream of Rogers Street, Lowell]",River/Stream,42.63670884,-71.3017484,05-J001-05,River,SM-1131,,Routine Sample,1/19/2005,11:50:00 AM,Flowing,Nitrate/Nitrite-N,mg/L,0.68,0.68,h,EPA 353.1,
419575,Extracted from WPP_WQData_2005-2020.mdb on 6/30/2022 3:25:38 PM,2005,QC4,10-Jan-18,SMART: Concord (2005),Concord (SuAsCo),8246500,Concord River,W0679,"[at USGS flow gaging station #01099500 downstream of Rogers Street, Lowell]",River/Stream,42.63670884,-71.3017484,05-J001-05,River,SM-1131,,Routine Sample,1/19/2005,11:50:00 AM,Flowing,Total Nitrogen,mg/L,##,,"b, h",USGS I-4650-03,
