ID_label,State/Country,Lat,Long,Time of study,Air temp (oC),Prec. (mm/yr),Climate Zone,Q,HLR (m/yr),Water regime,TN in (mg/l),TP in (mg/l),ID_label2,Wetland type,Inflow type,Area (m2),HRT_est,Age (yr),Wetland history,Vegetation type,ID_label3,TN loading rate (g/m2/yr),std,TN removal rate (g/m2/yr),std4,TN removal efficieny (%),std5,n,TP loading rate (g/m2/yr),std6,TP removal rate (g/m2/yr),std7,TP removal efficieny (%),std8,n9,K_TN,K_TN_HRT
Rushton et al. (2001) Stormwater detention ponds,"Florida, USA",27.686,-82.5,1997-1998,22.475,1244,Cfa,,0.000160701,"Intermittent, variable",1.3615,1.3995,Rushton et al. (2001) Stormwater detention ponds,Free Water Surface,Agricultural runoff,57000,23.17714688,#N/A,"Created, formerly other land use",Unspecified,Rushton et al. (2001) Stormwater detention ponds,#N/A,#N/A,#N/A,#N/A,46.47769828,9.067794231,2,#N/A,#N/A,#N/A,#N/A,75.04774594,8.236232769,2,0.007469013,2.005324405
Clausen et al. (2000) Muddy Brook Riparian Buffer,"Connecticut, USA",41.924,-72.483,1995-1996,9.175,1157,Dfb,,0.000848734,Precipitation-driven,3.17,#N/A,Clausen et al. (2000) Muddy Brook Riparian Buffer,Riparian,Agricultural runoff,625,7.5,1,"Restored, formerly drained cropland",Trees,Clausen et al. (2000) Muddy Brook Riparian Buffer,106.7927198,3.687251048,47.71991758,4.695072471,44.78721102,5.942810888,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.038012429,#N/A
Ardon et al. (2010) Timberlake,"North Carolina, USA",35.906,-76.157,2007-2009,16.13333333,1282,Cfa,,0.002455125,Precipitation-driven,#N/A,0.0725,Ardon et al. (2010) Timberlake,Free Water Surface,Agricultural runoff,4400000,68.69963476,0,"Restored, formerly cropland",Trees,Ardon et al. (2010) Timberlake,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.026636364,0.00764961,-0.003534091,0.01611882,-4.7753884,59.14291504,2,#N/A,-0.069511118
Dolan et al. (1981) Plot C,"Florida, USA",28.560987,-81.779527,1977-1978,21.82916667,1261,Cfa,,0.005409993,"Intermittent, constant",#N/A,8.883333333,Dolan et al. (1981) Plot C,Free Water Surface,Sec. Domestic Wastewater,2000,10.03110457,0,"Restored, formerly other land use",Emergent,Dolan et al. (1981) Plot C,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.481597222,#N/A,0.253472222,#N/A,52.63157895,#N/A,1,#N/A,5.246837829
Kieckbusch & Schrautzer (2007) East polder,Germany,54.24,10.233,2000-2004,8.029166667,740,Cfb,,0.005886877,Precipitation-driven,#N/A,#N/A,Kieckbusch & Schrautzer (2007) East polder,Free Water Surface,River/Lake water,220000,32.48605156,#N/A,"Restored, formerly drained cropland",Filamentous algae,Kieckbusch & Schrautzer (2007) East polder,51.1,38.67802994,4.6,7.856207737,8.666666667,11.93035345,3,2.466666667,2.478574859,-1.166666667,0.986576572,-61,38.31448812,3,0.051019601,-1.877728966
Martin et al. (2001) Boot WTS,"Florida, USA",28.105,-81.5038,1991-1998,22.35833333,1211,Cfa,,0.006108316,"continuous, variable",9.835,2.34,Martin et al. (2001) Boot WTS,Free Water Surface,Sec. Domestic Wastewater,465000,39.17008349,6,"Restored, formerly other land use",Mixed,Martin et al. (2001) Boot WTS,10.52375,3.070430112,9.46875,3.101642134,88.375,7.614600637,8,1.72,0.610479905,0.70375,0.705689885,32.125,35.23568605,8,0.539822427,0.820141218
Cook (2001) Goldsboro,"North Carolina, USA",35.3822,-78.0467,2000-2001,16.01666667,1226,Cfa,23.764545,0.00678987,"continuous, variable",115.1860337,52.68539326,Cook (2001) Goldsboro,Free Water Surface,Agricultural runoff,3500,11.53740851,<1,Not specified,Emergent,Cook (2001) Goldsboro,139.782967,#N/A,120.9026688,#N/A,86.49313384,#N/A,1,64.74882261,#N/A,25.78492936,#N/A,39.82300885,#N/A,1,0.587277135,3.451642439
Hoffmann et al. (2012) Egeskov,Denmark,55.15,10.5,2007-2009,7.9125,632,Cfb,,0.00776974,Precipitation-driven,5.145,0.0365,Hoffmann et al. (2012) Egeskov,Riparian,Agricultural runoff,6200,13.31034099,5,"Restored, formerly drained cropland",Emergent,Hoffmann et al. (2012) Egeskov,15.91147541,17.26963414,7.433469945,6.552716038,59,22.627417,2,0.093325137,0.048543074,-0.003510929,0.016248,-9.5,21.92031022,2,0.45841466,-0.713730776
Vellidis et al. (2003) Dairy Wetland,"Georgia, USA",31.49,-83.53,1992-1999,18.65,1205,Cfa,,0.007912389,Precipitation-driven,8.63,1.48,Vellidis et al. (2003) Dairy Wetland,Riparian,Agricultural runoff,10000,15,1,"Restored, formerly drained cropland",Trees,Vellidis et al. (2003) Dairy Wetland,13.91,#N/A,9.53,#N/A,68.51186197,#N/A,1,2.08,#N/A,1.54,#N/A,74.03846154,#N/A,1,0.542092503,4.935897436
Knight et al. (1985) Lake Coral,"Florida, USA",29.13,-82.09,1983-1984,20.8375,1328,Cfa,,0.010088328,"continuous, variable",19.97,6.17,Knight et al. (1985) Lake Coral,Free Water Surface,Sec. Domestic Wastewater,210000,32.11042714,5,"Created, formerly other land use",Emergent,Knight et al. (1985) Lake Coral,52.38095238,#N/A,48,#N/A,93,#N/A,1,16.66666667,#N/A,6,#N/A,31,#N/A,1,0.938214504,0.965418487
