idn,Region_MEP,Region,MEP,SiteName,Lat,Lon,Year_Start,Year_End,Dates,Pond Atten. (%),Qmeas (m3/d),Qmod (m3/d),Qdiff (%),NOX (mg/L),NH4 (mg/L),TN (mg/L),NOX:TN,Pond/Stream N Atten. Meas. (%),Notes,
1,Buzzards Bay > Acushnet > Acushnet River,Buzzards Bay,Acushnet,Acushnet River,41.681859,-70.918844,2002,2003,2002-2003,50,85415,95786,12.14189545,0.602,,1.109,0.54283138,19,,
2,Buzzards Bay > Acushnet > Acushnet River,Buzzards Bay,Acushnet,Acushnet River,41.681859,-70.918844,2003,2004,2003-2004,50,50972,95786,87.91885741,0.594,,1.185,0.501265823,48,,
3,Buzzards Bay > Acushnet > Acushnet River,Buzzards Bay,Acushnet,Acushnet River,41.681859,-70.918844,2004,2005,2004-2005,50,85149,95786,12.49221952,0.617,,1.109,0.556357078,19,,
4,Buzzards Bay > Acushnet > Acushnet River,Buzzards Bay,Acushnet,Acushnet River,41.681859,-70.918844,2005,2006,2005-2006,50,102622,95786,-6.661339674,0.577,,1.055,0.546919431,7,,
5,Buzzards Bay > Westport > Adamsville Brook,Buzzards Bay,Westport,Adamsville Brook,41.553741,-71.126612,2006,2007,2006-2007,50,46625,51413,10.2691689,0.22,,0.98,0.224489796,18,watershed boundaries not defined using mod flow,
6,Buzzards Bay > Wareham > Agawam River,Buzzards Bay,Wareham,Agawam River,41.762449,-70.676352,1999,2000,1999-2000,50,77817,78167,0.449773186,0.017,,0.439,0.038724374,8,,
7,Buzzards Bay > Westport > Angeline Brook,Buzzards Bay,Westport,Angeline Brook,41.550479,-71.104556,2006,2007,2006-2007,50,20974,18194,-13.25450558,0.93,,1.588,0.585642317,3,watershed boundaries not defined using mod flow,
8,Buzzards Bay > Slocums > Barneys Joy Creek,Buzzards Bay,Slocums,Barneys Joy Creek,41.544199,-71.008317,2003,2004,2003-2004,50,4600,4844,5.304347826,0.195,,0.614,0.317589577,1,,
9,Buzzards Bay > Slocums > Destruction Brook,Buzzards Bay,Slocums,Destruction Brook,41.56912,-71.006334,2003,2004,2003-2004,50,11380,16363,43.78734622,0.904,,1.502,0.601864181,17,,
10,Buzzards Bay > Slocums > Giles Creek,Buzzards Bay,Slocums,Giles Creek,41.5416,-71.006734,2003,2004,2003-2004,50,4993,7643,53.07430403,0.357,,0.922,0.387201735,2,,
11,Buzzards Bay > Westport > Kirby Brook,Buzzards Bay,Westport,Kirby Brook,41.596512,-71.07101,2006,2007,2006-2007,50,23149,19571,-15.4563912,0.254,,0.903,0.281284607,0.2,watershed boundaries not defined using mod flow,
12,Buzzards Bay > Nasketucket > Nasketucket River 1,Buzzards Bay,Nasketucket,Nasketucket River 1,41.640446,-70.872888,2005,2006,2005-2006,0,1989,2150,8.094519859,1.174,,1.584,0.741161616,0,*,
13,Buzzards Bay > Nasketucket > Nasketucket River 2,Buzzards Bay,Nasketucket,Nasketucket River 2,41.640767,-70.870647,2005,2006,2005-2006,0,11532,11613,0.70239334,0.401,,1.109,0.361587015,13,*,
14,Buzzards Bay > Nasketucket > Nonquit Brook,Buzzards Bay,Nasketucket,Nonquit Brook,41.636958,-70.856715,2005,2006,2005-2006,0,1504,1564,3.989361702,0.851,,1.385,0.614440433,0,*,
15,Buzzards Bay > Slocums > Paskamansett River,Buzzards Bay,Slocums,Paskamansett River,41.58557,-70.990224,2003,2004,2003-2004,50,109884,155428,41.44734447,0.259,,0.927,0.279395901,36,,
16,Buzzards Bay > Nasketucket > Shaws Cove Stream,Buzzards Bay,Nasketucket,Shaws Cove Stream,41.632585,-70.849411,2005,2006,2005-2006,0,2875,3192,11.02608696,0.256,,1.02,0.250980392,30,*,
17,Buzzards Bay > Westport > Snell Creek,Buzzards Bay,Westport,Snell Creek,41.58494,-71.074817,2006,2007,2006-2007,50,6643,8199,23.42315219,0.58,,1.158,0.500863558,6,watershed boundaries not defined using mod flow,
18,Buzzards Bay > Wareham > Wankinco River,Buzzards Bay,Wareham,Wankinco River,41.766467,-70.721733,1999,2000,1999-2000,50,71870,72688,1.138166133,0.02,,0.425,0.047058824,18,,
