# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2024-07-09 14:23:46 -04:00	(natwebcaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0110588332 MARSTONS MILLS RV, DS OUT. OF BOG, MARS. MILLS, MA
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 0110588332
#    TS_ID       Parameter Description
#    292329      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	292329_00060	292329_00060_cd
5s	15s	20d	6s	14n	10s
USGS	0110588332	2024-07-02 14:30	EDT	5.86	P
USGS	0110588332	2024-07-02 14:45	EDT	5.85	P
USGS	0110588332	2024-07-02 15:00	EDT	5.83	P
USGS	0110588332	2024-07-02 15:15	EDT	5.82	P
USGS	0110588332	2024-07-02 15:30	EDT	5.82	P
USGS	0110588332	2024-07-02 15:45	EDT	5.80	P
USGS	0110588332	2024-07-02 16:00	EDT	5.80	P
USGS	0110588332	2024-07-02 16:15	EDT	5.83	P
USGS	0110588332	2024-07-02 16:30	EDT	5.83	P
USGS	0110588332	2024-07-02 16:45	EDT	5.83	P
USGS	0110588332	2024-07-02 17:00	EDT	5.85	P
USGS	0110588332	2024-07-02 17:15	EDT	5.90	P
USGS	0110588332	2024-07-02 17:30	EDT	5.88	P
USGS	0110588332	2024-07-02 17:45	EDT	5.88	P
USGS	0110588332	2024-07-02 18:00	EDT	5.86	P
USGS	0110588332	2024-07-02 18:15	EDT	5.88	P
USGS	0110588332	2024-07-02 18:30	EDT	5.91	P
USGS	0110588332	2024-07-02 18:45	EDT	5.91	P
USGS	0110588332	2024-07-02 19:00	EDT	5.94	P
USGS	0110588332	2024-07-02 19:15	EDT	5.96	P
USGS	0110588332	2024-07-02 19:30	EDT	6.02	P
USGS	0110588332	2024-07-02 19:45	EDT	6.05	P
USGS	0110588332	2024-07-02 20:00	EDT	6.05	P
USGS	0110588332	2024-07-02 20:15	EDT	6.07	P
USGS	0110588332	2024-07-02 20:30	EDT	6.08	P
USGS	0110588332	2024-07-02 20:45	EDT	6.10	P
USGS	0110588332	2024-07-02 21:00	EDT	6.08	P
USGS	0110588332	2024-07-02 21:15	EDT	6.08	P
USGS	0110588332	2024-07-02 21:30	EDT	5.59	P
USGS	0110588332	2024-07-02 21:45	EDT	5.38	P
USGS	0110588332	2024-07-02 22:00	EDT	5.74	P
USGS	0110588332	2024-07-02 22:15	EDT	5.86	P
USGS	0110588332	2024-07-02 22:30	EDT	5.91	P
USGS	0110588332	2024-07-02 22:45	EDT	5.83	P
USGS	0110588332	2024-07-02 23:00	EDT	5.73	P
USGS	0110588332	2024-07-02 23:15	EDT	5.66	P
USGS	0110588332	2024-07-02 23:30	EDT	5.80	P
USGS	0110588332	2024-07-02 23:45	EDT	5.90	P
USGS	0110588332	2024-07-03 00:00	EDT	5.97	P
USGS	0110588332	2024-07-03 00:15	EDT	6.04	P
USGS	0110588332	2024-07-03 00:30	EDT	6.05	P
USGS	0110588332	2024-07-03 00:45	EDT	6.08	P
USGS	0110588332	2024-07-03 01:00	EDT	6.10	P
USGS	0110588332	2024-07-03 01:15	EDT	6.10	P
USGS	0110588332	2024-07-03 01:30	EDT	6.13	P
USGS	0110588332	2024-07-03 01:45	EDT	6.11	P
USGS	0110588332	2024-07-03 02:00	EDT	6.11	P
USGS	0110588332	2024-07-03 02:15	EDT	6.11	P
USGS	0110588332	2024-07-03 02:30	EDT	6.11	P
USGS	0110588332	2024-07-03 02:45	EDT	6.11	P
USGS	0110588332	2024-07-03 03:00	EDT	6.11	P
USGS	0110588332	2024-07-03 03:15	EDT	6.11	P
USGS	0110588332	2024-07-03 03:30	EDT	6.13	P
USGS	0110588332	2024-07-03 03:45	EDT	6.13	P
USGS	0110588332	2024-07-03 04:00	EDT	6.13	P
USGS	0110588332	2024-07-03 04:15	EDT	6.15	P
USGS	0110588332	2024-07-03 04:30	EDT	6.13	P
USGS	0110588332	2024-07-03 04:45	EDT	6.13	P
USGS	0110588332	2024-07-03 05:00	EDT	6.13	P
USGS	0110588332	2024-07-03 05:15	EDT	6.15	P
USGS	0110588332	2024-07-03 05:30	EDT	6.11	P
USGS	0110588332	2024-07-03 05:45	EDT	6.13	P
USGS	0110588332	2024-07-03 06:00	EDT	6.15	P
USGS	0110588332	2024-07-03 06:15	EDT	6.11	P
USGS	0110588332	2024-07-03 06:30	EDT	6.11	P
USGS	0110588332	2024-07-03 06:45	EDT	6.10	P
USGS	0110588332	2024-07-03 07:00	EDT	6.08	P
USGS	0110588332	2024-07-03 07:15	EDT	6.10	P
USGS	0110588332	2024-07-03 07:30	EDT	6.11	P
USGS	0110588332	2024-07-03 07:45	EDT	6.13	P
USGS	0110588332	2024-07-03 08:00	EDT	6.15	P
USGS	0110588332	2024-07-03 08:15	EDT	6.10	P
USGS	0110588332	2024-07-03 08:30	EDT	6.10	P
USGS	0110588332	2024-07-03 08:45	EDT	6.11	P
USGS	0110588332	2024-07-03 09:00	EDT	6.11	P
