SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
"01114000","MOSHASSUCK RIVER AT PROVIDENCE, RI","ST","USGS",-71.41061208,41.833989,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01114000"
"01116617","PAWTUXET RIVER AT PAWTUXET, RI","ST","USGS",-71.4053335,41.7676007,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01116617"
"01103280","CHARLES RIVER AT MEDWAY, MA","ST","USGS",-71.3895032,42.1398197,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103280"
"01113895","BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI","ST","USGS",-71.38144467,41.8884331,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113895"
"01109403","TEN MILE R., PAWTUCKET AVE. AT E. PROVIDENCE, RI","ST","USGS",-71.3503315,41.83093377,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109403"
"01103500","CHARLES RIVER AT DOVER, MA","ST","USGS",-71.2600558,42.256209,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103500"
"01105000","NEPONSET RIVER AT NORWOOD, MA","ST","USGS",-71.2008863,42.1775987,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105000"
"01109000","WADING RIVER NEAR NORTON, MA","ST","USGS",-71.1767155,41.94760015,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109000"
"01104000","MOTHER BROOK AT DEDHAM, MA","ST","USGS",-71.1642196,42.2550985,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01104000"
"01105554","NEPONSET RIVER AT GREENLODGE ST NEAR CANTON, MA","ST","USGS",-71.1458851,42.2092655,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105554"
"01105500","EAST BRANCH NEPONSET RIVER AT CANTON, MA","ST","USGS",-71.1458842,42.15454356,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105500"
"01109070","SEGREGANSET RIVER NEAR DIGHTON, MA","ST","USGS",-71.142824,41.840379,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109070"
"01109060","THREEMILE RIVER AT NORTH DIGHTON, MA","ST","USGS",-71.12282369,41.8662122,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01109060"
"01108410","MILL RIVER AT SPRING STREET AT TAUNTON, MA","ST","USGS",-71.0894897,41.8998232,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01108410"
"011055566","NEPONSET RIVER AT MILTON VILLAGE, MA","ST","USGS",-71.06838369,42.2709321,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=011055566"
"01106438","SALISBURY PLAIN R AT SARGENT'S WAY, BROCKTON, MA","ST","USGS",-71.00980278,42.05363056,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01106438"
"01105585","TOWN BROOK AT QUINCY, MA","ST","USGS",-70.9972703,42.24787726,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105585"
"01105933","PASKAMANSET RIVER NEAR SOUTH DARTMOUTH, MA","ST","USGS",-70.9903171,41.58538185,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105933"
"01106444","SALISBURY PLAIN R NR MATFIELD ST E BRIDGEWATER, MA","ST","USGS",-70.9839972,42.0381222,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01106444"
"01105583","MONATIQUOT RIVER AT EAST BRAINTREE, MA","ST","USGS",-70.9781026,42.22093308,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105583"
"01108000","TAUNTON RIVER NEAR BRIDGEWATER, MA","ST","USGS",-70.9564307,41.9339903,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01108000"
"01105600","OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA","ST","USGS",-70.9447679,42.1903779,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01105600"
"01107200","TAUNTON RIVER AT TITICUT, NEAR BRIDGEWATER, MA","ST","USGS",-70.93643039,41.9473237,"https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01107200"
