SiteNumber, SiteName, SiteCategory, SiteAgency, SiteLongitude, SiteLatitude, SiteNWISURL
1103253,"CHICKEN BROOK NEAR WEST MEDWAY, MA",ST,USGS,-71.42339318,42.14093056,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103253
1103260,"CHARLES RIVER AT WEST MEDWAY, MA",ST,USGS,-71.418393,42.13676397,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103260
1113994,"WEST RIVER AT PROVIDENCE, RI",ST,USGS,-71.4183903,41.84426665,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113994
1113710,ASH SWAMP BK AT NATE WHIPPLE HW AT DIAMOND HILL RI,ST,USGS,-71.4120023,41.9825988,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113710
1113700,"CATAMINT BROOK NEAR DIAMOND HILL, RI",ST,USGS,-71.4117246,41.9834321,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113700
1113980,"MOSHASSUCK RIVER AT BRANCH AVE, PROVIDENCE, RI",ST,USGS,-71.4117234,41.8462111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113980
1103384,"DOPPING BROOK AT BROOK ST NEAR EAST HOLLISTON, MA",ST,USGS,-71.40894908,42.22231879,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103384
1113970,"MOSHASSUCK RIVER AT PAWTUCKET, RI",ST,USGS,-71.4083901,41.87259979,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113970
1113950,"MOSHASSUCK RIVER NEAR SAYLESVILLE, RI",ST,USGS,-71.4078346,41.885933,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113950
1103386,"DOPPING BROOK AT WHITNEY ST NR EAST HOLLISTON, MA",ST,USGS,-71.40756008,42.2153744,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103386
4.14459E+14,"POSNEGANSETT POND AT WARWICK, RI",LK,USGS,-71.40561109,41.7498231,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=414459071242200
1117150,"WEST PASSAGE NARRAGANSETT BAY NEAR JAMESTOWN, RI",ES,USGS,-71.39949928,41.5292684,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01117150
1103388,"BOGOSTOW BROOK AT FISKE ST NEAR HOLLISTON, MA",ST,USGS,-71.3992264,42.20343018,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103388
4.15938E+14,"DIAMOND HILL RESERVOIR AT DIAMOND HILL, RI",LK,USGS,-71.3989464,41.99398765,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=415938071235800
1103390,"BOGASTOW BROOK NEAR MILLIS, MA",ST,USGS,-71.39033697,42.1837082,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01103390
1113670,"BURNT SWAMP BROOK NR GRANTS MILLS, RI",ST,USGS,-71.3897796,42.0139875,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113670
1113664,"BURNT SWAMP BROOK TR  2 AT SHELDONVILLE, MA",ST,USGS,-71.389502,42.03343178,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113664
1113669,"BURNT SWAMP BROOK TR 4 NEAR GRANTS MILLS, RI",ST,USGS,-71.3889463,42.0139875,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113669
1113920,"SEEKONK RIVER AT PROVIDENCE, RI",ES,USGS,-71.3872775,41.8173226,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113920
1113666,"BURNT SWAMP BROOK TR 3 AT SHELDONVILLE, MA",ST,USGS,-71.3861685,42.02120968,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113666
1113662,"BURNT SWAMP BROOK AT SHELDONVILLE, MA",ST,USGS,-71.3856129,42.02565409,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113662
1113800,"MILLERS RIVER NEAR VALLEY FALLS, RI",ST,USGS,-71.3847786,41.9273216,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113800
1113658,"BURNT SWAMP BROOK TR AT SHELDONVILLE, MA",ST,USGS,-71.3833908,42.0375984,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113658
1113900,"BLACKSTONE RIVER AT PAWTUCKET, RI",ST,USGS,-71.3822779,41.87759986,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113900
1098320,"BEAVERDAM BROOK AT NATICK, MA",ST,USGS,-71.3817264,42.28620724,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01098320
1113660,"BURNT SWAMP BROOK HANCOCK ST SHELDONVILLE, MA",ST,USGS,-71.3806128,42.0300985,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113660
1113655,"BURNT SWAMP BROOK RT 121 AT SHELDONVILLE, MA",ST,USGS,-71.3795018,42.0389873,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01113655
1115050,"PROVIDENCE R OFF FIELDS POINT NR PROVIDENCE, RI",ES,USGS,-71.37588778,41.7876007,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=01115050
