"Load (kg N, P/ha/yr)","Retention (kg N, P/ha/yr)",Efficiency (%),Area [m²],Qin [m³/yr],HLR,Conc (mg/L),"Load (kg N, P/ha/yr)","Retention (kg N, P/ha/yr)",Efficiency (%)
35.7,8.7,24,1000,34600,0.094729637,0.103179191,35.7,8.7,24
91.6,87,95,630000,7716000,0.033532153,0.747728575,91.57894737,87,95
54.7,52,95,340000,412759,0.003323743,4.508811756,54.73684211,52,95
138.5,63.5,46,6200,17614,0.007778234,4.875043999,138.5,63.5,45.84837545
68.4,48.3,71,11510,1571,0.000373717,50.10989011,68.4,48.3,71
1045,259,25,1130,1590,0.003853525,74.24511545,1045,259,25
397,374.1,94,11690,5539,0.001297194,83.79062896,397,374.1,94
282,260.2,92,4768,2508,0.001440383,53.60197681,282,260.2,92.26950355
2000,56,3,200000,4925000,0.067419576,8.121827411,2000,56,2.8
179,87.52,49,254000,1404620,0.015140315,3.230506705,178.6470208,87.52143,48.991262
682.6,491.4,72,1370,24502,0.048966461,3.816326531,682.55,491.436,72
2379,304.04,13,400000,22652000,0.15504449,4.201064266,2379.062694,304.03924,12.779791
709,390,55,1600,8260,0.014134155,13.73404358,709.02,390,55
373,203.19,54,58000,461680,0.021793292,4.685177059,372.9400939,203.19214,54.483855
456,190.44,42,310000,1726700,0.015249829,8.194981545,456.460472,190.44033,41.7211
637,184.5,29,5870,25907,0.012083504,14.43298969,637,184.5,28.96389325
1502,,,852,13590,0.043669464,9.416767387,1502,#N/A,#N/A
910,34.41,4,1520000,77337600,0.139301848,1.789178707,910.3341262,34.40799,3.77971
275,111.98,41,9130000,44189200,0.013251198,5.671826017,274.5163792,111.97925,40.791464
86.6,56.3,65,21,304,0.039685799,0.597207622,86.56666667,56.3,65.03658067
1431,298.99,21,2150000,103096386,0.131284893,2.984261695,1431.007415,298.98835,20.893557
,,99,416,6716,0.044200495,0,#N/A,#N/A,99
,,84,352,10746,0.083579118,0,#N/A,#N/A,84
342.9,48,14,600000,268687,0.00122604,76.56287803,342.8571429,48,14
466.7,28,6,600000,228951,0.001044724,122.2967184,466.6666667,28,6
628.6,220,35,600,204,0.000932481,184.5543449,628.5714286,220,35
547.5,180.7,33,50000,109500,0.005995893,25,547.5,180.675,33
377.4,234,62,14000,153300,0.029979466,3.446752099,377.4193548,234,62
540.8,265,49,22000,289080,0.035975359,4.115801572,540.8163265,265,49
234.6,61,26,26000,237250,0.024982888,2.571127503,234.6153846,61,26
,,,425000,191250,0.001232033,0,#N/A,#N/A,#N/A
366.7,101.7,28,400000,N/A,#VALUE!,#VALUE!,366.6666667,101.6666667,27.72727273
9.8,6,61,600000,N/A,#VALUE!,#VALUE!,9.8,6,61.2244898
,,95,N/A,N/A,#VALUE!,#VALUE!,#N/A,#N/A,95
870,330.6,38,N/A,N/A,#VALUE!,#VALUE!,870,330.6,38
150,94.5,63,N/A,N/A,#VALUE!,#VALUE!,150,94.5,63
,,91,N/A,N/A,#VALUE!,#VALUE!,#N/A,#N/A,91
,,30,N/A,N/A,#VALUE!,#VALUE!,#N/A,#N/A,30
324,90,28,60000,1476000,0.067351129,1.317073171,324,90,27.77777778
504,180,36,50000,1860000,0.101848049,1.35483871,504,180,35.71428571
85.3,65.6,77,260000000,N/A,#VALUE!,#VALUE!,85.3,65.6,76.90504103
,,94,N/A,N/A,#VALUE!,#VALUE!,#N/A,#N/A,94
,390,,12000,77520,0.017686516,0,#N/A,390,#N/A
,,93,N/A,N/A,#VALUE!,#VALUE!,#N/A,#N/A,93
,,83,N/A,N/A,#VALUE!,#VALUE!,#N/A,#N/A,83
8,7.9,99,N/A,N/A,#VALUE!,#VALUE!,8.02,7.9398,99
12,6.2,52,13000,68002,0.014321382,0.229406704,12,6.24,52
,,96,N/A,N/A,#VALUE!,#VALUE!,#N/A,#N/A,96
21.5,19.6,91,N/A,N/A,#VALUE!,#VALUE!,21.5,19.565,91
1081.6,373.2,35,10000,25000,0.006844627,43.264,1081.6,373.2,34.50443787
1078.2,408.2,38,10000,25000,0.006844627,43.12888889,1078.222222,408.2222222,37.86067601
322,154,48,30000,600000,0.054757016,1.61,322,154,48
1006.5,156,15.5,20000,795060,0.108837782,2.531762667,1006.451613,156,15.5
,,40,N/A,N/A,#VALUE!,#VALUE!,#N/A,#N/A,40
,,60,2000,N/A,#VALUE!,#VALUE!,#N/A,#N/A,60
,,-31,2000,N/A,#VALUE!,#VALUE!,#N/A,#N/A,#N/A
1038.9,422.2,41,6000,47233,0.02155297,13.19689485,1038.888889,422.2222222,40.64171123
546.7,245.6,45,3000,15500,0.014145562,10.58064516,546.6666667,245.5555556,44.91869919
867.9,297.9,34,8000,49033,0.016780744,14.16043508,867.9166667,297.9166667,34.32549208
