"Load (kg N, P/ha/yr)","Retention (kg N, P/ha/yr)",Efficiency (%),Area [m²],Qin [m³/yr],HLR,Conc (mg/L),"Load (kg N, P/ha/yr)","Retention (kg N, P/ha/yr)",Efficiency (%)
105.0,5.6,5,1000,34600,0.094729637,0.303468208,105,5.6,5
,141.0,,630000,7716000,0.033532153,0,#N/A,141,#N/A
78.9,56.0,71,340000,412759,0.003323743,6.496987687,78.87323944,56,71
159.5,74.5,47,6200,17614,0.007778234,5.614220345,159.5,74.5,46.70846395
80.7,31.6,39,11510,1571,0.000373717,59.11052222,80.68586284,31.58586284,39
1170,13.0,1,1130,1590,0.003853525,83.12611012,1170,13,1
515,288.0,56,11690,5539,0.001297194,108.6956522,515,288,56
445,178.0,40,4768,2508,0.001440383,84.58467972,445,178,40
,83.0,,270000,N/A,#VALUE!,#VALUE!,#N/A,83,#N/A
230,89.9,39,390000,N/A,#VALUE!,#VALUE!,230,89.93,39.1
2210,44,2,200000,4925000,0.067419576,8.974619289,2210,44.2,2
243.7,97,40,254000,1404620,0.015140315,4.406871609,243.7,97.48,40
,170.0,,310000,N/A,#VALUE!,#VALUE!,#N/A,170,#N/A
310,220.1,71,150000,N/A,#VALUE!,#VALUE!,310,220.1,71
39,14.0,36,280000,N/A,#VALUE!,#VALUE!,39,14.001,35.9
674.0,337.0,50,650000,N/A,#VALUE!,#VALUE!,674,337,50
668,336.7,50,650000,N/A,#VALUE!,#VALUE!,668,336.672,50.4
297,191.0,64,840000,N/A,#VALUE!,#VALUE!,297,190.971,64.3
2631.3,308,12,400000,22652000,0.15504449,4.646477132,2631.3,307.8621,11.7
,163.0,,640000,N/A,#VALUE!,#VALUE!,#N/A,163,#N/A
421.7,176,42,58000,461680,0.021793292,5.297738693,421.7,176.2706,41.8
496.3,192,39,310000,1726700,0.015249829,8.910233393,496.3,191.5718,38.6
812,228.2,28,340000,N/A,#VALUE!,#VALUE!,812,228.172,28.1
60.0,57.0,95,400,712,0.004873374,3.370786517,60,57,95
672.5,193.0,29,5870,25907,0.012083504,15.23733998,672.5,193,28.69888476
,428.0,,852,13590,0.043669464,0,#N/A,428,#N/A
1337,70,5,1520000,77337600,0.139301848,2.627751572,1337,69.524,5.2
198,133.1,67,130000,N/A,#VALUE!,#VALUE!,198,133.056,67.2
305,71,23,9130000,44189200,0.013251198,6.301652893,305,71.065,23.3
1701.3,260,15,2150000,103096386,0.131284893,3.547937186,1701.3,260.2989,15.3
110.4,97.2,88,N/A,N/A,#VALUE!,#VALUE!,110.4,97.2,88.04347826
72.9,63.9,88,N/A,N/A,#VALUE!,#VALUE!,72.9,63.9,87.65432099
518.2,57.0,11,600000,268687,0.00122604,115.7143497,518.1818182,57,11
540.0,27.0,5,600000,228951,0.001044724,141.5147741,540,27,5
777.8,280.0,36,600,204,0.000932481,228.3626995,777.7777778,280,36
931.0,391.0,42,14000,153300,0.029979466,8.501848228,930.952381,391,42
1334.1,547.0,41,22000,289080,0.035975359,10.15332071,1334.146341,547,41
642.9,45.0,7,26000,237250,0.024982888,7.045009785,642.8571429,45,7
51.5,15.0,29,425000,191250,0.001232033,11.44444444,51.5,15,29.12621359
511.0,45.7,9,400000,N/A,#VALUE!,#VALUE!,511,45.66666667,8.936725375
21.2,-3.6,-17,600000,N/A,#VALUE!,#VALUE!,21.2,-3.6,#N/A
46.9,45.3,97,N/A,N/A,#VALUE!,#VALUE!,46.9,45.3,96.58848614
65.0,48.7,75,N/A,N/A,#VALUE!,#VALUE!,65,48.7,74.92307692
53.1,42.8,81,1500,993,0.001812457,8.021148036,53.1,42.8,80.60263653
41.2,38.1,93,N/A,N/A,#VALUE!,#VALUE!,41.18,38.14,92.61777562
42.6,42.0,99,N/A,N/A,#VALUE!,#VALUE!,42.59,41.96,98.52077953
75.6,54.4,72,3200,4538,0.003882272,5.33145275,75.6,54.4,71.95767196
9.8,9.4,96,N/A,N/A,#VALUE!,#VALUE!,9.8,9.4,95.91836735
480.0,0.0,0,60000,1476000,0.067351129,1.951219512,480,0,#N/A
702.0,90.0,13,50000,1860000,0.101848049,1.887096774,702,90,12.82051282
1066.5,357.0,33,313,N/A,#VALUE!,#VALUE!,1066.5,357,33.47398031
51.8,38.8,75,3400,N/A,#VALUE!,#VALUE!,51.8,38.8,74.9
17.0,2.4,14,13000,68002,0.014321382,0.324992831,17,2.38,14
645.0,323.0,50.0,30000,600000,0.054757016,3.225,645,323,50
1216.3,388.0,31.9,20000,795060,0.108837782,3.059645663,1216.30094,388,31.9
83.0,73.8,89,59000,37640,0.001746654,13.01010947,83,73.8,88.91566265
,,41,2000,N/A,#VALUE!,#VALUE!,#N/A,#N/A,40.8
,,3,2000,N/A,#VALUE!,#VALUE!,#N/A,#N/A,3.2
1120.0,451.7,40,6000,47233,0.02155297,14.22724065,1120,451.6666667,40.32738095
552.2,242.2,44,3000,15500,0.014145562,10.68817204,552.2222222,242.2222222,43.86317907
885.8,277.1,31,8000,49033,0.016780744,14.45275323,885.8333333,277.0833333,31.27939793
704,148,21,485623,5427323,0.03059822,6.299212598,704,147.84,21
