Country	Study site	WBZ-type	Nutrient	"Load (kg N, P/ha/yr)"	"Loss (kg N, P/ha/yr)"	"Retention (kg N, P/ha/yr)"	Efficiency (%)	Organic/Mineral Soil	Vegetation type	Reference	Main source/flow path in	Main source/flow path in (simple)	Main flow paths in buffer	Inflow=>Outflow	Width [m]	Area [m²]	Qin [m³/yr]	Catchment area [ha]	HLR [mm]
Canada	"Paint1 SF, California, US"	Rewetted Fen	ammonium	3.9	2.6	1.3	34	Organic	Aerenchymous	"Devito et al., 1989"	"Stream water, groundwater, and precipitation"	SWR	Direct surface runoff	SWR=>SR	200	1000	34600	6.6	34600
Denmark	"Egebjerg, DK"	Rewetted Fen	ammonium	1.4	1.1	0.2	17	Organic	Herbaceous	"Hoffmann C., et al, 2011"	"2/3 inundation, 1/3 Drain discharge from upland"	SWR	inundation from river and direct surface runoff	SWR=>SR	400	340000	412759	161	1214
Denmark	"Fensholt T31, DK"	Rewetted Fen	ammonium	9.07	4	5.1	56	Organic	Herbaceous	"Petersen et al., 2020a; Petersen et al., 2020b"	Precipitation	P	Infiltration/exfiltration and direct surface runoff	SWU=>SR	115	11510	1571	3.9	1365
Denmark	"Fensholt T32, DK"	Rewetted Fen	ammonium	12.3	146	-133.7	-1084	Organic	Herbaceous	"Petersen et al., 2020a; Petersen et al., 2020b"	Drain discharge from upland	SWU	Direct surface runoff	SWU=>SR	35	1130	1590	7.6	14075
Denmark	"Fensholt T33, DK"	Rewetted Fen	ammonium	18.6	5.69	12.9	69	Organic	Herbaceous	"Petersen et al., 2020a; Petersen et al., 2020b"	Drain discharge from upland	SWU	Infiltration/exfiltration	SWU=>SR	150	11690	5539	13.7	4738
Denmark	"Fensholt T34, DK"	Rewetted Fen	ammonium	12	49.8	-37.8	-316	Organic	Herbaceous	"Petersen et al., 2020a; Petersen et al., 2020b"	Drain discharge from upland	SWU	Infiltration/exfiltration	SWU=>SR	80	4768	2508	6.9	5261
Denmark	Syvbæk DK	Rewetted Fen	ammonium	36.0				Organic	Aerenchymous	"Dørge J., 1994, Ambus & Hoffmann 1990"	Drain discharge from upland	SWU	Infiltration and direct surface runoff	SWU=>GW	30	852	13590	N/A	15950
Denmark	"Voldby Bæk, Anbæk, DK"	Rewetted Fen	ammonium	2.3	3.5	-1.2	-55	Organic	Herbaceous	"Hoffmann C., et al, 2006"	Groundwater	GW	Shallow lateral GW	GW=>GW	21.0	21.0	304	N/A	14495
Finland	"Flyttrask, SU"	Floodplain	ammonium	17.5	7.5	10.0	57	Mineral	Aerenchymous	Koskiaho et al 2003	River inundation	SWR	inundation from river => flow through wetland	SWR=>SR	200	600000	268687	2000	448
Finland	"Flyttrask, SU"	Floodplain	ammonium	10.9	5.1	5.8	53	Mineral	Aerenchymous	Koskiaho et al 2003	River inundation	SWR	inundation from river => flow through wetland	SWR=>SR	200	600000	228951	2000	382
Finland	"Hovi, SU"	Floodplain	ammonium	3.5	2.8	0.7	20	Mineral	Aerenchymous	Koskiaho et al 2003	River inundation	SWR	inundation from river => flow through wetland	SWR=>SR	25	600	204	12	341
Germany	"Donaumoos, Area 1, Bayern, DE"	Floodplain	ammonium	46.3	15.3	31.0	67	Organic	Aerenchymous	"Lenz and Wild, 2001"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	65	14000	153300	N/A	10950
Germany	"Donaumoos, Area 2, Bayern, DE"	Floodplain	ammonium	51.4	13.4	38.0	74	Organic	Aerenchymous	"Lenz and Wild, 2001"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	85	22000	289080	N/A	13140
Germany	"Donaumoos, Area 3, Bayern, DE"	Floodplain	ammonium	10.8	14.8	-4.0	-37	Organic	Aerenchymous	"Lenz and Wild, 2001"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	100	26000	237250	N/A	9125
Germany	"Pohnsdorfer Stauung Eastpolder, DE"	Rewetted Fen	ammonium	22.7	20.0	2.7	12	Organic	Herbaceous	"Kieckbusch und Schrautzer, 2007"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	N/A	400000	N/A	3800	N/A
Germany	"Pohnsdorfer Stauung Westpolder, DE"	Rewetted Fen	ammonium	10.0	5.0	5.0	50	Organic	Herbaceouses	"Kieckbusch und Schrautzer, 2007"	Precipitation and river inundation	P	Direct surface runoff	SWU=>SR	N/A	600000	N/A	150	N/A
Sweden	"Vomb East, SE"	Floodplain	ammonium	12.0	81.0	-69.0	-575	Organic	Herbaceous	"Leonardson et al, 1994"	Surface runoff from upland	SWU	Infiltration => GW	SWU=>GW	N/A	60000	1476000	N/A	24600
Sweden	"Vomb West, SE"	Floodplain	ammonium	18.0	108.0	-90.0	-500	Organic	Herbaceous	"Leonardson et al, 1994"	Surface runoff from upland	SWU	Infiltration => GW	SWU=>GW	N/A	50000	1860000	N/A	37200
USA	"Maryland, US"	Riparian Wetland/Bank	ammonium	2.7	2.0	0.7	25	Mineral	Aerenchymous	"Hoffmann et al., 2009; Jordan et al., 2003"	Drain discharge from upland	SWU	Direct surface runoff	SWU=>SR	180	13000	68002	N/A	5231
USA	"Wetland A, Ohio, US"	Riparian Wetland/Bank	ammonium	80.7	37.4	43.2	54	Mineral	Herbaceous	"Kovacic et al., 2000; Mitsch et al., 2014"	Drain discharge from upland	SWU	Direct surface runoff and infiltration to groundwater	SWU=>SR	N/A	6000	47233	15	7872
USA	"Wetland B, Ohio, US"	Riparian Wetland/Bank	ammonium	5.7	3.1	2.6	45	Mineral	Herbaceous	"Kovacic et al., 2000; Mitsch et al., 2014"	Drain discharge from upland	SWU	Direct surface runoff and infiltration to groundwater	SWU=>SR	N/A	3000	15500	5	5167
USA	"Wetland D, Ohio, US"	Riparian Wetland/Bank	ammonium	17.7	10.3	7.4	42	Mineral	Herbaceous	"Kovacic et al., 2000; Mitsch et al., 2014"	Drain discharge from upland	SWU	Direct surface runoff and infiltration to groundwater	SWU=>SR	N/A	8000	49033	25	6129
Canada	"Paint1 SF, California, US"	Rewetted Fen	dissolved organic nitrogen	65.37	69.80	-4.43	-7	Organic	Aerenchymous	"Devito et al., 1989"	"Stream water, groundwater, and precipitation"	SWR	Direct surface runoff	SWR=>SR	200	1000	34600	6.6	34600
Denmark	"Egebjerg, DK"	Rewetted Fen	dissolved organic nitrogen	22.78	19.01	3.77	17	Organic	Herbaceous	"Hoffmann C., et al, 2011"	"2/3 inundation, 1/3 Drain discharge from upland"	SWR	inundation from river and direct surface runoff	SWR=>SR	400	340000	412759	161	1214
Denmark	"Fensholt T31, DK"	Rewetted Fen	dissolved organic nitrogen	3.24	25	-21.8	-674	Organic	Herbaceous	"Petersen et al., 2020a; Petersen et al., 2020b"	Precipitation	P	Infiltration/exfiltration and direct surface runoff	SWU=>SR	115	11510	1571	3.9	1365
Denmark	"Fensholt T32, DK"	Rewetted Fen	dissolved organic nitrogen	111	225	-114.0	-102	Organic	Herbaceous	"Petersen et al., 2020a; Petersen et al., 2020b"	Drain discharge from upland	SWU	Direct surface runoff	SWU=>SR	35	1130	1590	7.6	14075
Denmark	"Fensholt T33, DK"	Rewetted Fen	dissolved organic nitrogen	99.4	198	-98.6	-99	Organic	Herbaceous	"Petersen et al., 2020a; Petersen et al., 2020b"	Drain discharge from upland	SWU	Infiltration/exfiltration	SWU=>SR	150	11690	5539	13.7	4738
Denmark	"Fensholt T34, DK"	Rewetted Fen	dissolved organic nitrogen	150	195	-45.0	-30	Organic	Herbaceous	"Petersen et al., 2020a; Petersen et al., 2020b"	Drain discharge from upland	SWU	Infiltration/exfiltration	SWU=>SR	80	4768	2508	6.9	5261
Finland	"Flyttrask, SU"	Floodplain	dissolved organic nitrogen	157.78	158.78	-1.00	-1	Mineral	Aerenchymous	Koskiaho et al 2003	River inundation	SWR	inundation from river => flow through wetland	SWR=>SR	200	600000	228951	2000	382
Finland	"Flyttrask, SU"	Floodplain	dissolved organic nitrogen	62.39	69.19	-6.80	-11	Mineral	Aerenchymous	Koskiaho et al 2003	River inundation	SWR	inundation from river => flow through wetland	SWR=>SR	200	600000	228951	2000	382
Finland	"Hovi, SU"	Floodplain	dissolved organic nitrogen	145.71	86.41	59.30	41	Mineral	Aerenchymous	Koskiaho et al 2003	River inundation	SWR	inundation from river => flow through wetland	SWR=>SR	25	600	204		
Germany	"Donaumoos, Area 1, Bayern, DE"	Floodplain	dissolved organic nitrogen	507.26	381.26	126.00	25	Organic	Aerenchymous	"Lenz and Wild, 2001"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	65	14000	153300	N/A	10950
Germany	"Donaumoos, Area 2, Bayern, DE"	Floodplain	dissolved organic nitrogen	741.98	497.98	244.00	33	Organic	Aerenchymous	"Lenz and Wild, 2001"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	85	22000	289080	N/A	13140
Germany	"Donaumoos, Area 3, Bayern, DE"	Floodplain	dissolved organic nitrogen	433.3	446.3	-13.0	-3	Organic	Aerenchymous	"Lenz and Wild, 2001"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	100	26000	237250	N/A	9125
Germany	"Dummerstorf, DE"	Rewetted Fen	dissolved organic nitrogen		51.6			Organic	Herbaceous	Tiemeyer & Kahle 2014	Groundwater	GW	GW exfiltration => surface flow in ditches	SWU=>SR	250	425000	191250	85	450
Germany	"Pohnsdorfer Stauung Eastpolder, DE"	Rewetted Fen	dissolved organic nitrogen	121.67	180.33	-58.67	-48	Organic	Herbaceous	"Kieckbusch und Schrautzer, 2007"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	N/A	400000	N/A	3800	N/A
Germany	"Pohnsdorfer Stauung Westpolder, DE"	Rewetted Fen	dissolved organic nitrogen	1.40	16.00	-14.60	-1043	Organic	Herbaceous	"Kieckbusch und Schrautzer, 2007"	Precipitation and river inundation	P	Direct surface runoff	SWU=>SR	N/A	600000	N/A	150	N/A
Sweden	"Vomb East, SE"	Floodplain	dissolved organic nitrogen	144.00	165.00	-21.00	-15	Organic	Herbaceous	"Leonardson et al, 1994"	Surface runoff from upland	SWU	Infiltration => GW	SWU=>GW	N/A	60000	1476000	N/A	24600
Sweden	"Vomb East, SE"	Floodplain	dissolved organic nitrogen	180.00	180.00	0.00	0	Organic	Herbaceous	"Leonardson et al, 1994"	Surface runoff from upland	SWU	Infiltration => GW	SWU=>GW	N/A	50000	1860000	N/A	37200
USA	"Maryland, US"	Riparian Wetland/Bank	dissolved organic nitrogen	7.9	7.3	0.6	8	Mineral	Aerenchymous	"Hoffmann et al., 2009; Jordan et al., 2003"	Drain discharge from upland	SWU	Direct surface runoff	SWU=>SR	180	13000	68002	N/A	5231
