UNIQUE_ID,Watershed,DESCRIPTOR,Waterbody,MLTYP_NAME,Lat,Long,Datayear_mean,Datayear_n,Datayear_sd,Datayear_median,Datayear_max,Datayear_min,NO3,NO3_n,NO3_sd,NO3_median,NO3_max,NO3_min,TN,TN_n,TN_sd,TN_median,TN_max,TN_min
W0026,Deerfield,"[Route 112, Buckland]",Clesson Brook,River/Stream,42.61318632,-72.76875254,2005,3,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.44666666666666666,3,0.08082903768654763,0.44666666666666666,0.52,0.36
W0029,Deerfield,"[Route 112, Buckland]",Clark Brook,River/Stream,42.61342804,-72.76746064,2005,5,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.152,5,0.07155417527999328,0.152,0.27,0.1
W0040,Deerfield,"[Tower Road, Charlemont]",Chickley River,River/Stream,42.63010011,-72.90142656,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.1235,4,0.07296346117521199,0.1235,0.2,0.048
W0051,Millers,"[Route 2A bridge, Gardner]",Otter River,River/Stream,42.5644422,-72.01154154,2005,5,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.658,5,0.3541468621913796,0.658,0.88,0.04
W0057,Quinebaug,"[at Route 131 bridge, Massachusetts/Connecticut state line, Dudley, Massachusetts]",Quinebaug River,River/Stream,42.02769615,-71.95951089,2006,2,0,2006,2006,2006,0.1,1,NA,0.1,0.1,0.1,0.44,1,NA,0.44,0.44,0.44
W0086,Shawsheen,"[Central Street, Andover]",Shawsheen River,River/Stream,42.64744612,-71.15080259,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.825,4,0.1342882471898912,0.825,0.94,0.65
W0091,Shawsheen,"[Route 3A, Billerica]",Shawsheen River,River/Stream,42.53441868,-71.23357266,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.71,4,0.07527726527090807,0.71,0.82,0.65
W0097,Shawsheen,"[Shawsheen Street, Tewksbury]",Strong Water Brook,River/Stream,42.59577308,-71.19608409,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.6725,4,0.18607794065928393,0.6725,0.94,0.52
W0099,Shawsheen,"[Great Road (Routes 4 & 225), Bedford]",Elm Brook,River/Stream,42.48702713,-71.26400361,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.9650000000000001,4,0.23230726778701233,0.9650000000000001,1.2,0.68
W0107,Ipswich,"[off Topsfield Road, Ipswich (upstream from confluence of  Gravelly Brook)]",Ipswich River,River/Stream,42.65985762,-70.9028537,2005,4,0,2005,2005,2005,NA,0,NA,NA,-Inf,Inf,0.5375,4,0.08421203397773189,0.5375,0.66,0.47
