RE_pct,LR_kgNhay,RR_kgNhay,TN_mgl,HLR_md,area_m2,Reference,Wetland type,Inflow type,Water regime,Air temp (oC),Prec. (mm/yr),study,WBZ-type,Country,Q_m3d,RE_prp,L_kgy,R_kgy
40,3540.5,1360,18.3,0.054962355,480,Abe et al. (2008) Koibuchi,Free Water Surface,Sec. Domestic Wastewater,Constant,13.90833333,1314,Land,NA,NA,26.381930399999998,0.4,169.944,65.28
36.3,3796,1377.948,19.9,0.05150008,99000,Andersen et al. (2003) Demonstration wetland Config A,Free Water Surface,Sec. Domestic Wastewater,"continuous, variable",17.95416667,290,Land,NA,NA,5098.50792,0.363,37580.4,13641.6852
28.4,5365.5,1523.802,17.8,0.081651145,99000,Andersen et al. (2003) Demonstration wetland Config B,Free Water Surface,Sec. Domestic Wastewater,"continuous, variable",17.95416667,290,Land,NA,NA,8083.463355,0.284,53118.45,15085.6398
2,2210,44.2,8.974619289340101,0.06741957563312799,200000,"Audet J., et al., 2019",NA,NA,NA,NA,NA,Walton,Rewetted Fen,Denmark,13483.915126625598,0.02,44200,884
40,243.7,97.48,4.406871609403255,0.01514031485284052,254000,"Audet J., et al., 2019",NA,NA,NA,NA,NA,Walton,Rewetted Fen,Denmark,3845.6399726214922,0.4,6189.98,2475.992
11.7,2631.3,307.8621,4.646477132262052,0.1550444900752909,400000,"Audet J., et al., 2019",NA,NA,NA,NA,NA,Walton,Rewetted fen,Denmark,62017.796030116355,0.11699999999999999,105252.00000000001,12314.484
41.8,421.7,176.2706,5.297738693467337,0.021793292265571525,58000,"Audet J., et al., 2019",NA,NA,NA,NA,NA,Walton,Rewetted Fen,Denmark,1264.0109514031485,0.418,2445.86,1022.3694800000001
38.6,496.3,191.5718,8.910233393177737,0.015249828884325805,310000,"Audet J., et al., 2019",NA,NA,NA,NA,NA,Walton,Floodplain,Denmark,4727.446954141,0.386,15385.3,5938.7258
5.2,1337,69.524,2.6277515723270435,0.13930184804928133,1520000,"Audet J., et al., 2019",NA,NA,NA,NA,NA,Walton,Rewetted Fen,Denmark,211738.80903490764,0.052000000000000005,203224,10567.648
23.3,305,71.065,6.301652892561983,0.01325119780971937,9130000,"Audet J., et al., 2019",NA,NA,NA,NA,NA,Walton,Rewetted Fen,Denmark,120983.43600273786,0.233,278465,64882.345
15.3,1701.3,260.2989,3.5479371859296487,0.1312848931660935,2150000,"Audet J., et al., 2019",NA,NA,NA,NA,NA,Walton,Rewetted Fen,Denmark,282262.5203071011,0.153,365779.5,55964.2635
63,857.4603175,540.2,2.1,0.108604858,7950,Beutel et al. (2009) North Wetland,Free Water Surface,Agricultural runoff,Constant,11.19583333,180,Land,NA,NA,863.4086211,0.63,681.6809524125,429.459
57,966.9298246,551.15,2,0.124052963,6960,Beutel et al. (2009) South Wetland,Free Water Surface,Agricultural runoff,Constant,11.19583333,180,Land,NA,NA,863.40862248,0.57,672.9831579216,383.6004
86.96621843,400.92084669999997,359.50848859999996,2.315469286,0.018958648,3200,Borin & Tochetto (2007) L. Toniolo,Free Water Surface,Agricultural runoff,"continuous, variable",13.4875,843,Land,NA,NA,60.66767360000001,0.8696621843,128.294670944,115.042716352
49.06455054,3766.4738629999997,1848.003472,1.535748484,0.529637235,16.2,Chavan et al. (2008) train 1,Free Water Surface,River/Lake water,"continuous, variable",9.704166667,200,Land,NA,NA,8.580123207,0.4906455054,6.1016876580599995,2.99376562464
41.7618373,3796.566376,1585.5158729999998,1.535748484,0.529637235,16.2,Chavan et al. (2008) train 2,Free Water Surface,River/Lake water,"continuous, variable",9.704166667,200,Land,NA,NA,8.580123207,0.41761837300000004,6.1504375291199995,2.5685357142599994
29.91969552,3833.5314319999998,1146.980932,1.704341391,0.529637235,16.2,Chavan et al. (2008) train 3,Free Water Surface,Tert. Domestic Wastewater,"continuous, variable",9.704166667,200,Land,NA,NA,8.580123207,0.2991969552,6.210320919839999,1.8581091098399996
31.71296593,4087.444872,1296.25,1.704341391,0.529637235,16.2,Chavan et al. (2008) train 4,Free Water Surface,Tert. Domestic Wastewater,"continuous, variable",9.704166667,200,Land,NA,NA,8.580123207,0.3171296593,6.62166069264,2.099925
86.49313384,1397.82967,1209.0266880000001,115.1860337,0.00678987,3500,Cook (2001) Goldsboro,Free Water Surface,Agricultural runoff,"continuous, variable",16.01666667,1226,Land,NA,NA,23.764545,0.8649313384,489.24038450000006,423.15934080000005
5,105,5.6,0.30346820809248554,0.09472963723477071,1000,"Devito et al., 1989",NA,NA,NA,NA,NA,Walton,Rewetted Fen,Canada,94.7296372347707,0.05,10.5,0.56
64,172,110,3.39,0.054757016,30000,Fink (2007) Oxbow diversion wetland,Free Water Surface,River/Lake water,"continuous, variable",10.825,949,Land,NA,NA,1642.71048,0.64,516,330
60.71428571,1510.0443490000002,918.9493989,22,0.018622959,280000,Flyckt (2010) Alhagen,Free Water Surface,Sec. Domestic Wastewater,"Continous, variable",7.133333333,38,Land,NA,NA,5214.42852,0.6071428570999999,42281.24177200001,25730.5831692
37.78571429,1560.613682,592.7099841999999,24,0.019999345,230000,Flyckt (2010) Brannäs,Free Water Surface,Sec. Domestic Wastewater,"Continous, variable",6.933333333,22,Land,NA,NA,4599.84935,0.3778571429,35894.11468599999,13632.329636599996
16,9928.978072999998,1575.9175899999998,17,0.16047223,280000,Flyckt (2010) Ekeby,Free Water Surface,Tert. Domestic Wastewater,"Continous, variable",6.195833333,5.2,Land,NA,NA,44932.2244,0.16,278011.386044,44125.69251999999
23.57142857,4576.863055,1065.784973,20,0.061802669,200000,Flyckt (2010) Magle,Free Water Surface,Tert. Domestic Wastewater,"Continous, variable",7.520833333,2.4,Land,NA,NA,12360.5338,0.23571428569999997,91537.2611,21315.69946
35.4,6811.693576000001,2401.619433,20,0.095684463,16000,Flyckt (2010) Örsundsbro,Free Water Surface,Tert. Domestic Wastewater,"Continous, variable",7.2,NA,Land,NA,NA,1530.951408,0.354,10898.7097216,3842.5910927999994
17.49864188,22387.837840000004,3917.567568,18.81427113,0.310598072,7400,Frankenbach & Meyer (1999) TM-2,Free Water Surface,Tert. Domestic Wastewater,"continuous, variable",11.87083333,1116,Land,NA,NA,2298.4257328,0.17498641880000002,16567.000001600005,2899.00000032
58.53119827,2935.4838710000004,1729.528536,30,0.026488301,64,Han et al. (2010) SF,Free Water Surface,Agricultural runoff,"continuous, variable",9.658333333,774,Land,NA,NA,1.695251264,0.5853119827,18.787096774400002,11.0689826304
64.30369476,5764.267989999999,3672.4565760000005,30,0.052705744,32,Han et al. (2010) SSF straw,Free Water Surface,Agricultural runoff,"continuous, variable",9.658333333,774,Land,NA,NA,1.686583808,0.6430369476,18.445657567999998,11.751861043200002
28.62453532,21267.50903,6087.725632000001,29.1,0.199863107,277,Healy & Cawley (2002) First cell,Free Water Surface,Tert. Domestic Wastewater,"continuous, variable",8.966666667,1094,Land,NA,NA,55.362080639000006,0.2862453532,589.110000131,168.63000000640002
