Lat,Long,NO3,TN,NO3_n,TN_n,dataset,year_start,year_end,years_of_obs,systemtype,siteinfo,TN_imp,NO3_imp
41.654467,-70.36098,2.818,3.383326344348558,1,0,CCR,2018,2018,1,lotic,CCRO Bumps River BP-1,TRUE,FALSE
41.648442,-70.363384,1.856,2.424738366238135,1,0,CCR,2018,2018,1,lotic,CCRO Bumps River BP-2,TRUE,FALSE
41.645528,-70.374416,1.091,1.662451668468412,1,0,CCR,2018,2018,1,lotic,CCRO Skunknet River SK-1,TRUE,FALSE
41.651496,-70.335342,0.029,0.6042183703880907,1,0,CCR,2018,2018,1,lotic,CCRO Centerville River CT-1,TRUE,FALSE
41.638939,-70.322383,1.354,1.924518859989245,1,0,CCR,2018,2018,1,lotic,CCRO Craigville Beach Brook CB-1,TRUE,FALSE
41.657302,-70.261053,0.12,0.6948956115606982,1,0,CCR,2018,2018,1,lotic,CCRO Mill Creek MC-1,TRUE,FALSE
41.655419,-70.224071,0.032,0.6072077299871876,1,0,CCR,2018,2018,1,lotic,CCRO The Plashes Brook PB-1,TRUE,FALSE
41.66228,-70.209252,0.361,0.9350408326881534,1,0,CCR,2018,2018,1,lotic,CCRO Parker River PK-1,TRUE,FALSE
41.686495,-70.130171,0.124,0.6988814243594942,1,0,CCR,2018,2018,1,lotic,CCRO Swan Pond River SW-1,TRUE,FALSE
41.687884,-70.123508,0.237,0.8114806359254794,1,0,CCR,2018,2018,1,lotic,CCRO Herring River HH-1,TRUE,FALSE
41.669761,-70.061512,0.824,1.396398664148783,1,0,CCR,2018,2018,1,lotic,CCRO Cold Brook CD-1,TRUE,FALSE
41.943657,-70.057425,0.022,0.5972431979901978,1,0,CCR,2018,2018,1,lotic,CCRO Herring River HW-1,TRUE,FALSE
41.890489,-69.988073,0.148,0.7227963011522698,1,0,CCR,2018,2018,1,lotic,CCRO Fresh Brook FB-1,TRUE,FALSE
41.73318,-70.201574,0.27,0.8443635915155459,1,0,CCR,2018,2018,1,lotic,CCRO Chase Garden Creek CG-1,TRUE,FALSE
41.703505,-70.288244,2.005,2.5732098929932836,1,0,CCR,2018,2018,1,lotic,CCRO Maraspin Creek MP-1,TRUE,FALSE
41.6525,-70.41389,0.5764358611111108,1.149712585822226,127,0,CCR,2017,2023,7,lotic,CCRO Marstons Mills River MM-1,TRUE,FALSE
41.63829,-70.45244,0.244291415625,0.8187461903553459,161,0,CCR,2016,2021,6,lotic,CCRO Santuit River SR-1,TRUE,FALSE
41.6279,-70.45112,0.9444230551181103,1.5163946027387514,128,0,CCR,2017,2023,7,lotic,CCRO Santuit River SR-2,TRUE,FALSE
41.64191,-70.48231,0.39016625,0.9641036358238739,13,0,CCR,2016,2019,4,lotic,CCRO Mashpee River MR-1,TRUE,FALSE
41.62925,-70.4839,0.2645788983957218,0.8389617174760695,188,0,CCR,2016,2023,8,lotic,CCRO Mashpee River MR-2,TRUE,FALSE
41.59225,-70.50768,0.2885125600961539,0.8628104912579782,209,0,CCR,2016,2023,8,lotic,CCRO Quashnet River QR-1,TRUE,FALSE
41.58522,-70.57259,0.5043083085106383,1.0778408552470282,189,0,CCR,2016,2020,5,lotic,CCRO Coonamessett River CR-1,TRUE,FALSE
41.6002,-70.5719,0.18800347849462365,0.7626578952973271,93,0,CCR,2016,2020,5,lotic,CCRO Coonamessett River CR-2,TRUE,FALSE
41.62405,-70.62856,0.2580845573248407,0.8324904105360535,158,0,CCR,2016,2020,5,lotic,CCRO Herring Brook HR-1,TRUE,FALSE
41.69676,-70.60632,0.4459957857142856,1.0197351553240825,84,0,CCR,2018,2020,3,lotic,CCRO Pocasset River PR-1,TRUE,FALSE
41.76791,-70.63578,0.24145315021951216,0.8159179917104525,165,0,CCR,2016,2020,5,lotic,CCRO Red Brook RB-1,TRUE,FALSE
41.7784948,-70.7632908,0.07494192261904764,0.6499973461821639,85,0,CCR,2018,2020,3,lotic,CCRO Weweantic River WR-1,TRUE,FALSE
41.73389,-70.79432,0.0527023,0.6278366030633159,16,0,CCR,2018,2019,2,lotic,CCRO Sippican River SP-1,TRUE,FALSE
41.621571,-70.628801,0.7467219827586209,1.3193947366022178,59,0,CCR,2018,2020,3,lotic,CCRO Trout Brook TB-1,TRUE,FALSE
41.58921,-70.525225,1.1448608400145452,1.7161214748393805,119,0,CCR,2018,2022,5,lotic,CCRO Childs River CH-9,TRUE,FALSE
41.681859,-70.918844000000007,0.5974999999999999,1.1145,208,208,MEP,2002,2005,4,lotic,Buzzards Bay > Acushnet > Acushnet River,FALSE,FALSE
41.640446,-70.872888,1.174,1.584,52,52,MEP,2005,2005,1,lotic,Buzzards Bay > Nasketucket > Nasketucket River 1,FALSE,FALSE
41.640767,-70.870647,0.401,1.109,52,52,MEP,2005,2005,1,lotic,Buzzards Bay > Nasketucket > Nasketucket River 2,FALSE,FALSE
41.636958,-70.856715,0.851,1.385,52,52,MEP,2005,2005,1,lotic,Buzzards Bay > Nasketucket > Nonquit Brook,FALSE,FALSE
41.632585,-70.849411,0.256,1.02,52,52,MEP,2005,2005,1,lotic,Buzzards Bay > Nasketucket > Shaws Cove Stream,FALSE,FALSE
41.544199,-71.008317,0.195,0.614,52,52,MEP,2003,2003,1,lotic,Buzzards Bay > Slocums > Barneys Joy Creek,FALSE,FALSE
41.56912,-71.006334,0.904,1.502,52,52,MEP,2003,2003,1,lotic,Buzzards Bay > Slocums > Destruction Brook,FALSE,FALSE
41.5416,-71.006734,0.357,0.922,52,52,MEP,2003,2003,1,lotic,Buzzards Bay > Slocums > Giles Creek,FALSE,FALSE
41.58557,-70.990224,0.259,0.927,52,52,MEP,2003,2003,1,lotic,Buzzards Bay > Slocums > Paskamansett River,FALSE,FALSE
41.762449,-70.676352,0.017,0.439,52,52,MEP,1999,1999,1,lotic,Buzzards Bay > Wareham > Agawam River,FALSE,FALSE
41.766467,-70.721733,0.02,0.425,52,52,MEP,1999,1999,1,lotic,Buzzards Bay > Wareham > Wankinco River,FALSE,FALSE
41.553741,-71.126612,0.22,0.98,52,52,MEP,2006,2006,1,lotic,Buzzards Bay > Westport > Adamsville Brook,FALSE,FALSE
41.550479,-71.104556,0.93,1.588,52,52,MEP,2006,2006,1,lotic,Buzzards Bay > Westport > Angeline Brook,FALSE,FALSE
41.596512,-71.07101,0.254,0.903,52,52,MEP,2006,2006,1,lotic,Buzzards Bay > Westport > Kirby Brook,FALSE,FALSE
41.58494,-71.074817,0.58,1.158,52,52,MEP,2006,2006,1,lotic,Buzzards Bay > Westport > Snell Creek,FALSE,FALSE
41.62184,-71.059327,0.27094687245373295,1.004943341708708,104,104,MEP,2005,2006,2,lotic,Buzzards Bay > Westport > Westport River,FALSE,FALSE
41.669714,-70.061295,0.672,0.961,52,52,MEP,2004,2004,1,lotic,Cape Cod > Allen > Cold Spring Brook,FALSE,FALSE
41.671203,-70.057882,0.63,0.987,52,52,MEP,2004,2004,1,lotic,Cape Cod > Allen > E Saquatucket Stream,FALSE,FALSE
41.668484,-70.086065,0.505,0.938,52,52,MEP,2004,2004,1,lotic,Cape Cod > Allen > Un-name Creek at Kilde Rd,FALSE,FALSE
41.714883,-70.384253,0.078,0.857,52,52,MEP,2006,2006,1,lotic,Cape Cod > Barnstable > Alder Brook,FALSE,FALSE
41.711745,-70.379438,0.261,0.685,52,52,MEP,2006,2006,1,lotic,Cape Cod > Barnstable > Boat Cove Creek,FALSE,FALSE
41.70244545,-70.36325932,0.171,0.648,52,52,MEP,2006,2006,1,lotic,Cape Cod > Barnstable > Bridge Creek,FALSE,FALSE
41.733119,-70.20151,0.371,1.058,52,52,MEP,2006,2006,1,lotic,Cape Cod > Barnstable > Chase Garden Creek,FALSE,FALSE
41.703134,-70.288283,1.659,2.114,52,52,MEP,2006,2006,1,lotic,Cape Cod > Barnstable > Maraspin Creek,FALSE,FALSE
41.705088,-70.223879,0.542,0.959,52,52,MEP,2006,2006,1,lotic,Cape Cod > Barnstable > Whites Brook Discharge,FALSE,FALSE
41.670598,-70.154567,0.124,0.955,52,52,MEP,2003,2003,1,lotic,Cape Cod > Bass River > Fresh Pond,FALSE,FALSE
41.70069,-70.213453,0.532,1.181,52,52,MEP,2005,2005,1,lotic,Cape Cod > Bass River > Hamblin Brook,FALSE,FALSE
41.705451,-70.193727,0.106,1.041,52,52,MEP,2003,2003,1,lotic,Cape Cod > Bass River > Weir Creek,FALSE,FALSE
41.648377,-70.362306,2.027,2.978,52,52,MEP,2003,2003,1,lotic,Cape Cod > Centerville > Bumps River,FALSE,FALSE
41.637222,-70.335589,0.937,1.47,52,52,MEP,2003,2003,1,lotic,Cape Cod > Centerville > Lake Elizabeth Stream,FALSE,FALSE
41.65170218,-70.33525525,0.199,0.53,52,52,MEP,2003,2003,1,lotic,Cape Cod > Centerville > Long Pond Stream,FALSE,FALSE
41.645515,-70.371382,1.113,1.495,52,52,MEP,2003,2003,1,lotic,Cape Cod > Centerville > Skunknett River,FALSE,FALSE
41.706483,-69.984561,0.263,0.851,52,52,MEP,2001,2001,1,lotic,Cape Cod > Chatham > Ryder Cove,FALSE,FALSE
41.702013,-69.970673,0.127,0.732,52,52,MEP,2001,2001,1,lotic,Cape Cod > Chatham > Stillwater Pond,FALSE,FALSE
41.557309,-70.602027,0.047,0.777,52,52,MEP,2006,2006,1,lotic,Cape Cod > Falmouth > Morse Pond,FALSE,FALSE
41.648848,-70.626459,0.314,0.895,52,52,MEP,2005,2005,1,lotic,Cape Cod > Fiddlers > Cedar Lake,FALSE,FALSE
41.646453,-70.627569,0.462,0.875,52,52,MEP,2005,2005,1,lotic,Cape Cod > Fiddlers > Flax Pond,FALSE,FALSE
41.578791,-70.563246,0.062,0.528,52,52,MEP,2002,2002,1,lotic,Cape Cod > GBB > Backus Brook,FALSE,FALSE
41.576468,-70.55128,0.543,0.874,52,52,MEP,2002,2002,1,lotic,Cape Cod > GBB > Bournes Brook,FALSE,FALSE
