Long,Lat,dataset,NO3
-70.36098,41.654467,CCR,2.818
-70.363384,41.648442,CCR,1.856
-70.374416,41.645528,CCR,1.091
-70.335342,41.651496,CCR,0.029
-70.322383,41.638939,CCR,1.354
-70.261053,41.657302,CCR,0.12
-70.224071,41.655419,CCR,0.032
-70.209252,41.66228,CCR,0.361
-70.130171,41.686495,CCR,0.124
-70.123508,41.687884,CCR,0.237
-70.061512,41.669761,CCR,0.824
-70.057425,41.943657,CCR,0.022
-69.988073,41.890489,CCR,0.148
-70.201574,41.73318,CCR,0.27
-70.288244,41.703505,CCR,2.005
-70.41389,41.6525,CCR,0.5764358611111108
-70.45244,41.63829,CCR,0.244291415625
-70.45112,41.6279,CCR,0.9444230551181103
-70.48231,41.64191,CCR,0.39016625
-70.4839,41.62925,CCR,0.2645788983957218
-70.50768,41.59225,CCR,0.2885125600961539
-70.57259,41.58522,CCR,0.5043083085106383
-70.5719,41.6002,CCR,0.18800347849462365
-70.62856,41.62405,CCR,0.2580845573248407
-70.60632,41.69676,CCR,0.4459957857142856
-70.63578,41.76791,CCR,0.24145315021951216
-70.7632908,41.7784948,CCR,0.07494192261904764
-70.79432,41.73389,CCR,0.0527023
-70.628801,41.621571,CCR,0.7467219827586209
-70.525225,41.58921,CCR,1.1448608400145452
-70.918844000000007,41.681859,MEP,0.5974999999999999
-70.872888,41.640446,MEP,1.174
-70.870647,41.640767,MEP,0.401
-70.856715,41.636958,MEP,0.851
-70.849411,41.632585,MEP,0.256
-71.008317,41.544199,MEP,0.195
-71.006334,41.56912,MEP,0.904
-71.006734,41.5416,MEP,0.357
-70.990224,41.58557,MEP,0.259
-70.676352,41.762449,MEP,0.017
-70.721733,41.766467,MEP,0.02
-71.126612,41.553741,MEP,0.22
-71.104556,41.550479,MEP,0.93
-71.07101,41.596512,MEP,0.254
-71.074817,41.58494,MEP,0.58
-71.059327,41.62184,MEP,0.27094687245373295
-70.061295,41.669714,MEP,0.672
-70.057882,41.671203,MEP,0.63
-70.086065,41.668484,MEP,0.505
-70.384253,41.714883,MEP,0.078
-70.379438,41.711745,MEP,0.261
-70.36325932,41.70244545,MEP,0.171
-70.20151,41.733119,MEP,0.371
-70.288283,41.703134,MEP,1.659
-70.223879,41.705088,MEP,0.542
-70.154567,41.670598,MEP,0.124
-70.213453,41.70069,MEP,0.532
-70.193727,41.705451,MEP,0.106
-70.362306,41.648377,MEP,2.027
-70.335589,41.637222,MEP,0.937
-70.33525525,41.65170218,MEP,0.199
-70.371382,41.645515,MEP,1.113
-69.984561,41.706483,MEP,0.263
-69.970673,41.702013,MEP,0.127
-70.602027,41.557309,MEP,0.047
-70.626459,41.648848,MEP,0.314
-70.627569,41.646453,MEP,0.462
-70.563246,41.578791,MEP,0.062
-70.55128,41.576468,MEP,0.543
-70.573375,41.578178,MEP,0.565
-70.122065,41.68197,MEP,0.12
-70.098908,41.680925,MEP,0.148
-70.508739,41.590546,MEP,0.204
-70.251581,41.652992,MEP,0.45
-70.30766,41.638792,MEP,0.848
-70.272014,41.647996,MEP,0.643
-70.260958,41.657379,MEP,0.606
-70.279514,41.642705,MEP,1.14
-70.293032,41.635463,MEP,1.166
-70.592263,41.560109,MEP,1.894
-70.615392,41.659699,MEP,0.336
-69.991681,41.79719,MEP,0.116
-70.011355,41.781234,MEP,0.352
-70.010195,41.790525,MEP,0.54
-69.967575,41.816839,MEP,0.15
-70.642002,41.546347,MEP,0.197
-70.208777,41.662197,MEP,0.459
-70.223601,41.655168,MEP,0.412
-70.602171,41.726801,MEP,0.385
-69.977752,41.768813,MEP,0.19
-69.970213,41.756401,MEP,0.191
-69.984372,41.706196,MEP,0.263
-69.984928,41.70088,MEP,0.127
-69.991744,41.73358,MEP,0.352
-70.624295,41.94313,MEP,0.144
-70.724075,41.98991,MEP,0.517
-70.66321,41.954881,MEP,0.729
-70.480654,41.624684,MEP,0.318
-70.451724,41.627395,MEP,0.702
-70.500181,41.758167,MEP,0.025
-70.472085,41.748438,MEP,0.108
-70.440367,41.74934,MEP,0.115
-70.40601113,41.7301677,MEP,0.16
-70.130337,41.685337,MEP,0.218
-70.428474,41.626419,MEP,0.856
-70.416578,41.656117,MEP,0.481
-70.52713,41.585572,MEP,0.2069
-69.988127,41.890671,MEP,0.223
-69.993934,41.876602,MEP,1.92
-70.057246,41.943477,MEP,0.076
