Long,Lat,dataset,NO3,TN
-70.918844000000007,41.681859,MEP,0.5974999999999999,1.1145
-70.872888,41.640446,MEP,1.174,1.584
-70.870647,41.640767,MEP,0.401,1.109
-70.856715,41.636958,MEP,0.851,1.385
-70.849411,41.632585,MEP,0.256,1.02
-71.008317,41.544199,MEP,0.195,0.614
-71.006334,41.56912,MEP,0.904,1.502
-71.006734,41.5416,MEP,0.357,0.922
-70.990224,41.58557,MEP,0.259,0.927
-70.676352,41.762449,MEP,0.017,0.439
-70.721733,41.766467,MEP,0.02,0.425
-71.126612,41.553741,MEP,0.22,0.98
-71.104556,41.550479,MEP,0.93,1.588
-71.07101,41.596512,MEP,0.254,0.903
-71.074817,41.58494,MEP,0.58,1.158
-71.059327,41.62184,MEP,0.27094687245373295,1.004943341708708
-70.061295,41.669714,MEP,0.672,0.961
-70.057882,41.671203,MEP,0.63,0.987
-70.086065,41.668484,MEP,0.505,0.938
-70.384253,41.714883,MEP,0.078,0.857
-70.379438,41.711745,MEP,0.261,0.685
-70.36325932,41.70244545,MEP,0.171,0.648
-70.20151,41.733119,MEP,0.371,1.058
-70.288283,41.703134,MEP,1.659,2.114
-70.223879,41.705088,MEP,0.542,0.959
-70.154567,41.670598,MEP,0.124,0.955
-70.213453,41.70069,MEP,0.532,1.181
-70.193727,41.705451,MEP,0.106,1.041
-70.362306,41.648377,MEP,2.027,2.978
-70.335589,41.637222,MEP,0.937,1.47
-70.33525525,41.65170218,MEP,0.199,0.53
-70.371382,41.645515,MEP,1.113,1.495
-69.984561,41.706483,MEP,0.263,0.851
-69.970673,41.702013,MEP,0.127,0.732
-70.602027,41.557309,MEP,0.047,0.777
-70.626459,41.648848,MEP,0.314,0.895
-70.627569,41.646453,MEP,0.462,0.875
-70.563246,41.578791,MEP,0.062,0.528
-70.55128,41.576468,MEP,0.543,0.874
-70.573375,41.578178,MEP,0.565,0.851
-70.122065,41.68197,MEP,0.12,0.651
-70.098908,41.680925,MEP,0.148,0.606
-70.508739,41.590546,MEP,0.204,0.497
-70.251581,41.652992,MEP,0.45,1.035
-70.30766,41.638792,MEP,0.848,1.348
-70.272014,41.647996,MEP,0.643,1.167
-70.260958,41.657379,MEP,0.606,1.01
-70.279514,41.642705,MEP,1.14,1.899
-70.293032,41.635463,MEP,1.166,2.072
-70.592263,41.560109,MEP,1.894,2.988
-70.615392,41.659699,MEP,0.336,0.699
-69.991681,41.79719,MEP,0.116,0.86
-70.011355,41.781234,MEP,0.352,0.837
-70.010195,41.790525,MEP,0.54,1.013
-69.967575,41.816839,MEP,0.15,1.306
-70.642002,41.546347,MEP,0.197,1.182
-70.208777,41.662197,MEP,0.459,1.258
-70.223601,41.655168,MEP,0.412,0.966
-70.602171,41.726801,MEP,0.385,0.749
-69.977752,41.768813,MEP,0.19,0.796
-69.970213,41.756401,MEP,0.191,1.618
-69.984372,41.706196,MEP,0.263,0.851
-69.984928,41.70088,MEP,0.127,0.732
-69.991744,41.73358,MEP,0.352,0.687
-70.624295,41.94313,MEP,0.144,0.642
-70.724075,41.98991,MEP,0.517,1.041
-70.66321,41.954881,MEP,0.729,1.354
-70.480654,41.624684,MEP,0.318,0.593
-70.451724,41.627395,MEP,0.702,1.184
-70.500181,41.758167,MEP,0.025,0.336
-70.472085,41.748438,MEP,0.108,0.461
-70.440367,41.74934,MEP,0.115,0.68
-70.40601113,41.7301677,MEP,0.16,0.627
-70.130337,41.685337,MEP,0.218,0.635
-70.428474,41.626419,MEP,0.856,1.137
-70.416578,41.656117,MEP,0.481,0.799
-70.52713,41.585572,MEP,0.2069,0.258
-69.988127,41.890671,MEP,0.223,0.561
-69.993934,41.876602,MEP,1.92,2.613
-70.057246,41.943477,MEP,0.076,1.002
-70.66326084,41.616084,MEP,0.38958333333333334,0.654
-70.632034,41.63368451,MEP,0.32,0.761
-70.719522,41.346272,MEP,0.082,0.677
-70.719522,41.346272,MEP,0.085,0.448
-70.735089,41.339199,MEP,0.093,0.572
-70.599982,41.429469,MEP,0.157,0.765
-70.187384,41.279708,MEP,0.03624775339445108,0.5557988853815831
-70.797453,41.326807,MEP,0.013,0.638
-70.760293,41.345669,MEP,0.078,0.685
-70.762214,41.352459,MEP,0.277,0.775
-70.62234,41.448448,MEP,0.122,0.791
-70.67199,41.382724,MEP,0.048,0.491
-70.677676,41.377733,MEP,0.047,0.45
-71.95951089,42.02769615,WPP,0.1,0.44
-71.34763073,42.01272012,WPP,0.454,0.632
-71.32957594,41.97463265,WPP,0.444,0.754
-71.30757184,41.96096078,WPP,0.712,0.95
-71.29026644,41.93742221,WPP,1.492,2
-71.30583763,41.91782609,WPP,1.314,1.9
-71.32576502,41.89609284,WPP,1.12,1.66
-71.34011441,41.89026914,WPP,0.53,1.75
-71.28005181,41.95360395,WPP,0.296,0.65
-71.2852236,41.92726089,WPP,0.6575,1.24
-71.32433494,41.93648287,WPP,0.124,0.392
-71.34184089,41.95117817,WPP,0.64,0.84
