embFID,EMBAY_NAME,embayshed_area_ha,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Septic_Tar,Total_Targ,MEP_Source,MEP_Sept_T,MEP_Total_,MEP_Septic,MEP_Tota_1,EMBAY_ID,Shape_Leng,Shape_Area,CCC_Nload_Total,MEP_WAL_kgd,MEP_thresh_kgd,MEP_reduction_pct,septic_kgy,wwtf_kgy,fertilizer_kgy,impervious_kgy,water_kgy,natural_kgy,buildout_kgy,unatten_plus_estuary_kgy,atten_plus_estuary_kgy,atten_kgy,loading_rate_kghay,unatten_plus_buildout_kgy,atten_plus_buildout_kgy,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,bogsurf_area_ha,bogshed_area_ha,bog_count,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,NO3_removal_kgN_y_walton2020_a,NO3_removal_kgN_y_walton2020_b,NO3_removal_kgN_y_land2016_a,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_NO3_removal_kgN_y_walton2020_a,marg_NO3_removal_kgN_y_walton2020_b,marg_NO3_removal_kgN_y_land2016_a,marg_TN_removal_kgN_y_1,marg_TN_removal_kgN_y_2,marg_TN_removal_kgN_y_3,marg_TN_removal_kgN_y_1_MEP,marg_TN_removal_kgN_y_2_MEP,marg_TN_removal_kgN_y_3_MEP,TN_removal_kgN_y_1,TN_removal_kgN_y_2,TN_removal_kgN_y_3,TN_removal_kgN_y_1_MEP,TN_removal_kgN_y_2_MEP,TN_removal_kgN_y_3_MEP,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
2,BarnstableHarbor,8771.098471846923,65741,9732,10770,11421,97666,10971,75572,92434,7,75572,92434,-283.9,-211.9,714,220441.72698880098,219380593.60325742,97666,181.427,253.242,39.60%,53984,274,4813,5247,1903,3842,16326,73613,66221,66266.21175,7.555064165,89939,82547,11.134979308861249,7.5550641647335635,9.411249943773365,18.85529491620199,749.48,10,435.44,14202.6716495551,8251.602902121835,0.6875492453575134,0.8374326169490814,0.9881829977035522,0.0692990057170391,0.1768204003572464,0.3609252408146858,4287.600473574235,865.8531027288615,517.1967939666226,481.3285758457782,325.42116966787876,2504.757957623775,510.91721045921184,327.3841480494692,301.3533139342219,195.5564894787019,1179.636036362084,946.4378062309027,1550.1676053769977,1548.69119217064,1246.9182530045432,1941.3406530575974,2006.1140052737767,1801.5043156738168,2162.0519445962186,2647.9971778312056,1154.3608426631736,1771.4883604474753,3289.777139891583,5662.369490184511
3,BassRiver,4779.487101658365,91114,8662,11748,2606,114651,14474,25618,41792,7,25618,41792,464.6,366.3,721,167259.64598057637,105354810.54731461,114651,217.819,114.487,-47.40%,72512,1795,7293,7292,5594,1453,8247,95939,84068,79558.38975,16.6458007,104186,92315,23.98813880263824,16.645800701584736,19.314834005508448,24.053786093286043,188,6,188.06,3562.60643394935,3563.743436002738,0.6487628618876139,0.8239912589391073,1.0561631917953491,0.10797638197739919,0.24867940694093704,0.4704808344443639,1258.7460881483364,395.37540736228675,295.50248055084643,237.96547187118327,152.2516976134414,1259.0882834782612,395.4786814331953,295.5904934198808,238.0273898374083,152.29141740914363,612.819162400999,619.7781486386854,1041.0367009713689,1525.7734017801895,1287.916432962086,2343.3947400881752,612.6589930036529,619.5057691107951,1040.6957340405393,1525.3094727321377,1288.0119946884874,2343.5701056073194,3130.409279940026,3129.4105318979305
5,BournesPond,604.4674301358305,7632,2776,1690,1226,13323,1529,394,1296,2,394,1296,189.9,161.39999999999998,210,53819.509686867874,21196487.363199063,13323,14.95,NA,-100.00%,5573,1,485,502,723,242,1261,7526,6711,5460.4875,9.033551235,8787,7972,22.040889774666894,9.033551234965577,13.188469059794675,8.73960877813729,309.43,1,309.44,5863.709089664613,5863.898590006845,0.7183979153633118,0.7927184700965881,0.8730534315109253,0.2622591555118561,0.3755105137825012,0.5087573528289795,1697.780799632055,804.2382818230776,477.75386664936184,455.9497978638039,304.204932975088,1697.8356676409626,804.264272783289,477.7693064537327,455.9631770121574,304.2144927004055,828.5341769642589,658.9177232511332,1058.7745294702133,1364.1110888701269,958.7898191184041,1616.922426568937,828.507401687082,658.8914670916251,1058.749419939051,1364.0670056524152,958.797989359098,1616.937419794308,2795.342094147748,2795.2517586353983
6,ButtermilkBay,2874.470552150678,4263,737,710,128,5838,820,0,0,0,0,0,0,0,106,33077.8264745347,53842218.43433141,5838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3502.7999999999997,NA,NA,NA,2.030982712844983,1.2185896277069896,NA,112.71282910555053,3540.29,17,1637.79,67088.61665982204,31036.17655030801,0.5082250079687904,0.571212533642264,0.6484784308601829,0.04659454425906434,0.1222695952610058,0.25224060554276495,13652.303740092639,1563.1264456558729,1138.8782517986044,932.6181957855954,600.3204984830744,6288.10050020973,1062.896511952557,798.2482576240515,639.6888408907387,409.2772682887065,3026.861832914401,2585.768591337909,4234.527478064921,960.132500442421,1076.8578137208285,1539.876862768109,6564.087942892988,7193.324243081889,6764.2958579497745,2073.3263673912047,1021.276886944151,1437.8801906097656,1995.7939063622307,4314.160673074778
7,CentervilleRiver,2778.93803438895,48278,5008,6413,4548,63166,7996,25847,34833,4,25847,34833,73.1,59.8,428,77848.76964844904,54096623.89113688,63166,123.558,92.113,-25.40%,48493,47,3155,3972,5156,921,3107,61745,48277,45129.5595,16.23985815,64852,51384,22.730265741204022,16.23985815499602,18.49051665209175,14.097969998047821,385.59000000000003,8,385.67,7306.943696098563,7308.459698836414,1.1907139047980309,1.4336834400892258,1.7706915587186813,0.679215744137764,0.9390220753848553,1.268165834248066,4449.069816813371,3645.0998740247237,1241.013193325873,876.4317377708909,911.3633942566524,4449.863676007818,3645.619829328305,1241.3140575384903,876.6332439586096,911.513693586868,2074.3871994479678,1339.2121619400662,2082.0469708306687,2922.672362614705,1747.726231836419,2845.008683687962,2074.0199012150547,1338.7514097262447,2081.5471491747353,2922.071386467032,1747.8440820345754,2845.2249508271098,6263.226094637315,6261.926905984916
10,GreatPond,3334.852706885451,25721,5758,5128,4099,40705,6013,3207,7195,2,3207,7195,179.3,143.7,222,86735.18734086401,75112671.44295387,40705,53.01,NA,-100.00%,21202,539,1700,2319,3128,1302,4781,30196,21833,19361.9025,5.80592434,34977,26614,12.205936386922463,5.80592433963383,7.980562363384214,14.082296958785713,3113.73,7,1160.7,59005.29006160165,21995.304722792607,0.6641905733517238,0.7382920384407043,0.8151117392948696,0.10152366438082286,0.17256160931927816,0.2779201567173004,15811.526862201055,3274.0936878001366,1367.8644210245059,1230.3033174375225,1084.6040310972357,5894.872936216816,1288.9194708103544,576.3124070696972,658.7400631145632,472.2936006383791,2803.566878555663,1473.0300975668363,2477.3018117888323,3205.08385821798,1915.9047852789902,2749.5921574565964,7396.724555235228,5910.420985484491,3957.232780367455,8452.42645811964,1611.9768967810774,2191.85346901308,6738.936381012985,18078.080794048044
12,GreenPond,641.4920314206738,9152,3662,1849,1268,15932,1767,2376,3708,1,2376,3708,65.2,54.6,113,49536.96809773583,21861270.17590606,15932,22.36,NA,-100.00%,8458,499,909,688,763,281,949,11598,8941,8166.99,12.73124154,12547,9890,24.835850204898662,12.73124154311482,15.417182935378342,23.8304905979942,409.84,1,409.85,7766.482026009583,7766.6715263518145,0.7274652719497681,0.7936329245567322,0.8650235533714294,0.1998976618051529,0.29035162925720215,0.394722580909729,2251.304516954992,823.6426617722225,580.986784483579,494.567459633062,316.96161403540907,2251.3594482578656,823.6627584602418,581.0009604250315,494.5791098754574,316.9692676327452,1129.1072984074192,961.6891373429513,1636.8160045134366,2616.8936457419186,1832.1884287357238,3396.2709272551374,1129.0797491260134,961.6607048990709,1636.785184396754,2616.8297957078635,1832.1999432435025,3396.2920575518615,5217.899346445609,5217.772034030178
15,HerringRiverHarwich,3865.655609802233,26832,3843,4339,8144,43776,5336,8669,17511,3,8669,17511,47.1,27.7,348,48915.00981203222,69706754.6847993,43776,62.816,47.945,-23.70%,24589,158,7206,2532,6432,1352,9729,41340,23164,22943.544,5.935227117,51069,32893,11.324340401404662,5.9352271169272095,8.50903528927731,54.58330283789676,1055.92,20,747.15,20009.72013689254,14158.518069815196,0.5409746438264846,0.6957687422633171,0.8751793831586838,0.1286748917773366,0.2427836830727756,0.4118901243433356,5377.9456618615395,2165.081651601729,1114.0441964805364,988.0397844788763,758.3168682959864,3977.48271726388,1711.3463333888697,878.5751615116268,753.8710759901953,591.4487601973075,1860.4807524559421,1449.6414016194958,2154.3351611444978,2078.8098044711164,1649.0149550461538,2456.4392399828707,2518.633380944367,2442.65713830591,2772.293873477404,2940.393807341138,1624.6583166415398,2411.7423231391385,4434.504940412165,6267.125017305779
21,NamskaketCreek,629.7390435089897,4515,503,1015,1897,7931,961,0,16750,1,0,16750,0,-261.8,122,22246.68424290042,18157877.95244492,7931,12.685,45.89,261.80%,3916,1196,455,433,1040,381,5331,7421,5834,4633.19625,7.357327289,12752,11165,12.594105577140992,7.357327289385163,17.729566103742172,1.6761216653302915,0.6900000000000001,2,0.71,13.075523613963039,13.454524298425735,0.736251950263977,0.9066901803016663,1.1024689674377441,0.18310436978936195,0.3552005887031555,0.5861873030662537,4.409157768862248,1.908513027415574,1.889427897141418,1.1835652820608873,0.741593731686746,4.534670890521407,1.957683444909751,1.9381066104606537,1.2140255874912897,0.7606937933942771,2.0615885678692543,3.6600657839990003,5.983057372950444,2.3751529712970836,4.143709871697241,6.8400313196693165,2.0042824278197235,3.5413219689429436,5.82610618028025,2.307955456025916,4.157326741115183,6.865019664527711,5.223702375463465,5.076555829675762
25,ParkersRiver,1127.474830983997,29886,2965,3424,1388,37577,4701,804,4912,4,804,4912,384,321.5,504,65014.837557038154,29074083.3286659,37577,67.022,13.459,-79.90%,22821,145,1973,1881,1163,419,13272,28402,25221,24479.7855,21.71204609,41674,38493,33.328460172547615,21.712046093867492,34.14089515985511,24.64318198969267,1038.16,4,683.52,19673.167529089667,12952.727392197126,0.7802606672048569,0.9761542230844498,1.1734965145587921,0.09328535944223404,0.22373002022504807,0.42751654982566833,6894.115765205907,1438.442929739518,869.9345837814734,789.8041317703686,538.1939018352634,4629.623519796274,1061.706060581989,614.075680292865,568.1745538165155,394.095208486485,2219.905623704224,1513.2618312055554,2524.339840365676,7117.889254144743,3617.040484266224,6565.82544152512,3333.791466626591,2687.2973660612283,3662.2433089612755,10905.437414553928,3288.1662983506935,5962.30775177972,14840.617746080308,22540.577772809476
