DERname,bogFID,OBJECTID,embFID,CropStatus,TOWN,EMBAY_NAME,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,bogsurf_area_m2,bogsurf_perim_m2,marg_bogshed_area_m2,ZS_MAX_FA_D8_gwelid0,bog_count,NO3_mgl,TN_mgl,bogshed_area_m2,bogshed_area_ha,bogsurf_area_ha,marg_bogshed_area_ha,Q_m3y,marg_Q_m3y,Q_m3d,marg_Q_m3d,NO3_Load_kgN_y,NO3_Loading_Rate_kgN_ha_y,TN_Load_kgN_y,TN_Loading_Rate_kgN_ha_y,HLR_md,marg_NO3_Load_kgN_y,marg_NO3_Loading_Rate_kgN_ha_y,marg_TN_Load_kgN_y,marg_TN_Loading_Rate_kgN_ha_y,marg_HLR_md,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,TN_Load_kgN_y_CCC,TN_Load_kgN_y_MEP,TN_load_kgN_y_MEP_Buildout,marg_TN_Load_kgN_y_CCC,marg_TN_Load_kgN_y_MEP,marg_TN_load_kgN_y_MEP_Buildout,TN_load_kgN_y_FERT
Co-U,166,10,10,active,Falmouth,GreatPond,0.045672155916690826,0.07854524254798889,0.1310172826051712,0.6319228410720825,0.7069414258003235,0.7922132015228271,16870.105300814634,16870.105300814634,160799.99999999997,79746,1,0.07854524254798889,0.7069414258003235,7974600,797.46,1.6870105300814633,16.08,5519619.390000001,111297.71999999997,15111.89429158111,304.71655030800815,433.53984376013256,256.98704070282093,3902.0476014417122,2312.995403326432,0.8957794881607157,8.741906412438151,5.181892025307048,78.68096886512517,46.63928734417904,0.018062516200968458,12.205936386922463,5.80592433963383,7.980562363384214,9733.746031115188,4629.992423884394,6364.179262304376,196.2714571017132,93.35926338131198,128.32744280321816,18.582252287794308
Co-M,165,15,10,active,Falmouth,GreatPond,0.03876681253314018,0.07829789072275162,0.1505471020936966,0.6267885565757751,0.7078983783721924,0.7974810004234314,40162.42109225298,40162.42109225298,7658500,76584,1,0.07829789072275162,0.7078983783721924,7658400,765.84,4.016242109225298,765.85,5300761.5600000005,5300830.775,14512.694209445586,14512.883709787817,415.03844937224244,103.33999746153255,3752.400512461653,934.3063516620172,0.36135008335553187,415.0438687607488,103.34134682951361,3752.449509647912,934.3185514211268,0.36135480170510037,12.205936386922463,5.80592433963383,7.980562363384214,9347.7943225607,4446.409096265173,6111.833880374167,9347.91638192457,4446.467155508569,6111.913685997801,44.238505208905735
Co-L1,584,8,10,active,Falmouth,GreatPond,0.11814747005701065,0.1908477395772934,0.28987330198287964,0.6743407845497131,0.7642011642456055,0.8458746671676636,34560.86539572718,34560.86539572718,4786900,128258,1,0.1908477395772934,0.7642011642456055,12825800,1282.58,3.456086539572718,478.69,8877377.47,3313252.835,24304.934893908285,9071.191882272416,1694.227423523892,490.21556726798633,6784.102198021708,1962.9433812905734,0.7032501824133474,632.3268142078091,182.9603532688116,2531.991673947053,732.6181346894421,0.26247004461276896,12.205936386922463,5.80592433963383,7.980562363384214,15655.089891139012,7446.562439527556,10235.709676029324,5842.859689055914,2779.237922139318,3820.2153977283897,38.06844762473953
Co-L2,585,2,10,active,Falmouth,GreatPond,0.1638331413269043,0.23680981993675232,0.3284483253955841,0.7037416696548462,0.7877959609031677,0.8641927242279053,98369.94092083657,98369.94092083657,2103600,153001,1,0.23680981993675232,0.7877959609031677,15300100,1530.01,9.836994092083657,210.36,10589964.215000002,1456006.74,28993.741861738537,3986.329199178645,2507.807518890801,254.93636525704176,8342.731034686087,848.0975953213105,0.2947418854817786,344.79669392609776,35.05102175506781,1147.0362288197887,116.60434255448712,0.04052385476562045,12.205936386922463,5.80592433963383,7.980562363384214,18675.20473135524,8883.122298883156,12210.340221601482,2567.6407783530094,1221.3342440853726,1678.7910987615035,108.35350622489229
MM-U1,154,71,48,active,Barnstable,ThreeBays,0.1791675090789795,0.3761742115020752,0.6693984270095825,0.6716983318328857,0.8148833513259888,1.0277975797653198,30824.049836864186,30824.049836864186,1398300.0000000002,13982,1,0.3761742115020752,0.8148833513259888,1398200,139.82,3.0824049836864185,139.83,967764.13,967833.3450000002,2649.593785078713,2649.783285420945,364.0479085227418,118.10515180498987,788.6148775474799,255.84401846000515,0.08595865238674502,364.073945420791,118.11359874761649,788.6712796986421,255.86231655887948,0.0859648001948116,17.16915276913104,9.498146810503622,12.932549175552776,2400.5909401799017,1328.0308870446163,1808.229025725789,2400.7626317075933,1328.1258685127216,1808.3583512175449,33.952382654807536
MM-U2,178,76,48,active,Barnstable,ThreeBays,0.15834902226924896,0.3503737151622772,0.6497464776039124,0.6703413724899292,0.8234307169914246,1.0462647676467896,31723.204187143805,31723.204187143805,860400.0000000001,22586,1,0.3503737151622772,0.8234307169914246,2258600,225.86,3.1723204187143805,86.04,1563289.9900000002,595525.8600000001,4280.054729637235,1630.4609445585218,547.7357216722993,172.66090727817323,1287.2609973312171,405.77899689366643,0.1349187397460871,208.65660804341022,65.7741276109715,490.3742858867348,154.57905292097342,0.05139647732114289,17.16915276913104,9.498146810503622,12.932549175552776,3877.8248444359365,2145.251438620348,2920.94555679035,1477.2339042560347,817.2205515757316,1112.716531064561,34.94279218009703
MM-M,156,65,48,active,Barnstable,ThreeBays,0.2533135414123535,0.4731399118900299,0.7334768176078796,0.7328755855560303,0.8859512805938721,1.123060941696167,76580.66340005919,76580.66340005919,294000,48442,1,0.4731399118900299,0.8859512805938721,4844200,484.42,7.658066340005918,29.4,3352913.0300000003,203492.1,9179.77557837098,557.1310061601642,1586.3969755891333,207.1537259088183,2970.51759264838,387.8939487805592,0.11987067192687553,96.28023426431716,12.572394908796618,180.28408658573628,23.54172431804723,0.007275087227303043,17.16915276913104,9.498146810503622,12.932549175552776,8317.080984422459,4601.092277944164,6264.785471621276,504.7730914124525,279.2455162288065,380.21694576125157,84.35283492853118
MM-M,156,68,48,active,Barnstable,ThreeBays,0.18200968205928802,0.38320380449295044,0.6727877855300903,0.6884168982505798,0.844544529914856,1.07772958278656,1117.8016759557402,1117.8016759557402,1400.0000000000002,13,1,0.38320380449295044,0.844544529914856,1300,0.13,0.11178016759557402,0.14,899.7950000000001,969.0100000000002,2.4635044490075293,2.653004791238878,0.3448048672637344,3.084669442537024,0.7599169452947379,6.798316388683131,0.0022038833023766847,0.371328318591714,3.3219517073475644,0.8183720949327947,7.321263803197218,0.0023734127871748913,17.16915276913104,9.498146810503622,12.932549175552776,2.231989859987035,1.2347590853654709,1.681231392821861,2.4036813876783456,1.3297405534705071,1.8105568845773887,1.2312473680484881
MM-M,156,74,48,active,Barnstable,ThreeBays,0.18200968205928802,0.38320380449295044,0.6727877855300903,0.6884168982505798,0.844544529914856,1.07772958278656,65027.33521268367,65027.33521268367,2290200,45488,1,0.38320380449295044,0.844544529914856,4548800,454.88,6.502733521268367,229.02,3148451.9200000004,1585161.9300000002,8619.991567419576,4339.936837782341,1206.4987540071345,185.53716680240115,2659.007846735926,408.90616815823057,0.13255950807804648,607.440082313388,93.41303627569009,1338.739837010776,205.87339656964028,0.06674019200675826,17.16915276913104,9.498146810503622,12.932549175552776,7809.904211622326,4320.517021161887,5882.757968975447,3932.0793671863908,2175.2655825415395,2961.812412185097,71.62695946341894
MM-L1,425,62,48,active,Barnstable,ThreeBays,0.2955736815929413,0.5156233310699463,0.7258546948432922,0.7743062376976013,0.9227902293205261,1.1268208026885986,15843.498975843979,15843.498975843979,45599.99999999999,455,1,0.5156233310699463,0.9227902293205261,45500,4.55,1.584349897584398,4.56,31492.825000000004,31562.039999999997,86.22265571526353,86.41215605749485,16.238435331302885,10.249273443991791,29.061271203701203,18.342710311661516,0.005442147334166787,16.274124200162884,10.271799319692867,29.125142129423615,18.38302396069813,0.0054541080975385806,17.16915276913104,9.498146810503622,12.932549175552776,78.11964509954622,43.21656798779148,58.84309874876513,78.29133662723753,43.31154945589651,58.97242424052065,17.451455686902385
