EMBAY_NAME,CropStatus,embFID,bogsurf_area_ha,bogshed_area_ha,embayshed_area_ha,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,NO3_mgl,TN_mgl,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
BassRiver,abandoned,3,2.3829176818165894,0.47,4779.487101658365,0.48,8.906516084873376,9.096016427104724,0.20785804092884064,0.692957878112793,0.524101972579956,0.692957878112793,0.894671618938446,0.07267150282859802,0.20785804092884064,0.4663054049015045,2.254264738078118,0.6761840322358161,2.302227817611694,0.6905709265387059,7.989984336760673,7.823526329744825
NamskaketCreek,active,21,1.0454088743027943,0.93,629.7390435089897,0.94,17.6235318275154,17.81303216974675,0.25935065746307373,0.8167033195495605,0.6443241238594055,0.8167033195495605,1.0626558065414429,0.0980704054236412,0.25935065746307373,0.533786952495575,5.257115184423923,1.6694388853365183,5.313643304686547,1.6873898410928252,6.915887652022053,6.842314379128202
StageHarbor,active,44,1.7764690145664936,1.04,1021.107236328206,1.05,19.708035592060234,19.897535934291582,0.2186722308397293,0.8421527743339539,0.5909863114356995,0.8421527743339539,1.1268399953842163,0.0645769014954567,0.2186722308397293,0.49795499444007874,6.06211884465456,1.574081439587474,6.1204084489300845,1.589216838045046,10.84576630983776,10.742473297363116
WychmereHarbor,active,54,2.8409199447482023,6.55,43.31464706170945,6.56,124.1227241615332,124.31222450376455,0.5744386315345764,1.0486338138580322,0.8238920569419861,1.0486338138580322,1.3170740604400635,0.33519622683525085,0.5744386315345764,0.8392215967178345,47.540679074150326,26.04264927249104,47.61326026357651,26.082409042372703,213.85584942670943,213.5298496562419
PopponessetBay,abandoned,31,2.205336014620631,12.83,5300.363357264758,5,243.12893908282,94.7501711156742,0.14355997741222382,0.7651242613792419,0.6633704304695129,0.7651242613792419,0.8592811226844788,0.08316729962825775,0.14355997741222382,0.2323375940322876,67.94521118900032,12.748534422341216,26.479037875682124,4.968251918293537,23.811978348052637,61.10153644110307
SandwichHarbor,active,40,2.916897503365746,16.35,2768.844439174077,16.36,309.83305954825465,310.022559890486,0.11275796592235565,0.6149616241455078,0.5439791679382324,0.6149616241455078,0.6785410642623901,0.052620790898799896,0.11275796592235565,0.22594138979911804,69.59307001290323,12.76042716950141,69.63563458171845,12.768231712112724,87.14691886481592,87.09365057700124
Wareham,abandoned,50,3.4414390544353255,15.15,11077.57311200755,15.16,287.09301848049284,287.28251882272417,0.09677919745445251,0.6720548272132874,0.606904923915863,0.6720548272132874,0.7719319462776184,0.04196596145629883,0.09677919745445251,0.20438756048679352,70.47215642133504,10.148336809992045,70.51867269620061,10.155035382143854,64.7213386858946,64.67864650998041
SulfurSpringsBucksCreek,active,45,5.480825691830224,19.47,464.5006660003036,19.48,368.9571663244353,369.1466666666667,0.30860960483551025,0.947165310382843,0.6652671098709106,0.947165310382843,1.2850466966629028,0.09309658408164978,0.30860960483551025,0.6241225004196167,127.6415174275151,41.58872566604913,127.70707547447324,41.61008607984782,375.6353314031329,375.44250012417854
PhinneysHarborEelPondBackRiver,active,26,1.5761585492108316,77.66,1276.510371620226,9.51,1471.6596577686516,180.21482546201233,0.20909589529037476,0.6546854376792908,0.6086456179618835,0.6546854376792908,0.7258400917053223,0.10196104645729065,0.20909589529037476,0.3845420181751251,351.90893225063746,112.39399720033587,43.09366399309247,13.763416345289647,79.73401945478349,651.1192377348566
NA,inactive,-1,4.110852164321588,74.54,NA,45.67,1412.535550992471,865.4480629705681,0.14305298030376434,0.7129579186439514,0.6237684488296509,0.7129579186439514,0.8549148440361023,0.060888759791851044,0.14305298030376434,0.28435245156288147,367.8353879544669,73.80512528447852,225.36949514194401,45.21974874888831,NA,NA
PleasantBay,active,27,1.9922350394375443,67.97,6012.28155545155,67.98,1288.0338261464751,1288.2233264887063,0.309561163187027,0.8058264255523682,0.5764200091362,0.8058264255523682,1.0609674453735352,0.11309822648763657,0.309561163187027,0.5805667638778687,379.1045512751949,145.63439736020254,379.16032655123945,145.6558236361125,525.3266441291586,525.2493674824788
WildHarbor,active,53,4.570837547230815,87.64,862.2174338862332,87.65,1660.7809993155374,1660.9704996577686,0.2945743799209595,0.781818687915802,0.6894403696060181,0.781818687915802,0.8657770752906799,0.1894637495279312,0.2945743799209595,0.43483877182006836,474.2514193625844,178.6888954493928,474.30553294306844,178.709284415099,878.4223406516453,878.322121331548
ThreeBays,abandoned,48,2.918718563757606,122.24,5028.320334781984,23.78,2316.452183436003,450.6318138261465,0.05138221010565758,0.6580708622932434,0.5802391171455383,0.6580708622932434,0.7619813084602356,0.03285828232765198,0.05138221010565758,0.08034764230251312,556.7833327438547,43.47367407618881,108.31403511656464,8.457165981117226,225.86593115377613,1161.0534661159627
