OBJECTID,bogFID,embFID,CropStatus,TOWN,EMBAY_NAME,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,bogsurf_area_m2,bogsurf_perim_m2,marg_bogshed_area_m2,ZS_MAX_FA_D8_gwelid0,bog_count,NO3_mgl,TN_mgl,bogshed_area_m2,bogshed_area_ha,bogsurf_area_ha,marg_bogshed_area_ha,Q_m3y,marg_Q_m3y,Q_m3d,marg_Q_m3d,NO3_Load_kgN_y,NO3_Loading_Rate_kgN_ha_y,TN_Load_kgN_y,TN_Loading_Rate_kgN_ha_y,HLR_md,marg_NO3_Load_kgN_y,marg_NO3_Loading_Rate_kgN_ha_y,marg_TN_Load_kgN_y,marg_TN_Loading_Rate_kgN_ha_y,marg_HLR_md,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,TN_Load_kgN_y_CCC,TN_Load_kgN_y_MEP,TN_load_kgN_y_MEP_Buildout,marg_TN_Load_kgN_y_CCC,marg_TN_Load_kgN_y_MEP,marg_TN_load_kgN_y_MEP_Buildout,TN_load_kgN_y_FERT,DERname,embayshed_area_ha,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Septic_Tar,Total_Targ,MEP_Source,MEP_Sept_T,MEP_Total_,MEP_Septic,MEP_Tota_1,EMBAY_ID,Shape_Leng,Shape_Area,resid
190,164,21,active,Brewster,NamskaketCreek,0.0980704054236412,0.25935065746307373,0.533786952495575,0.6443241238594055,0.8167033195495605,1.0626558065414429,10454.088743027944,10454.088743027944,9400,93,1,0.25935065746307373,0.8167033195495605,9300,0.93,1.0454088743027943,0.94,6436.995,6506.210000000001,17.6235318275154,17.81303216974675,1.6694388853365183,1.5969243483320372,5.257115184423923,5.028764642858046,0.0016858027763796163,1.6873898410928252,1.6140955778839947,5.313643304686547,5.082837380953295,0.0017039296879535909,12.594105577140992,7.357327289385163,17.729566103742172,11.712518186741123,6.842314379128202,16.488496476480222,11.838459242512531,6.915887652022053,16.66579213751764,11.515074209557849,NA,629.7390435089897,4515,503,1015,1897,7931,961,0,16750,1,0,16750,0,-261.8,122,22246.68424290042,18157877.95244492,-1.602244347335506
97,394,44,active,Chatham,StageHarbor,0.0645769014954567,0.2186722308397293,0.49795499444007874,0.5909863114356995,0.8421527743339539,1.1268399953842163,17764.690145664936,17764.690145664936,10500,104,1,0.2186722308397293,0.8421527743339539,10400,1.04,1.7764690145664936,1.05,7198.360000000001,7267.575000000001,19.708035592060234,19.897535934291582,1.574081439587474,0.8860731184616762,6.06211884465456,3.4124540281575815,0.0011093937147487781,1.589216838045046,0.8945930522930386,6.1204084489300845,3.445266086120635,0.001120060962005978,12.32485634442699,10.329301247464533,15.83673038901302,12.817850598204071,10.742473297363116,16.47019960457354,12.94109916164834,10.84576630983776,16.62856690846367,19.56762854854847,NA,1021.107236328206,8891,1276,1774,642,12585,2070,1711,3764,6,1711,3764,458,384,864,57984.01354044118,21050422.108269375,-4.725357860907676
64,137,54,active,Harwich,WychmereHarbor,0.33519622683525085,0.5744386315345764,0.8392215967178345,0.8238920569419861,1.0486338138580322,1.3170740604400635,28409.199447482024,28409.199447482024,65600,655,1,0.5744386315345764,1.0486338138580322,65500,6.55,2.8409199447482023,6.56,45335.825000000004,45405.04,124.1227241615332,124.31222450376455,26.04264927249104,9.166977521008345,47.540679074150326,16.734255100019713,0.004369103198102771,26.082409042372703,9.180972906536601,47.61326026357651,16.759803581088445,0.0043757735846647605,30.93641737611138,32.59997704675449,21.332275862333518,202.63353381352954,213.5298496562419,139.72640689828452,202.94289798729062,213.85584942670943,139.93972965690787,31.29244909940697,NA,43.31464706170945,1063,155,118,4,1340,152,0,241,1,0,241,100,83,153,4078.751827128609,876187.7687350286,-166.24258916313292
161,196,40,active,Sandwich,SandwichHarbor,0.052620790898799896,0.11275796592235565,0.22594138979911804,0.5439791679382324,0.6149616241455078,0.6785410642623901,29168.97503365746,29168.97503365746,163600,1635,1,0.11275796592235565,0.6149616241455078,163500,16.35,2.916897503365746,16.36,113166.52500000001,113235.74,309.83305954825465,310.022559890486,12.76042716950141,4.374657373040165,69.59307001290323,23.858592882540872,0.01062200708769317,12.768231712112724,4.377333004460984,69.63563458171845,23.873185294089822,0.010628503728113775,7.1062135964089,5.326828781467966,6.92129891042794,116.18659230128553,87.09365057700124,113.16323718549684,116.25765443724961,87.14691886481592,113.2324501746011,32.129334309823356,NA,2768.844439174077,12545,3770,2081,1108,19676,1954,30312,34947,3,30312,34947,-600,-403.4,420,73043.26713518742,49785570.19922805,-17.511284283097467
75,143,45,active,Chatham,SulfurSpringsBucksCreek,0.09309658408164978,0.30860960483551025,0.6241225004196167,0.6652671098709106,0.947165310382843,1.2850466966629028,54808.256918302235,54808.256918302235,194800,1947,1,0.30860960483551025,0.947165310382843,194700,19.47,5.480825691830224,19.48,134761.605,134830.82,368.9571663244353,369.1466666666667,41.58872566604913,7.5880401976734495,127.6415174275151,23.288738705516376,0.006731780703670375,41.61008607984782,7.5919374961827835,127.70707547447324,23.300700050511505,0.006735238218156082,25.205561276832157,19.283127895438035,20.813748413427852,490.75227805992205,375.44250012417854,405.2436816094403,491.00433367269045,375.6353314031329,405.45181909357456,60.37074691294073,NA,464.5006660003036,8371,966,1322,841,11708,1738,4019,6242,3,4019,6242,106,92,435,56000.8622425107,14862237.207714282,-247.92825592865967
147,582,26,active,Bourne,PhinneysHarborEelPondBackRiver,0.10196104645729065,0.20909589529037476,0.3845420181751251,0.6086456179618835,0.6546854376792908,0.7258400917053223,15761.585492108317,15761.585492108317,95100,7766,1,0.20909589529037476,0.6546854376792908,776600,77.66,1.5761585492108316,9.51,537523.6900000001,65823.465,1471.6596577686516,180.21482546201233,112.39399720033587,71.30881424118819,351.90893225063746,223.27000822781127,0.09337002667057183,13.763416345289647,8.732253714057425,43.09366399309247,27.340944865393826,0.01143380058765308,9.710849418533302,8.384229175056099,13.471100887471657,754.1445658432962,651.1192377348566,1046.1656949210487,92.35017797025169,79.73401945478349,128.11016943985547,17.36122880370239,NA,1276.510371620226,8683,1631,1622,459,12396,1456,4363,7024,4,4363,7024,80,68.2,508,77219.83010112497,26982346.103947144,-36.64035546169102
137,130,27,active,Harwich,PleasantBay,0.11309822648763657,0.309561163187027,0.5805667638778687,0.5764200091362,0.8058264255523682,1.0609674453735352,19922.350394375444,19922.350394375444,679800,6797,1,0.309561163187027,0.8058264255523682,679700,67.97,1.9922350394375443,67.98,470454.35500000004,470523.57,1288.0338261464751,1288.2233264887063,145.63439736020254,73.10101191740841,379.1045512751949,190.29107699171138,0.0646527041563388,145.6558236361125,73.11176681102579,379.16032655123945,190.31907332494538,0.06466221610339724,14.485349562685133,7.727664667978208,15.407961045337727,984.5692097757085,525.2493674824788,1047.2791122516053,984.7140632713355,525.3266441291586,1047.4331918620587,21.94426973590061,NA,6012.28155545155,53970,10294,10199,12529,87090,10563,15560,29576,20,15560,29576,1030,740.1999998092999,2560,355306.489502535,204507956.26196972,-146.16631757791913
21,586,53,active,Falmouth,WildHarbor,0.1894637495279312,0.2945743799209595,0.43483877182006836,0.6894403696060181,0.781818687915802,0.8657770752906799,45708.37547230815,45708.37547230815,876500,8764,1,0.2945743799209595,0.781818687915802,876400,87.64,4.570837547230815,87.65,606600.26,606669.475,1660.7809993155374,1660.9704996577686,178.6888954493928,39.09325011072625,474.2514193625844,103.7559122288001,0.03633428189373523,178.709284415099,39.09771077367818,474.30553294306844,103.76775110513837,0.03633842774972493,15.788360876261512,10.021932009716432,11.302253488516008,1383.691947195559,878.322121331548,990.529495733543,1383.8498308043215,878.4223406516453,990.6425182684281,50.347318498992706,NA,862.2174338862332,9720,2110,1474,298,13613,1716,3587,5885,2,3587,5885,94.8999996185,69.1999998093,304,54050.621428381,16099678.240930095,-404.11680770857686
44,201,16,active,Yarmouth,LewisBay,0.3058455288410187,0.42167192697525024,0.537798285484314,0.9011310935020447,1.0066884756088257,1.1201483011245728,80124.14978627242,80124.14978627242,866600,8665,1,0.42167192697525024,1.0066884756088257,866500,86.65,8.012414978627243,86.66,599747.9750000001,599817.19,1642.020465434634,1642.2099657768651,252.89688431775426,31.563128593856575,603.7593747022302,75.35298362762428,0.020493452595935806,252.9260703401798,31.566771193809696,603.8290526450693,75.36167987501348,0.02049581767990533,21.43545022686751,13.83952863894016,20.815490205125492,1857.3817621580697,1199.195156564165,1803.6622262741241,1857.5961166603383,1199.3335518505544,1803.870381176175,88.2559497480812,NA,3534.098850186387,57533,4751,11773,1700,75755,9787,20216,48941,8,20216,48941,174.79999999999998,79.89999990463002,936,130152.14676782783,84358071.58828473,-595.5044992054851
107,966,3,active,Middleboro,BassRiver,0.06541060656309128,0.22651554644107819,0.5234169960021973,0.6581007242202759,0.9094323515892029,1.2354503870010376,152501.06544657907,152501.06544657907,1092600,10925,1,0.22651554644107819,0.9094323515892029,1092500,109.25,15.250106544657907,109.26,756173.875,756243.0900000001,2070.291238877481,2070.4807392197126,171.28513850009256,11.231733889760497,687.68898535157,45.09404464406621,0.01357558540863245,171.3008167736395,11.23276196608908,687.7519317117852,45.09817224540663,0.013576828025145827,23.98813880263824,16.645800701584736,19.314834005508448,2620.704164188228,1818.5537266481324,2110.145615101798,2620.944045576254,1818.7201846551484,2110.338763441853,167.97839857875238,NA,4779.487101658365,91114,8662,11748,2606,114651,14474,25618,41792,7,25618,41792,464.6,366.3,721,167259.64598057637,105354810.54731463,-1130.968252943363
