EMBAY_NAME,bogsurf_area_ha,bogshed_area_ha,embayshed_area_ha,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,NO3_mgl,TN_mgl,TN_Load_kgN_y,NO3_Load_kgN_y,NO3_removal_kgN_y_walton2020_a,NO3_removal_kgN_y_walton2020_b,NO3_removal_kgN_y_land2016_a,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_NO3_removal_kgN_y_walton2020_a,marg_NO3_removal_kgN_y_walton2020_b,marg_NO3_removal_kgN_y_land2016_a,marg_TN_removal_kgN_y_1,marg_TN_removal_kgN_y_2,marg_TN_removal_kgN_y_3,marg_TN_removal_kgN_y_1_MEP,marg_TN_removal_kgN_y_2_MEP,marg_TN_removal_kgN_y_3_MEP,TN_removal_kgN_y_1,TN_removal_kgN_y_2,TN_removal_kgN_y_3,TN_removal_kgN_y_1_MEP,TN_removal_kgN_y_2_MEP,TN_removal_kgN_y_3_MEP,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
StageHarbor,1.836305714,6.85,1021.107236,6.65,129.8077344,126.0177276,0.227214292,0.858274817,40.69276167,10.77274648,9.771255082,6.656955735,4.181508975,39.50465184,10.45821374,9.485962963,6.463699108,4.059629723,18.46070162,24.69358887,40.30197337,32.09907763,39.6841616,66.6339941,19.0159107,25.54530792,41.31393625,33.06446343,39.50007596,66.29617817,68.6898533,70.75571355
NamskaketCreek,1.095168729,6.87,629.7390435,6.88,130.1867351,130.3762355,0.284500837,0.87890327,41.7924701,13.52821539,11.12524021,8.305635385,5.240853741,41.85330339,13.54790711,11.14143416,8.317575546,5.248454038,19.27554596,24.66790975,39.1332027,23.31231809,28.95682988,46.45674773,19.24752918,24.62655736,39.0864122,23.27843391,28.96348882,46.46896756,50.61841175,50.54483848
WychmereHarbor,2.840919859,6.28,43.31464706,6.29,119.0062149,119.1957153,0.568329036,1.089864731,47.37317205,24.70356958,21.30157635,15.22230021,9.580710294,47.44860704,24.74290648,21.33549606,15.24632843,9.595926341,22.44540686,30.34007195,50.9176175,97.0000492,103.9445328,192.8576258,22.40972259,30.28501949,50.84917738,96.84583609,103.9740403,192.911775,205.0538556,204.7278559
SandwichHarbor,2.916897491,48.21,2768.844439,48.22,913.5811499,913.7706502,0.127882376,0.547652304,182.7436412,42.6724966,34.27194743,26.13915906,16.52011039,182.7815469,42.68134798,34.27905632,26.14450166,16.52352204,86.52789563,94.86920841,146.4725943,121.5961255,125.4091802,197.9184218,86.50995123,94.84610625,146.4485089,121.5709085,125.4139984,197.9272637,256.8596838,256.8064156
SulfurSpringsBucksCreek,5.516886078,33.51,464.500666,33.52,635.0156468,635.2051472,0.302630156,0.940147102,218.0572158,70.19187654,57.4880776,43.07827601,27.18943083,218.1222881,70.21282309,57.5052331,43.09096775,27.19751368,105.1016811,118.6773391,198.0905809,311.4519896,288.1589159,523.4010933,105.0703262,118.6360498,198.0422831,311.3590743,288.1763585,523.4331023,646.3704471,646.1776158
PhinneysHarborEelPondBackRiver,5.30725898,51.82,1276.510372,51.83,981.9907734,982.1802738,0.306414932,0.650024235,233.145577,109.9024963,83.92485372,66.91311335,42.46982642,233.1905684,109.9237048,83.94104917,66.92575851,42.47797114,112.2419968,124.8830886,201.3505114,209.1648738,208.250093,350.7160808,112.220341,124.8549251,201.3191297,209.1245179,208.2576766,350.7299974,434.5545981,434.4707559
ScortonHarbor,2.311966666,109.27,2837.17497,109.28,2070.67024,2070.85974,0.18125841,0.655267,495.5864953,137.087966,88.28697924,80.30542632,52.36544825,495.6318496,137.1005118,88.29505895,80.31233977,52.37015529,233.1110809,205.1099448,304.57461,262.9519315,225.2709534,337.4629021,233.0897493,205.0870738,304.5542661,262.9278693,225.2755806,337.4713935,559.0783231,559.0271629
BassRiver,4.098048279,69.12,4779.487102,69.13,1309.826366,1310.015866,0.440954119,1.056566954,505.4765071,210.9586591,139.2519315,124.5483127,80.77209154,505.5496374,210.9891798,139.2720779,124.5654041,80.78359682,241.5997541,226.9437338,370.5375057,549.9255935,430.9501426,757.6713473,241.5648055,226.9042917,370.4960422,549.846044,430.9651985,757.6989763,1150.724203,1150.557744
WildHarbor,4.570837591,116.31,862.2174339,116.32,2204.07848,2204.267981,0.320215851,0.792194188,637.7477434,257.7864615,167.4869906,151.4480768,98.55599055,637.8025752,257.8086252,167.5013906,151.4603634,98.56432073,305.7273877,277.3885268,439.4526327,558.7968158,443.40546,739.5252799,305.7011044,277.3597209,439.4239531,558.7487761,443.4145244,739.541914,1165.751131,1165.650912
PopponessetBay,3.275713658,132.47,5300.363357,7,2510.311034,132.6502396,0.286570936,0.822064698,753.7438091,262.7543426,160.1911946,150.7338995,99.74015455,39.82944564,13.88450516,8.464847603,8.59382744,5.391990245,18.91613167,15.8659565,43.90106539,15.83257599,22.68168588,37.28205515,357.9742803,500.7020026,462.9499012,299.6201917,13.81612835,21.01285243,33.33676969,630.8745544
LewisBay,8.528480522,111.45,3534.09885,111.46,2111.981314,2112.170815,0.405469865,1.016859055,784.4062695,312.77993,218.5213593,187.4166914,120.2905525,784.4766514,312.8079946,218.5409664,187.4328908,120.3012269,382.5631085,357.9981616,601.5804091,752.2520899,609.6018335,1088.427728,382.5287856,357.9596775,601.5381171,752.1845991,609.6143508,1088.450699,1542.553862,1542.415467
CentervilleRiver,6.116580597,74.14,2778.938034,74.15,1404.955537,1405.145038,1.164054155,1.613280416,827.8709942,597.346042,350.811895,336.7516776,225.5656418,827.9826574,597.426612,350.8592125,336.7926623,225.5951746,400.1002589,356.0922029,615.1274706,581.8901144,477.0782774,853.7570916,400.0463007,356.0340813,615.0630449,581.8116396,477.092966,853.7840467,1204.185482,1204.023084
BarnstableHarbor,2.038285607,152.28,8771.098472,21.3,2885.711211,403.635729,0.205192819,0.878653586,926.106169,216.2744667,124.9749059,120.8985252,81.46138706,129.5380969,30.25115669,17.48072955,18.52650288,11.71060275,60.71119271,45.23140381,108.8737035,75.42043155,81.66086967,132.0891778,434.0422735,488.1272725,476.0288274,539.2029726,53.0326394,79.55345397,160.9228667,1150.485171
PleasantBay,2.037143788,185.71,6012.281555,185.72,3519.210856,3519.400356,0.299889296,0.808379233,1039.084009,385.4752319,197.393795,198.2964051,141.6164854,1039.139961,385.4959887,197.4044241,198.3050622,141.6236782,487.0106709,351.9858575,507.6515003,672.622474,444.2170426,659.1492701,486.9844481,351.9618447,507.6334522,672.586257,444.2240318,659.1620961,1435.181882,1435.104605
PocassetHarbor,17.16523196,334.47,1697.049293,302.06,6338.217947,5724.047337,0.046293791,0.621113539,1437.899025,107.1717059,96.44951771,66.20116673,41.59466381,1298.567224,96.78681342,87.10360068,59.82248338,37.57097713,645.4910313,579.9170391,974.9236124,786.0898564,692.6254734,1159.047668,714.7500008,655.3946518,1055.206192,870.4345967,678.0480216,1132.296556,1581.417051,1751.097666
HerringRiverHarwich,4.357726872,298.72,3865.65561,75.01,5660.754223,1421.442067,0.316904724,0.762528062,1576.595761,655.2291897,352.6561276,350.4205872,243.5420595,395.8906269,164.5311379,88.55361587,98.47995264,63.25572607,189.5170713,138.5543656,300.1384161,213.1226584,206.7269467,332.7882583,754.7332296,748.8225228,833.6773852,848.7401749,151.0855776,230.6806682,445.201386,1772.971044
BournesPond,9.784016756,334.59,604.4674301,325.74,6340.491951,6172.784148,0.375510514,0.79271847,1835.82871,869.6315377,520.0325058,494.5736467,329.2500224,1787.270522,846.6295379,506.2774992,482.6253425,320.7674216,874.8836507,693.9811146,1129.524254,1440.421557,1017.020952,1726.754996,898.6532839,717.2866403,1152.044491,1479.556238,1009.886886,1713.663256,2942.588979,3022.535908
GreenPond,25.14268813,376.74,641.4920314,376.75,7139.235893,7139.425394,0.290351629,0.793632925,2069.481904,757.1226244,545.9280106,456.6519659,291.7519592,2069.536836,757.1427211,545.9425015,456.663722,291.7596333,1039.424884,906.9266183,1550.156794,2409.039759,1737.303113,3227.512036,1039.397295,906.8975779,1550.124765,2408.975816,1737.314628,3227.533166,4796.495251,4796.367939
ParkersRiver,12.08012449,479.59,1127.474831,71.52,9088.246913,1355.306448,0.153487355,0.922541142,3062.358884,509.4985389,347.8600735,303.6147818,195.6224791,456.6815559,75.98018204,51.87546124,46.93164601,29.48843955,224.8431985,162.3899,411.6691737,764.5300161,647.5450478,1227.628878,1507.725805,1615.986577,1793.32546,5126.691141,380.289967,737.1885342,1552.845537,10412.88019
ThreeBays,4.742576609,681.63,5028.320335,89.4,12916.91183,1694.13306,0.107730187,0.780417323,3681.932485,508.2604718,293.1235663,283.818148,191.3790119,482.9082701,66.66151164,38.44497282,40.85712091,25.8115903,231.7163164,134.5964821,357.1476961,407.4444156,349.3309348,584.5855251,1766.720277,1702.676821,1481.723251,3106.558579,193.327571,298.3034338,849.1343249,6474.22181
SaquatucketHarbor,7.680272155,476.88,713.2512055,60.66,9036.89232,1149.509076,0.685760438,1.186326623,3915.737848,2263.506568,1045.061072,1047.815541,805.6650178,498.0889487,287.9221365,132.9336617,172.3816468,110.7035816,242.2028137,151.5149236,417.4889387,260.4565134,259.3027978,445.4274908,1904.08305,1921.38119,1942.0284,2047.584934,159.4139979,262.1213503,535.6275964,4210.848799
ButtermilkBay,22.16997374,1243.74,2874.470552,146.13,23568.91556,2769.168501,0.032778788,0.566062927,4872.97898,282.1777208,231.0951273,173.1777476,109.3038239,572.538005,33.1537382,32.82220082,20.57690616,12.88571734,286.5797786,201.9169398,525.5879675,89.13290968,116.0972792,182.3097461,2439.134564,2662.305264,2741.496958,758.6270108,81.60989524,119.0218775,178.0725023,1515.608664
WaquoitBay,3.459479278,1243.61,5562.163154,140.33,23566.45206,2659.258303,0.501603007,0.74859643,6443.653525,4317.621428,1284.897502,770.4031773,1154.538545,727.1072918,487.204039,144.9889166,263.0543699,181.6072144,345.8489476,151.0870455,451.7420571,398.278071,328.5278863,509.5174839,3064.927027,2610.426135,1670.047973,3529.555988,163.3019953,206.3111141,837.3334416,7420.482016
GreatPond,10.72877052,1309.61,3334.852707,122.28,24817.15432,2317.210185,0.246814936,0.825151443,7479.556887,2237.245504,1120.935714,1128.881252,817.1764715,698.3760174,208.8945413,104.6632349,127.3409813,80.75347992,342.7253008,186.5953774,562.0291666,348.4044162,340.8826998,570.2852708,3670.563307,3602.436847,3075.762959,3731.386224,188.6320943,290.8898739,709.9484283,7603.496574
Wareham,12.27494517,2704.33,11077.57311,492.94,51247.14605,9341.22987,0.054392986,0.517364204,9684.033566,1018.129005,616.8385626,582.4757696,386.1598801,1765.186758,185.5825701,112.4361306,113.62351,71.83536694,869.4544422,445.6952147,1122.370376,1036.569726,821.8866513,1304.581711,4769.934945,3936.016225,3421.551752,5686.750128,497.8994355,710.0321101,2104.46812,11545.37321
PlymouthDuxbury,5.979357213,4406.25,19337.51105,188.1,83498.5883,3564.501437,0.226710737,0.778943419,23756.10687,6914.192168,2117.622182,1352.211985,1900.440474,1014.133039,295.1624503,90.39993926,174.6303847,113.0838388,489.7455119,126.7885311,660.1847199,780.1686302,594.7474563,983.5359007,11472.30814,9746.121645,3030.027167,18275.48127,133.9424568,137.9117056,1615.522275,37843.67371
