embFID,EMBAY_NAME,embayshed_area_ha,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Septic_Tar,Total_Targ,MEP_Source,MEP_Sept_T,MEP_Total_,MEP_Septic,MEP_Tota_1,EMBAY_ID,Shape_Leng,Shape_Area,CCC_Nload_Total,MEP_WAL_kgd,MEP_thresh_kgd,MEP_reduction_pct,septic_kgy,wwtf_kgy,fertilizer_kgy,impervious_kgy,water_kgy,natural_kgy,buildout_kgy,unatten_plus_estuary_kgy,atten_plus_estuary_kgy,atten_kgy,loading_rate_kghay,unatten_plus_buildout_kgy,atten_plus_buildout_kgy,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,CropStatus,bogsurf_area_ha,bogshed_area_ha,bog_count,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
1,AllenHarbor,114.5494311333574,2627,236,298,22,3183,351,541,893,1,541,893,73.7,62.9,101,7211.932682904501,2186723.852740881,3183,6.602,2.447,-62.90%,2281,0,179,197,83,40,514,2779,2492,2411.3805,21.05100371,3293,3006,27.78713057330141,21.05100371203671,26.24194612106316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,BarnstableHarbor,8771.098471846923,65741,9732,10770,11421,97666,10971,75572,92434,7,75572,92434,-283.9,-211.89999999999998,714,220441.72698880098,219380593.60325742,97666,181.427,253.242,39.60%,53984,274,4813,5247,1903,3842,16326,73613,66221,66266.21175,7.555064165,89939,82547,11.134979308861249,7.5550641647335635,9.411249943773365,active,21.851708360558987,837.35,11,473.66999999999996,15867.811156741958,8976.062710472279,0.6363403146917169,0.8096818978136237,0.9901047565720298,0.06886973706158725,0.178216044198383,0.3848037828098644,4613.209971218292,916.52205909885,2627.837194505453,532.8470307371387,3578.607242909347,6326.232978339649
3,BassRiver,4779.487101658365,91114,8662,11748,2606,114651,14474,25618,41792,7,25618,41792,464.6,366.3,721,167259.64598057637,105354810.54731463,114651,217.819,114.487,-47.40%,72512,1795,7293,7292,5594,1453,8247,95939,84068,79558.38975,16.6458007,104186,92315,23.98813880263824,16.645800701584736,19.314834005508448,abandoned,3.07859811583906,1.17,3,1.2,22.171540041067765,22.74004106776181,0.5657787720362345,0.7176995674769083,0.9114730954170227,0.08317806820074718,0.2162726471821467,0.4563993712266286,5.7914923885089165,1.7444204154794662,5.940519115197659,1.7893283493036034,19.974960841901684,19.47558682085414
3,BassRiver,4779.487101658365,91114,8662,11748,2606,114651,14474,25618,41792,7,25618,41792,464.6,366.3,721,167259.64598057637,105354810.54731463,114651,217.819,114.487,-47.40%,72512,1795,7293,7292,5594,1453,8247,95939,84068,79558.38975,16.6458007,104186,92315,23.98813880263824,16.645800701584736,19.314834005508448,active,25.10498077360522,206.59,4,206.63,3914.8875701574266,3915.645571526352,0.7265456914901733,0.9313099980354309,1.210388958454132,0.11157671548426151,0.2740240879356861,0.5289527326822281,1373.630315773982,408.7876432264241,1373.888158260038,408.86350953540995,3439.5217989684543,3438.8559669403908
4,BoatMeadowRiver,258.9532747024497,903,202,305,50,1460,386,0,0,0,0,0,0,0,104,12320.53860265062,4667329.027082961,1460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5.638082784153293,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,BournesPond,604.4674301358305,7632,2776,1690,1226,13323,1529,394,1296,2,394,1296,189.9,161.39999999999998,210,53819.509686867874,21196487.363199063,13323,14.95,NA,-100.00%,5573,1,485,502,723,242,1261,7526,6711,5460.4875,9.033551235,8787,7972,22.040889774666894,9.033551234965577,13.188469059794675,active,8.73960877813729,349.48,1,349.48,6622.657960301164,6622.657960301164,0.6723121404647827,0.7637391090393066,0.8494621515274048,0.21072643995285034,0.3137483596801758,0.44565021991729736,1847.4282505989745,758.9340082130242,1847.4282505989745,758.9340082130242,3157.04548559577,3157.04548559577
6,ButtermilkBay,2874.470552150678,4263,737,710,128,5838,820,0,0,0,0,0,0,0,106,33077.8264745347,53842218.43433141,5838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3502.7999999999997,NA,NA,NA,2.030982712844983,1.2185896277069896,NA,abandoned,9.509017922030328,302.05,2,283.87,5723.8578370978785,5379.346214921287,0.5797020196914673,0.6275560855865479,0.6995916962623596,0.05805713124573231,0.1457783803343773,0.3243526518344879,1300.5693248295527,284.89393777476596,1220.4374118991311,264.5237626481187,345.9210376171832,368.07499704889625
6,ButtermilkBay,2874.470552150678,4263,737,710,128,5838,820,0,0,0,0,0,0,0,106,33077.8264745347,53842218.43433141,5838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3502.7999999999997,NA,NA,NA,2.030982712844983,1.2185896277069896,NA,active,127.61523509793348,5043.82,19,1644.8799999999999,95580.56161533197,31170.532292950036,0.5578033171202007,0.6060101515368411,0.6528605034476832,0.042227357380876414,0.0870246347039938,0.16608276296603053,20971.574145021532,1397.4084402502842,6795.892509777697,692.5798751264122,2004.4337068226728,6146.346736021069
7,CentervilleRiver,2778.93803438895,48278,5008,6413,4548,63166,7996,25847,34833,4,25847,34833,73.1,59.8,428,77848.76964844904,54096623.891136885,63166,123.558,92.113,-25.40%,48493,47,3155,3972,5156,921,3107,61745,48277,45129.5595,16.23985815,64852,51384,22.730265741204022,16.23985815499602,18.49051665209175,active,14.097969998047821,314.79999999999995,8,314.88,5965.4707734428475,5966.986776180698,1.0778418108820915,1.474371775984764,1.8225095868110657,0.6634234115481377,0.9427222833037376,1.2697565332055092,4129.96791031196,2887.738362820817,4130.784299451758,2888.2603670035287,5113.606535845147,5112.307347192747
8,FalmouthInnerHarbor,143.8749613488851,3393,280,683,136,4492,537,1388,2002,1,1388,2002,31.1000003815,23.8,109,9584.924902944498,3302035.257477791,4492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,31.221554868795163,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
