embFID,EMBAY_NAME,CropStatus,bogsurf_area_ha,bogshed_area_ha,bog_count,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
-1,NA,abandoned,119.10525992907279,2614.46,38,1664.8400000000001,49544.10647501711,31548.774976043806,0.5728472486922616,0.6459494938975886,0.7392445818374032,0.04419294227600882,0.10276464318954631,0.2201935464614316,11489.055923240569,1556.075346306441,7138.341765582581,834.3412527315829,0,0
-1,NA,active,2250.2026297555426,46366.46999999999,520,17060.07,878646.1933059552,323288.9103490759,0.6060626191588548,0.6850476049459897,0.8129169485889949,0.060778292164636344,0.13689624179656115,0.2719773457170679,219400.65014416212,43885.09472297056,80018.95124091157,15409.19781513328,0,0
-1,NA,inactive,7.89762167772649,113.7,4,84.86,2154.618891170431,1608.0999041752225,0.5938465446233749,0.6624945551156998,0.7696708142757416,0.04884417541325092,0.11658200435340405,0.25141616538167,546.43678921637445,104.86175924132105,404.10496726404193,76.2987581874244,0,0
2,BarnstableHarbor,active,21.851708360558987,837.35,11,473.66999999999996,15867.811156741958,8976.062710472279,0.6363403146917169,0.8096818978136237,0.9901047565720298,0.06886973706158725,0.178216044198383,0.3848037828098644,4613.209971218292,916.52205909885,2627.837194505453,532.8470307371387,3578.607242909347,6326.232978339649
3,BassRiver,abandoned,3.07859811583906,1.17,3,1.2,22.171540041067765,22.74004106776181,0.5657787720362345,0.7176995674769083,0.9114730954170227,0.08317806820074718,0.2162726471821467,0.4563993712266286,5.7914923885089165,1.7444204154794662,5.940519115197659,1.7893283493036034,19.974960841901684,19.47558682085414
3,BassRiver,active,25.10498077360522,206.59,4,206.63,3914.8875701574266,3915.645571526352,0.7265456914901733,0.9313099980354309,1.210388958454132,0.11157671548426151,0.2740240879356861,0.5289527326822281,1373.630315773982,408.7876432264241,1373.888158260038,408.86350953540995,3439.5217989684543,3438.8559669403908
5,BournesPond,active,8.73960877813729,349.48,1,349.48,6622.657960301164,6622.657960301164,0.6723121404647827,0.7637391090393066,0.8494621515274048,0.21072643995285034,0.3137483596801758,0.44565021991729736,1847.4282505989745,758.9340082130242,1847.4282505989745,758.9340082130242,3157.04548559577,3157.04548559577
6,ButtermilkBay,abandoned,9.509017922030328,302.05,2,283.87,5723.8578370978785,5379.346214921287,0.5797020196914673,0.6275560855865479,0.6995916962623596,0.05805713124573231,0.1457783803343773,0.3243526518344879,1300.5693248295527,284.89393777476596,1220.4374118991311,264.5237626481187,345.9210376171832,368.07499704889625
6,ButtermilkBay,active,127.61523509793348,5043.82,19,1644.8799999999999,95580.56161533197,31170.532292950036,0.5578033171202007,0.6060101515368411,0.6528605034476832,0.042227357380876414,0.0870246347039938,0.16608276296603053,20971.574145021532,1397.4084402502842,6795.892509777697,692.5798751264122,2004.4337068226728,6146.346736021069
7,CentervilleRiver,active,14.097969998047821,314.79999999999995,8,314.88,5965.4707734428475,5966.986776180698,1.0778418108820915,1.474371775984764,1.8225095868110657,0.6634234115481377,0.9427222833037376,1.2697565332055092,4129.96791031196,2887.738362820817,4130.784299451758,2888.2603670035287,5113.606535845147,5112.307347192747
