embFID,EMBAY_NAME,embayshed_area_ha,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Septic_Tar,Total_Targ,MEP_Source,MEP_Sept_T,MEP_Total_,MEP_Septic,MEP_Tota_1,EMBAY_ID,Shape_Leng,Shape_Area,CCC_Nload_Total,MEP_WAL_kgd,MEP_thresh_kgd,MEP_reduction_pct,septic_kgy,wwtf_kgy,fertilizer_kgy,impervious_kgy,water_kgy,natural_kgy,buildout_kgy,unatten_plus_estuary_kgy,atten_plus_estuary_kgy,atten_kgy,loading_rate_kghay,unatten_plus_buildout_kgy,atten_plus_buildout_kgy,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,bogsurf_area_ha,bogshed_area_ha,bog_count,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,NO3_removal_kgN_y_walton2020_a,NO3_removal_kgN_y_walton2020_b,NO3_removal_kgN_y_land2016_a,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_NO3_removal_kgN_y_walton2020_a,marg_NO3_removal_kgN_y_walton2020_b,marg_NO3_removal_kgN_y_land2016_a,marg_TN_removal_kgN_y_1,marg_TN_removal_kgN_y_2,marg_TN_removal_kgN_y_3,marg_TN_removal_kgN_y_1_MEP,marg_TN_removal_kgN_y_2_MEP,marg_TN_removal_kgN_y_3_MEP,TN_removal_kgN_y_1,TN_removal_kgN_y_2,TN_removal_kgN_y_3,TN_removal_kgN_y_1_MEP,TN_removal_kgN_y_2_MEP,TN_removal_kgN_y_3_MEP,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
2,BarnstableHarbor,8771.098472,65741,9732,10770,11421,97666,10971,75572,92434,7,75572,92434,-283.9,-211.9,714,220441.727,219380593.6,97666,181.427,253.242,39.60%,53984,274,4813,5247,1903,3842,16326,73613,66221,66266.21175,7.555064165,89939,82547,11.13497931,7.555064165,9.411249944,18.85529492,749.48,10,435.44,14202.67165,8251.602902,0.687549245,0.837432617,0.988182998,0.069299006,0.1768204,0.360925241,4287.600474,865.8531027,517.196794,481.3285758,325.4211697,2504.757958,510.9172105,327.384148,301.3533139,195.5564895,1179.636036,946.4378062,1550.167605,1548.691192,1246.918253,1941.340653,2006.114005,1801.504316,2162.051945,2647.997178,1154.360843,1771.48836,3289.77714,5662.36949
3,BassRiver,4779.487102,91114,8662,11748,2606,114651,14474,25618,41792,7,25618,41792,464.6,366.3,721,167259.646,105354810.5,114651,217.819,114.487,-47.40%,72512,1795,7293,7292,5594,1453,8247,95939,84068,79558.38975,16.6458007,104186,92315,23.9881388,16.6458007,19.31483401,24.05378609,188,6,188.06,3562.606434,3563.743436,0.648762862,0.823991259,1.056163192,0.107976382,0.248679407,0.470480834,1258.746088,395.3754074,295.5024806,237.9654719,152.2516976,1259.088283,395.4786814,295.5904934,238.0273898,152.2914174,612.8191624,619.7781486,1041.036701,1525.773402,1287.916433,2343.39474,612.658993,619.5057691,1040.695734,1525.309473,1288.011995,2343.570106,3130.40928,3129.410532
5,BournesPond,604.4674301,7632,2776,1690,1226,13323,1529,394,1296,2,394,1296,189.9,161.4,210,53819.50969,21196487.36,13323,14.95,NA,-100.00%,5573,1,485,502,723,242,1261,7526,6711,5460.4875,9.033551235,8787,7972,22.04088977,9.033551235,13.18846906,8.739608778,309.43,1,309.44,5863.70909,5863.89859,0.718397915,0.79271847,0.873053432,0.262259156,0.375510514,0.508757353,1697.7808,804.2382818,477.7538666,455.9497979,304.204933,1697.835668,804.2642728,477.7693065,455.963177,304.2144927,828.534177,658.9177233,1058.774529,1364.111089,958.7898191,1616.922427,828.5074017,658.8914671,1058.74942,1364.067006,958.7979894,1616.93742,2795.342094,2795.251759
6,ButtermilkBay,2874.470552,4263,737,710,128,5838,820,0,0,0,0,0,0,0,106,33077.82647,53842218.43,5838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3502.8,NA,NA,NA,2.030982713,1.218589628,NA,112.7128291,3540.29,17,1637.79,67088.61666,31036.17655,0.508225008,0.571212534,0.648478431,0.046594544,0.122269595,0.252240606,13652.30374,1563.126446,1138.878252,932.6181958,600.3204985,6288.1005,1062.896512,798.2482576,639.6888409,409.2772683,3026.861833,2585.768591,4234.527478,960.1325004,1076.857814,1539.876863,6564.087943,7193.324243,6764.295858,2073.326367,1021.276887,1437.880191,1995.793906,4314.160673
7,CentervilleRiver,2778.938034,48278,5008,6413,4548,63166,7996,25847,34833,4,25847,34833,73.1,59.8,428,77848.76965,54096623.89,63166,123.558,92.113,-25.40%,48493,47,3155,3972,5156,921,3107,61745,48277,45129.5595,16.23985815,64852,51384,22.73026574,16.23985815,18.49051665,14.09797,385.59,8,385.67,7306.943696,7308.459699,1.190713905,1.43368344,1.770691559,0.679215744,0.939022075,1.268165834,4449.069817,3645.099874,1241.013193,876.4317378,911.3633943,4449.863676,3645.619829,1241.314058,876.633244,911.5136936,2074.387199,1339.212162,2082.046971,2922.672363,1747.726232,2845.008684,2074.019901,1338.75141,2081.547149,2922.071386,1747.844082,2845.224951,6263.226095,6261.926906
10,GreatPond,3334.852707,25721,5758,5128,4099,40705,6013,3207,7195,2,3207,7195,179.3,143.7,222,86735.18734,75112671.44,40705,53.01,NA,-100.00%,21202,539,1700,2319,3128,1302,4781,30196,21833,19361.9025,5.80592434,34977,26614,12.20593639,5.80592434,7.980562363,14.08229696,3113.73,7,1160.7,59005.29006,21995.30472,0.664190573,0.738292038,0.815111739,0.101523664,0.172561609,0.277920157,15811.52686,3274.093688,1367.864421,1230.303317,1084.604031,5894.872936,1288.919471,576.3124071,658.7400631,472.2936006,2803.566879,1473.030098,2477.301812,3205.083858,1915.904785,2749.592157,7396.724555,5910.420985,3957.23278,8452.426458,1611.976897,2191.853469,6738.936381,18078.08079
12,GreenPond,641.4920314,9152,3662,1849,1268,15932,1767,2376,3708,1,2376,3708,65.2,54.6,113,49536.9681,21861270.18,15932,22.36,NA,-100.00%,8458,499,909,688,763,281,949,11598,8941,8166.99,12.73124154,12547,9890,24.8358502,12.73124154,15.41718294,23.8304906,409.84,1,409.85,7766.482026,7766.671526,0.727465272,0.793632925,0.865023553,0.199897662,0.290351629,0.394722581,2251.304517,823.6426618,580.9867845,494.5674596,316.961614,2251.359448,823.6627585,581.0009604,494.5791099,316.9692676,1129.107298,961.6891373,1636.816005,2616.893646,1832.188429,3396.270927,1129.079749,961.6607049,1636.785184,2616.829796,1832.199943,3396.292058,5217.899346,5217.772034
15,HerringRiverHarwich,3865.65561,26832,3843,4339,8144,43776,5336,8669,17511,3,8669,17511,47.1,27.7,348,48915.00981,69706754.68,43776,62.816,47.945,-23.70%,24589,158,7206,2532,6432,1352,9729,41340,23164,22943.544,5.935227117,51069,32893,11.3243404,5.935227117,8.509035289,54.58330284,1055.92,20,747.15,20009.72014,14158.51807,0.540974644,0.695768742,0.875179383,0.128674892,0.242783683,0.411890124,5377.945662,2165.081652,1114.044196,988.0397845,758.3168683,3977.482717,1711.346333,878.5751615,753.871076,591.4487602,1860.480752,1449.641402,2154.335161,2078.809804,1649.014955,2456.43924,2518.633381,2442.657138,2772.293873,2940.393807,1624.658317,2411.742323,4434.50494,6267.125017
21,NamskaketCreek,629.7390435,4515,503,1015,1897,7931,961,0,16750,1,0,16750,0,-261.8,122,22246.68424,18157877.95,7931,12.685,45.89,261.80%,3916,1196,455,433,1040,381,5331,7421,5834,4633.19625,7.357327289,12752,11165,12.59410558,7.357327289,17.7295661,1.676121665,0.69,2,0.71,13.07552361,13.4545243,0.73625195,0.90669018,1.102468967,0.18310437,0.355200589,0.586187303,4.409157769,1.908513027,1.889427897,1.183565282,0.741593732,4.534670891,1.957683445,1.93810661,1.214025587,0.760693793,2.061588568,3.660065784,5.983057373,2.375152971,4.143709872,6.84003132,2.004282428,3.541321969,5.82610618,2.307955456,4.157326741,6.865019665,5.223702375,5.07655583
25,ParkersRiver,1127.474831,29886,2965,3424,1388,37577,4701,804,4912,4,804,4912,384,321.5,504,65014.83756,29074083.33,37577,67.022,13.459,-79.90%,22821,145,1973,1881,1163,419,13272,28402,25221,24479.7855,21.71204609,41674,38493,33.32846017,21.71204609,34.14089516,24.64318199,1038.16,4,683.52,19673.16753,12952.72739,0.780260667,0.976154223,1.173496515,0.093285359,0.22373002,0.42751655,6894.115765,1438.44293,869.9345838,789.8041318,538.1939018,4629.62352,1061.706061,614.0756803,568.1745538,394.0952085,2219.905624,1513.261831,2524.33984,7117.889254,3617.040484,6565.825442,3333.791467,2687.297366,3662.243309,10905.43741,3288.166298,5962.307752,14840.61775,22540.57777
