OBJECTID,bogFID,embFID,CropStatus,TOWN,EMBAY_NAME,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,bogsurf_area_m2,bogsurf_perim_m2,marg_bogshed_area_m2,ZS_MAX_FA_D8_gwelid0,bog_count,NO3_mgl,TN_mgl,bogshed_area_m2,bogshed_area_ha,bogsurf_area_ha,marg_bogshed_area_ha,Q_m3y,marg_Q_m3y,Q_m3d,marg_Q_m3d,NO3_Load_kgN_y,NO3_Loading_Rate_kgN_ha_y,TN_Load_kgN_y,TN_Loading_Rate_kgN_ha_y,HLR_md,marg_NO3_Load_kgN_y,marg_NO3_Loading_Rate_kgN_ha_y,marg_TN_Load_kgN_y,marg_TN_Loading_Rate_kgN_ha_y,marg_HLR_md,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,TN_Load_kgN_y_CCC,TN_Load_kgN_y_MEP,TN_load_kgN_y_MEP_Buildout,marg_TN_Load_kgN_y_CCC,marg_TN_Load_kgN_y_MEP,marg_TN_load_kgN_y_MEP_Buildout,TN_load_kgN_y_FERT
1,977,5,active,Bourne,BournesPond,0.21072643995285034,0.3137483596801758,0.44565021991729736,0.6723121404647827,0.7637391090393066,0.8494621515274048,87396.0877813729,87396.0877813729,3494800,34948,1,0.3137483596801758,0.7637391090393066,3494800,349.48,8.73960877813729,349.48,2418925.8200000003,2418925.8200000003,6622.657960301164,6622.657960301164,758.9340082130242,86.83844179748044,1847.4282505989745,211.38569213995464,0.07577751050903081,758.9340082130242,86.83844179748044,1847.4282505989745,211.38569213995464,0.07577751050903081,22.040889774666894,9.033551234965577,13.188469059794675,7702.850158450587,3157.04548559577,4609.106167017044,7702.850158450587,3157.04548559577,4609.106167017044,96.26591673030444
2,585,10,active,Falmouth,GreatPond,0.1638331413269043,0.23680981993675232,0.3284483253955841,0.7037416696548462,0.7877959609031677,0.8641927242279053,98369.94092083657,98369.94092083657,2103600,153001,1,0.23680981993675232,0.7877959609031677,15300100,1530.01,9.836994092083657,210.36,10589964.215000002,1456006.74,28993.741861738537,3986.329199178645,2507.807518890801,254.93636525704176,8342.731034686087,848.0975953213105,0.2947418854817786,344.79669392609776,35.05102175506781,1147.0362288197887,116.60434255448712,0.04052385476562045,12.205936386922463,5.80592433963383,7.980562363384214,18675.20473135524,8883.122298883156,12210.340221601482,2567.6407783530094,1221.3342440853726,1678.7910987615035,108.35350622489229
3,168,12,active,Falmouth,GreenPond,0.14885225892066956,0.21730023622512817,0.3028472661972046,0.6764546036720276,0.7583640217781067,0.833292543888092,238304.90597994198,238304.90597994198,3823300,38232,1,0.21730023622512817,0.7583640217781067,3823200,382.32,23.8304905979942,382.33,2646227.8800000004,2646297.095,7244.977084188912,7245.166584531144,575.0259434295202,24.129840762821722,2006.8040176181535,84.21161156401308,0.030402131481081295,575.0409838653705,24.130471905340105,2006.8565077839207,84.21381421131284,0.03040292668226044,24.835850204898662,12.73124154311482,15.417182935378342,9495.242250336856,4867.408266763658,5894.297379853848,9495.490608838905,4867.535579179089,5894.451551683202,262.4904708878463
4,163,49,active,Falmouth,WaquoitBay,0.17060965299606323,0.2749025523662567,0.41653385758399963,0.6388638019561768,0.7195149064064026,0.8114426136016846,11575.000278724163,11575.000278724163,399799.99999999994,3997,1,0.2749025523662567,0.7195149064064026,399700,39.97,1.1575000278724163,39.98,276652.35500000004,276721.56999999995,757.4328678986996,757.6223682409308,76.05243850763576,65.70404896441049,199.0554933149359,171.97018446800112,0.06543696325354961,76.07146588779776,65.72048730540732,199.10529453918275,172.01320928272912,0.06545333477300258,12.046572196333033,5.966888345830565,10.80119340961564,481.50149068743133,238.49652718284767,431.72370058233713,481.6219564093946,238.55619606630597,431.8317125164333,12.749747057011877
5,583,10,active,Falmouth,GreatPond,0.16737240552902222,0.2454504668712616,0.34706076979637146,0.6963920593261719,0.7850130200386047,0.8651205897331238,15978.722267915922,15978.722267915922,32400.000000000004,3706,1,0.2454504668712616,0.7850130200386047,370600,37.06,1.5978722267915921,3.24,256510.79,22425.660000000003,702.2882683093771,61.39811088295689,62.96069316301614,39.402833410176044,201.36430993038834,126.02028281993036,0.04395146598921238,5.504388716896178,3.444824075795208,17.60443508295894,11.017423538493643,0.0038424918997584496,12.205936386922463,5.80592433963383,7.980562363384214,452.3520024993465,215.16755602682974,295.759641187019,39.547233893628785,18.811194860413607,25.857022057364855,17.600402790886708
6,583,10,active,Falmouth,GreatPond,0.14375679194927216,0.21983179450035095,0.3209630250930786,0.6809176206588745,0.7677341103553772,0.8467618823051453,10198.307147847388,10198.307147847388,311800,3382,1,0.21983179450035095,0.7677341103553772,338200,33.82,1.0198307147847387,31.18,234085.13,215812.37000000002,640.8901574264203,590.8620670773444,51.45935419374794,50.45872167579278,179.7151390279728,176.22055937578452,0.06284279813652174,47.44242057247371,46.51989774840978,165.6865178856355,162.46472623704796,0.05793726924591213,12.205936386922463,5.80592433963383,7.980562363384214,412.8047686057177,196.35636116641612,269.9026191296541,380.5810965442424,181.0287209097828,248.8339344903198,11.23333334028242
7,167,10,active,Falmouth,GreatPond,0.12157389521598816,0.19772642850875854,0.30136439204216003,0.6643232107162476,0.7519491314888,0.8337900638580322,4355.291194573253,4355.291194573253,26500,264,1,0.19772642850875854,0.7519491314888,26400,2.64,0.4355291194573253,2.65,18272.760000000002,18341.975000000002,50.02809034907598,50.21759069130733,3.613007573797703,8.295673957000982,13.740186011903289,31.548260261044614,0.011486738340575621,3.626693208546937,8.327096964413865,13.792232171039284,31.667761246881902,0.011530248713077802,12.205936386922463,5.80592433963383,7.980562363384214,32.223672061475305,15.32764025663331,21.068684639334325,32.345731425344525,15.385699500029649,21.148490262968167,4.797309697910492
8,584,10,active,Falmouth,GreatPond,0.11814747005701065,0.1908477395772934,0.28987330198287964,0.6743407845497131,0.7642011642456055,0.8458746671676636,34560.86539572718,34560.86539572718,4786900,128258,1,0.1908477395772934,0.7642011642456055,12825800,1282.58,3.456086539572718,478.69,8877377.47,3313252.835,24304.934893908285,9071.191882272416,1694.227423523892,490.21556726798633,6784.102198021708,1962.9433812905734,0.7032501824133474,632.3268142078091,182.9603532688116,2531.991673947053,732.6181346894421,0.26247004461276896,12.205936386922463,5.80592433963383,7.980562363384214,15655.089891139012,7446.562439527556,10235.709676029324,5842.859689055914,2779.237922139318,3820.2153977283897,38.06844762473953
9,244,49,active,Falmouth,WaquoitBay,0.23865920305252075,0.3807862401008606,0.5853561758995056,0.6796244978904724,0.7705767154693604,0.8687584400177002,34594.79221965107,34594.79221965107,1429900,19860,1,0.3807862401008606,0.7705767154693604,1986000,198.6,3.459479221965107,142.99,1374609.9000000001,989705.285,3763.4767967145795,2709.6653935660506,523.43253542642,151.3038529334169,1059.242381793666,306.18550187215135,0.10878737969632293,376.8661542831007,108.93725040759959,762.6438477979673,220.4504779088566,0.07832581783875738,12.046572196333033,5.966888345830565,10.80119340961564,2392.4492381917403,1185.0240254819503,2145.1170111496663,1722.5393583536604,853.2053645703126,1544.4626456409405,38.10581768202346
10,166,10,active,Falmouth,GreatPond,0.045672155916690826,0.07854524254798889,0.1310172826051712,0.6319228410720825,0.7069414258003235,0.7922132015228271,16870.105300814634,16870.105300814634,160799.99999999997,79746,1,0.07854524254798889,0.7069414258003235,7974600,797.46,1.6870105300814633,16.08,5519619.390000001,111297.71999999997,15111.89429158111,304.71655030800815,433.53984376013256,256.98704070282093,3902.0476014417122,2312.995403326432,0.8957794881607157,8.741906412438151,5.181892025307048,78.68096886512517,46.63928734417904,0.018062516200968458,12.205936386922463,5.80592433963383,7.980562363384214,9733.746031115188,4629.992423884394,6364.179262304376,196.2714571017132,93.35926338131198,128.32744280321816,18.582252287794308
