Region_MEP,NOx2TN,TN,Qmeas,Qdiff,NOx,Atten,Yr_Start,Yr_End,Year
Buzzards Bay > Acushnet > Acushnet River,0.5334847603333334,1.1343333333333334,73845.33333333333,37.51765746,0.6043333333333333,28.666666666666668,2002,2005,2003.5
Buzzards Bay > Acushnet > Acushnet River ,0.546919431,1.055,102622.0,-6.661339674,0.577,7.0,2005,2006,2005.5
Buzzards Bay > Nasketucket > Nasketucket River 1,0.741161616,1.584,1989.0,8.094519859,1.174,0.0,2005,2006,2005.5
Buzzards Bay > Nasketucket > Nasketucket River 2,0.361587015,1.109,11532.0,0.70239334,0.401,13.0,2005,2006,2005.5
Buzzards Bay > Nasketucket > Nonquit Brook,0.614440433,1.385,1504.0,3.989361702,0.851,0.0,2005,2006,2005.5
Buzzards Bay > Nasketucket > Shaws Cove Stream,0.250980392,1.02,2875.0,11.02608696,0.256,30.0,2005,2006,2005.5
Buzzards Bay > Slocums > Barneys Joy Creek,0.317589577,0.614,4600.0,5.304347826,0.195,1.0,2003,2004,2003.5
Buzzards Bay > Slocums > Destruction Brook,0.601864181,1.502,11380.0,43.78734622,0.904,17.0,2003,2004,2003.5
Buzzards Bay > Slocums > Giles Creek,0.387201735,0.922,4993.0,53.07430403,0.357,2.0,2003,2004,2003.5
Buzzards Bay > Slocums > Paskamansett River,0.279395901,0.927,109884.0,41.44734447,0.259,36.0,2003,2004,2003.5
Buzzards Bay > Wareham > Agawam River,0.038724374,0.439,77817.0,0.449773186,0.017,8.0,1999,2000,1999.5
Buzzards Bay > Wareham > Wankinco River,0.047058824,0.425,71870.0,1.138166133,0.02,18.0,1999,2000,1999.5
Buzzards Bay > Westport > Adamsville Brook,0.224489796,0.98,46625.0,10.2691689,0.22,18.0,2006,2007,2006.5
Buzzards Bay > Westport > Angeline Brook,0.585642317,1.588,20974.0,-13.25450558,0.93,3.0,2006,2007,2006.5
Buzzards Bay > Westport > Kirby Brook,0.281284607,0.903,23149.0,-15.4563912,0.254,0.2,2006,2007,2006.5
Buzzards Bay > Westport > Snell Creek,0.500863558,1.158,6643.0,23.42315219,0.58,6.0,2006,2007,2006.5
Buzzards Bay > Westport > Westport River 1,0.284648188,0.938,272703.126,-20.4435229,0.267,-21.0,2005,2006,2005.5
Buzzards Bay > Westport > Westport River 2,0.310800882,1.361,217352.2767,-0.183700261,0.423,15.0,2006,2007,2006.5
Cape Cod > Allen > Cold Spring Brook,0.699271592,0.961,10328.0,-12.9066615,0.672,53.0,2004,2005,2004.5
Cape Cod > Allen > E Saquatucket Stream,0.638297872,0.987,3929.0,-5.573937389,0.63,21.0,2004,2005,2004.5
Cape Cod > Allen > Un-name Creek at Kilde Rd,0.538379531,0.938,1905.0,-39.73753281,0.505,32.0,2004,2005,2004.5
Cape Cod > Barnstable > Alder Brook,0.091015169,0.857,917.0,2.835332606,0.078,41.0,2006,2007,2006.5
Cape Cod > Barnstable > Boat Cove Creek,0.381021898,0.685,12850.0,-3.229571984,0.261,-3.0,2006,2007,2006.5
Cape Cod > Barnstable > Bridge Creek,0.263888889,0.648,5472.0,3.581871345,0.171,41.0,2006,2007,2006.5
Cape Cod > Barnstable > Chase Garden Creek,0.350661626,1.058,1611.0,-2.296710118,0.371,60.0,2006,2007,2006.5
Cape Cod > Barnstable > Maraspin Creek,0.784768212,2.114,1384.0,0.867052023,1.659,21.0,2006,2007,2006.5
Cape Cod > Barnstable > Whites Brook Discharge,0.56487754,0.9595,1462.0,-5.677154583,0.542,37.0,2006,2007,2006.5
Cape Cod > Bass River > Fresh Pond,0.129842932,0.955,1107.0,12.5564589,0.124,40.0,2003,2004,2003.5
Cape Cod > Bass River > Hamblin Brook,0.450465707,1.181,2993.0,6.749081189,0.532,65.0,2005,2006,2005.5
Cape Cod > Bass River > Weir Creek,0.101825168,1.041,16098.0,-5.714995652,0.106,,2003,2004,2003.5
Cape Cod > Centerville > Bumps River,0.74110141,2.978,5679.0,-8.135235077,2.207,22.0,2003,2005,2004.0
Cape Cod > Centerville > Lake Elizabeth Stream,0.633536173,1.479,1547.0,-14.80284421,0.937,60.0,2003,2005,2004.0
Cape Cod > Centerville > Long Pond Stream,0.375471698,0.53,6518.0,-4.050322185,0.199,67.0,2003,2005,2004.0
Cape Cod > Centerville > Skunknett River,0.744481605,1.495,13925.0,-18.47037702,1.113,29.0,2003,2005,2004.0
Cape Cod > Chatham > Ryder Cove,0.309048179,0.851,853.0,191.6764361,0.263,14.0,2001,2002,2001.5
