idn,Region_MEP,Lon,Lat,NOx,TN,NOx2TN,L_NOx_meas,L_TN_meas,Atten
1,Buzzards Bay > Acushnet > Acushnet River,41.68,-70.92,0.602,1.109,0.54283138,16935.16043,34598.39208,19
2,Buzzards Bay > Acushnet > Acushnet River,41.68,-70.92,0.594,1.185,0.501265823,9332.327989,22061.76476,48
3,Buzzards Bay > Acushnet > Acushnet River,41.68,-70.92,0.617,1.109,0.556357078,17303.07914,34490.64553,19
4,Buzzards Bay > Acushnet > Acushnet River ,41.68,-70.92,0.577,1.055,0.546919431,20500.00903,39544.2332,7
5,Buzzards Bay > Westport > Adamsville Brook,41.55,-71.13,0.22,0.98,0.224489796,3823.012119,16689.18563,18
6,Buzzards Bay > Wareham > Agawam River,41.76,-70.68,0.017,0.439,0.038724374,1100.649687,12477.54741,8
7,Buzzards Bay > Westport > Angeline Brook,41.55,-71.1,0.93,1.588,0.585642317,4486.46143,12165.27656,3
8,Buzzards Bay > Slocums > Barneys Joy Creek,41.54,-71.01,0.195,0.614,0.317589577,533.5981278,1031.6121,1
9,Buzzards Bay > Slocums > Destruction Brook,41.57,-71.01,0.904,1.502,0.601864181,2501.675552,6243.13059,17
10,Buzzards Bay > Slocums > Giles Creek,41.54,-71.01,0.357,0.922,0.387201735,706.1371905,1681.445177,2
11,Buzzards Bay > Westport > Kirby Brook,41.6,-71.07,0.254,0.903,0.281284607,2378.309803,7635.020542,0.2
12,Buzzards Bay > Nasketucket > Nasketucket River 1,41.64,-70.87,1.174,1.584,0.741161616,538.4407584,1150.747884,0
13,Buzzards Bay > Nasketucket > Nasketucket River 2,41.64,-70.87,0.401,1.109,0.361587015,1523.027287,4671.177867,13
14,Buzzards Bay > Nasketucket > Nonquit Brook,41.64,-70.86,0.851,1.385,0.614440433,337.5342497,760.83036,0
15,Buzzards Bay > Slocums > Paskamansett River,41.59,-70.99,0.259,0.927,0.279395901,11213.59109,37205.26644,36
16,Buzzards Bay > Nasketucket > Shaws Cove Stream,41.63,-70.85,0.256,1.02,0.250980392,263.552941,1071.095625,30
17,Buzzards Bay > Westport > Snell Creek,41.58,-71.07,0.58,1.158,0.500863558,1215.273174,2809.719959,6
18,Buzzards Bay > Wareham > Wankinco River,41.77,-70.72,0.02,0.425,0.047058824,1235.318483,11156.46994,18
19,Buzzards Bay > Westport > Westport River 1,41.62,-71.06,0.267,0.938,0.284648188,28352.33061,93429.31813,-21
20,Buzzards Bay > Westport > Westport River 2,41.62,-71.06,0.423,1.361,0.310800882,24673.83527,108046.9578,15
21,Cape Cod > Barnstable > Alder Brook,41.71,-70.38,0.078,0.857,0.091015169,30.48409737,287.0386523,41
22,Cape Cod > Phinneys > Back River,41.73,-70.6,0.385,0.749,0.514018692,342.0719863,498.4486395,51
23,Cape Cod > GBB > Backus Brook,41.58,-70.56,0.062,0.528,0.117424242,309.2740529,1390.655772,67
24,Cape Cod > Barnstable > Boat Cove Creek,41.71,-70.38,0.261,0.685,0.381021898,1788.31199,3215.021813,-3
25,Cape Cod > GBB > Bournes Brook,41.58,-70.55,0.543,0.874,0.621281465,854.5922255,1202.214531,54
26,Cape Cod > Barnstable > Bridge Creek,41.7,-70.38,0.171,0.648,0.263888889,527.4210002,1295.123904,41
27,Cape Cod > Centerville > Bumps River,41.65,-70.36,2.207,2.978,0.74110141,1537.23312,6177.130646,22
28,Cape Cod > Fiddlers > Cedar Lake,41.65,-70.63,0.314,0.895,0.350837989,309.7230219,790.1142788,19
29,Cape Cod > Namskaket > Cedar Pond,41.8,-69.99,0.116,0.86,0.134883721,62.61744073,399.240165,58
30,Cape Cod > Lewis Bay > Chase Brook,41.65,-70.25,0.45,1.035,0.434782609,516.9081525,1230.499856,36
31,Cape Cod > Barnstable > Chase Garden Creek,41.73,-70.2,0.371,1.058,0.350661626,206.335525,622.5459795,60
32,Cape Cod > Waquoit Bay > Childs River,41.59,-70.53,0.2069,0.258,0.801937984,3038.040206,977.400234,29
33,Cape Cod > Allen > Cold Spring Brook,41.67,-70.06,0.672,0.961,0.699271592,2637.863625,3625.182222,53
34,Cape Cod > GBB > Coonamesset River,41.58,-70.57,0.565,0.851,0.663924794,6448.763435,8265.842356,51
35,Cape Cod > Magansett > Cuffs Pond,41.66,-70.62,0.336,0.669,0.502242152,605.7319098,806.8511295,40.6
36,Cape Cod > Allen > E Saquatucket Stream,41.67,-70.06,0.63,0.987,0.638297872,916.0003719,1416.411376,21
37,Cape Cod > Plymouth Duxbury > Eel River,41.94,-70.62,0.144,0.642,0.224299065,5651.448382,16175.85816,60
38,Cape Cod > Fiddlers > Flax Pond,41.65,-70.63,0.462,0.875,0.528,313.577352,519.6594375,-8
39,Cape Cod > Parkers River > Forest Brook,41.66,-70.21,0.459,1.258,0.364864865,109.6786521,378.1557435,36
40,Cape Cod > Wellfleet > Fresh Brook,41.89,-69.99,0.223,0.561,0.397504456,340.32185,480.297906,8
41,Cape Cod > Bass River > Fresh Pond,41.67,-70.15,0.124,0.955,0.129842932,52.49961992,386.1368213,40
42,Cape Cod > Lewis Bay > Halls Creek,41.64,-70.31,0.848,1.348,0.629080119,272.2792435,583.443045,68
43,Cape Cod > Bass River > Hamblin Brook,41.7,-70.21,0.532,1.181,0.450465707,492.4460702,1291.061228,65
