dataset,Lat,Long,NO3
CCRO,41.654467,-70.36098,2.818
CCRO,41.648442,-70.363384,1.856
CCRO,41.645528,-70.374416,1.091
CCRO,41.651496,-70.335342,0.029
CCRO,41.638939,-70.322383,1.354
CCRO,41.657302,-70.261053,0.12
CCRO,41.655419,-70.224071,0.032
CCRO,41.66228,-70.209252,0.361
CCRO,41.686495,-70.130171,0.124
CCRO,41.687884,-70.123508,0.237
CCRO,41.669761,-70.061512,0.824
CCRO,41.943657,-70.057425,0.022
CCRO,41.890489,-69.988073,0.148
CCRO,41.73318,-70.201574,0.27
CCRO,41.703505,-70.288244,2.005
CCRO,41.6525,-70.41389,0.5764358611111108
CCRO,41.63829,-70.45244,0.244291415625
CCRO,41.6279,-70.45112,0.9444230551181103
CCRO,41.64191,-70.48231,0.39016625
CCRO,41.62925,-70.4839,0.2645788983957218
CCRO,41.59225,-70.50768,0.2885125600961539
CCRO,41.58522,-70.57259,0.18800347849462365
CCRO,41.6002,-70.5719,0.18800347849462365
CCRO,41.62405,-70.62856,0.2580845573248407
CCRO,41.69676,-70.60632,0.4459957857142856
CCRO,41.76791,-70.63578,0.24145315021951216
CCRO,41.7784948,-70.7632908,0.07494192261904764
CCRO,41.73389,-70.79432,0.0527023
CCRO,41.621571,-70.628801,0.7467219827586209
CCRO,41.58921,-70.525225,1.1448608400145452
MEP,-70.92,41.68,0.602
MEP,-70.92,41.68,0.594
MEP,-70.92,41.68,0.617
MEP,-70.92,41.68,0.577
MEP,-71.13,41.55,0.22
MEP,-70.68,41.76,0.017
MEP,-71.1,41.55,0.93
MEP,-71.01,41.54,0.195
MEP,-71.01,41.57,0.904
MEP,-71.01,41.54,0.357
MEP,-71.07,41.6,0.254
MEP,-70.87,41.64,1.174
MEP,-70.87,41.64,0.401
MEP,-70.86,41.64,0.851
MEP,-70.99,41.59,0.259
MEP,-70.85,41.63,0.256
MEP,-71.07,41.58,0.58
MEP,-70.72,41.77,0.02
MEP,-71.06,41.62,0.267
MEP,-71.06,41.62,0.423
MEP,-70.38,41.71,0.078
MEP,-70.6,41.73,0.385
MEP,-70.56,41.58,0.062
MEP,-70.38,41.71,0.261
MEP,-70.55,41.58,0.543
MEP,-70.38,41.7,0.171
MEP,-70.36,41.65,2.207
MEP,-70.63,41.65,0.314
MEP,-69.99,41.8,0.116
MEP,-70.25,41.65,0.45
MEP,-70.2,41.73,0.371
MEP,-70.53,41.59,0.2069
MEP,-70.06,41.67,0.672
MEP,-70.57,41.58,0.565
MEP,-70.62,41.66,0.336
MEP,-70.06,41.67,0.63
MEP,-70.62,41.94,0.144
MEP,-70.63,41.65,0.462
MEP,-70.21,41.66,0.459
MEP,-69.99,41.89,0.223
MEP,-70.15,41.67,0.124
MEP,-70.31,41.64,0.848
MEP,-70.21,41.7,0.532
MEP,-69.99,41.88,1.92
MEP,-70.06,41.94,0.076
MEP,-70.27,41.65,0.643
MEP,-70.01,41.78,0.352
MEP,-70.72,41.99,0.517
MEP,-69.98,41.77,0.19
MEP,-70.34,41.64,0.937
MEP,-70.43,41.63,0.481
MEP,-70.44,41.75,0.115
MEP,-70.33,41.66,0.199
MEP,-70.29,41.7,1.659
MEP,-70.42,41.66,0.799
MEP,-69.97,41.82,0.15
MEP,-70.48,41.62,0.318
MEP,-70.26,41.66,0.606
MEP,-70.6,41.56,0.047
MEP,-70.64,41.55,0.192
MEP,-69.97,41.76,0.191
MEP,-70.22,41.66,0.412
MEP,-70.51,41.59,0.204
MEP,-69.98,41.71,0.263
MEP,-69.98,41.71,0.263
MEP,-70.45,41.63,0.702
MEP,-70.4,41.73,0.16
MEP,-70.5,41.76,0.025
MEP,-70.37,41.65,1.113
MEP,-70.28,41.64,1.14
MEP,-70.47,41.75,0.108
MEP,-70.29,41.64,1.166
MEP,-69.97,41.7,0.127
MEP,-69.98,41.7,0.127
MEP,-70.59,41.56,1.894
MEP,-70.01,41.79,0.54
MEP,-70.12,41.68,0.12
MEP,-70.1,41.68,0.148
MEP,-69.99,41.73,0.352
MEP,-70.66,41.95,0.729
MEP,-70.09,41.67,0.505
MEP,-70.13,41.69,0.218
MEP,-70.19,41.71,0.106
MEP,-70.22,41.71,0.542
MEP,-70.63,41.63,0.32
MEP,-70.8,41.33,0.013
MEP,-70.62,41.45,0.122
MEP,-70.6,41.43,0.157
MEP,-70.72,41.35,0.082
MEP,-70.72,41.35,0.085
MEP,-70.74,41.34,0.093
MEP,-70.67,41.38,0.048
MEP,-70.76,41.35,0.078
MEP,-70.68,41.38,0.047
MEP,-70.76,41.35,0.277
MEP,-70.63,41.61,0.391
DWMWPP,42.02769615,-71.95951089,0.1
DWMWPP,42.0246995,-71.88418202,0.8813636363636363
DWMWPP,42.01272012,-71.34763073,0.454
DWMWPP,41.97463265,-71.32957594,0.444
