dataset,Lat,Long,NO3,TN
CCRO,41.654467,-70.36098,2.818,NA
CCRO,41.648442,-70.363384,1.856,NA
CCRO,41.645528,-70.374416,1.091,NA
CCRO,41.651496,-70.335342,0.029,NA
CCRO,41.638939,-70.322383,1.354,NA
CCRO,41.657302,-70.261053,0.12,NA
CCRO,41.655419,-70.224071,0.032,NA
CCRO,41.66228,-70.209252,0.361,NA
CCRO,41.686495,-70.130171,0.124,NA
CCRO,41.687884,-70.123508,0.237,NA
CCRO,41.669761,-70.061512,0.824,NA
CCRO,41.943657,-70.057425,0.022,NA
CCRO,41.890489,-69.988073,0.148,NA
CCRO,41.73318,-70.201574,0.27,NA
CCRO,41.703505,-70.288244,2.005,NA
CCRO,41.6525,-70.41389,0.5764358611111108,NA
CCRO,41.63829,-70.45244,0.244291415625,NA
CCRO,41.6279,-70.45112,0.9444230551181103,NA
CCRO,41.64191,-70.48231,0.39016625,NA
CCRO,41.62925,-70.4839,0.2645788983957218,NA
CCRO,41.59225,-70.50768,0.2885125600961539,NA
CCRO,41.58522,-70.57259,0.18800347849462365,NA
CCRO,41.6002,-70.5719,0.18800347849462365,NA
CCRO,41.62405,-70.62856,0.2580845573248407,NA
CCRO,41.69676,-70.60632,0.4459957857142856,NA
CCRO,41.76791,-70.63578,0.24145315021951216,NA
CCRO,41.7784948,-70.7632908,0.07494192261904764,NA
CCRO,41.73389,-70.79432,0.0527023,NA
CCRO,41.621571,-70.628801,0.7467219827586209,NA
CCRO,41.58921,-70.525225,1.1448608400145452,NA
MEP,41.681858999999996,-70.918844000000007,0.602,1.109
MEP,41.681858999999996,-70.918844000000007,0.594,1.185
MEP,41.681858999999996,-70.918844000000007,0.617,1.109
MEP,41.681858999999996,-70.918844000000007,0.577,1.055
MEP,41.553740999999995,-71.126612,0.22,0.98
MEP,41.762449000000004,-70.676352,0.017,0.439
MEP,41.550478999999996,-71.104556,0.93,1.588
MEP,41.544199,-71.008317,0.195,0.614
MEP,41.569120000000005,-71.006334,0.904,1.502
MEP,41.541599999999995,-71.006734,0.357,0.922
MEP,41.59651200000001,-71.07101,0.254,0.903
MEP,41.640446,-70.872888,1.174,1.584
MEP,41.640767,-70.870647,0.401,1.109
MEP,41.63695800000001,-70.856715,0.851,1.385
MEP,41.585570000000004,-70.990224,0.259,0.927
MEP,41.632585000000006,-70.849411,0.256,1.02
MEP,41.584939999999996,-71.074817,0.58,1.158
MEP,41.766467,-70.721733,0.02,0.425
MEP,41.62184,-71.059327,0.267,0.938
MEP,41.62184,-71.059327,0.423,1.361
MEP,41.71488299999999,-70.384253,0.078,0.857
MEP,41.726801,-70.602171,0.385,0.749
MEP,41.578791,-70.563246,0.062,0.528
MEP,41.711745,-70.379438,0.261,0.685
MEP,41.576468,-70.55128,0.543,0.874
MEP,41.70261000000001,-70.384159,0.171,0.648
MEP,41.648377,-70.362306,2.207,2.978
MEP,41.648848,-70.626459,0.314,0.895
MEP,41.79719000000001,-69.991681,0.116,0.86
MEP,41.652992000000005,-70.251581,0.45,1.035
MEP,41.73311900000001,-70.20151,0.371,1.058
MEP,41.585572000000006,-70.52713,0.2069,0.258
