SUBW_NAME,ele5pct,Travel_Tim,COVERNAME_,COVERNAME_Bare Land,COVERNAME_Cultivated,COVERNAME_Deciduous Forest,COVERNAME_Developed Open Space,COVERNAME_Estaurine Aquatic bed,COVERNAME_Estuarine Emergent Wetland,COVERNAME_Estuarine Forested Wetland,COVERNAME_Estuarine Scrub/Shrub Wetland,COVERNAME_Evergreen Forest,COVERNAME_Grassland,COVERNAME_Impervious,COVERNAME_Palustrine Aquatic Bed,COVERNAME_Palustrine Emergent Wetland,COVERNAME_Palustrine Forested Wetland,COVERNAME_Palustrine Scrub/Shrub Wetland,COVERNAME_Pasture/Hay,COVERNAME_Scrub/Shrub,COVERNAME_Unconsolidated Shore,COVERNAME_Water,USEGENNAME_,USEGENNAME_Agriculture,USEGENNAME_Commercial,USEGENNAME_Forest,USEGENNAME_Industrial,"USEGENNAME_Mixed use, other","USEGENNAME_Mixed use, primarily commercial","USEGENNAME_Mixed use, primarily residential",USEGENNAME_Open land,USEGENNAME_Recreation,USEGENNAME_Residential - multi-family,USEGENNAME_Residential - other,USEGENNAME_Residential - single family,USEGENNAME_Right-of-way,USEGENNAME_Tax exempt,USEGENNAME_Unknown,USEGENNAME_Water
,GT5%,,90.00050981636316,873.3638275542054,150.76817854338847,2749.984745143455,1320.7927668788006,0.0,269.53219767210425,0.0,4.851713750606803,2792.222176246665,909.2437612724921,2047.9203868424568,12.29366390580952,41.34400812903116,464.0064150135031,82.04928972483543,246.427661581039,387.2210086200485,65.18502478959986,157.42929280027263,90.00050981636316,590.9292522548623,389.0896360774306,136.96186371907467,241.50569330246802,13.62636129152783,22.185815530527275,221.4541552448309,2506.0131368722673,94.41592072883519,698.1094214207358,196.67368016511318,3694.2959819169855,1280.9202767603103,1661.1551890174012,734.2158640353109,93.08387013063273
,LE5%,,25.24062104915631,189.23984467997417,0.0,127.06084382879833,91.3813001807886,0.5323557302161106,405.41230563026085,0.0,0.0,68.63245374125206,99.93500778277821,142.4392317526969,12.804875164797501,9.622536719249796,86.11705179506501,16.54339367239724,34.255371016403444,27.224752316813046,192.79423170273495,1721.1626662668434,25.24062104915631,18.322307052817767,34.28112052282349,0.0,27.999519913773266,3.8098998448005426,0.08379676077618242,8.500699539260852,617.9312974361023,25.99578074802356,62.533231380659146,0.3801540140644895,370.63887720870053,44.87700065127027,186.35779771896017,1650.0388600529498,173.40787913608736
 ,GT5%,LT10,488657.29060217773,743987.5736310312,2597333.84414838,38915234.432186455,8355964.461252407,0.0,1917890.9084547649,0.0,1676.8135355749287,23770048.390003964,4051165.937213079,5628374.401706119,247337.46929562005,678435.4412112234,24264443.50782926,998487.4945983895,5287841.837017565,4986418.544493631,50473.027890930374,4299473.731383088,488657.29060217773,4999491.374049405,4099790.37313793,2854887.5635234225,958761.3693985237,188983.40418740184,0.0,434254.85235506494,26850849.917089768,1536038.2344020947,3724654.0786093734,14441827.453273585,32424417.08318898,4854466.384372552,23633642.10529411,1691464.4769960495,4101059.1459732205
 ,LE5%,LT10,17.45249733420207,10012.492031131074,191.8740986110779,24590.691987727045,5825.277648638918,0.0,1720496.1991473075,0.0,0.0,931.8590805568468,4532.023581067201,30836.216004932212,1929.0283850652067,3719.339503732023,7664.502317959097,655.3074996105173,1240.384056920888,5206.02513436421,3925249.2156318035,10292074.69383796,17.45249733420207,53925.05447738056,13460.37103334939,0.9477742357916963,0.1030438497598447,0.0,0.0,0.0,264261.5483563576,5197.401004324153,59917.8153198778,210630.47154081517,203962.6985891896,4402.987381346378,126262.1298170996,14706540.469471669,386593.1321378929
4Ponds,GT5%,LT10,0.0,79484.44574742025,0.0,223792.7647398946,291154.1675090182,0.0,0.0,0.0,0.0,542929.5780614517,31886.257745409457,189138.95329543678,7715.981636031493,3363.943590448459,8625.004984286968,6963.198727452157,0.0,18913.783767211902,0.0,265.96620277816635,0.0,0.0,18367.253030069725,0.0,108800.98450106793,355662.829512615,0.9253025634234966,0.0,358437.79275019356,10400.76532947243,53443.00330973297,0.0,396096.8349013526,52997.238864601575,47554.45526191655,0.0,2471.963243254362
4Ponds,LE5%,LT10,0.0,4392.044335868328,0.0,29591.268280634024,2185.741038040227,0.0,0.0,0.0,0.0,4739.8641826313,3352.168300514813,1335.8417111679864,87410.64991902772,11612.283853330671,8059.081608143529,3009.5453750141223,0.0,645.9006297981142,0.0,325842.625515767,0.0,0.0,0.0,0.0,0.0,47880.42702324299,230.51067396173528,0.0,18002.011451276776,27886.023540561695,127.14460687789885,0.0,28617.6895092887,256.25571367118334,8524.659682193478,0.0,350652.2925488634
AbnerPond,GT5%,LT10,0.0,568.9924803971737,0.0,37442.32896454698,1694.7711150970656,0.0,0.00893960482292853,0.0,0.0,247097.12964164224,14742.624316404434,11876.439872800674,1718.0828617231005,0.0,7649.094940234225,0.0,0.0,1118.1278537490957,0.0,11676.690566634377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212899.4707135795,0.0,122684.82083925468,0.0,0.0
AbnerPond,LE5%,LT10,0.0,518.1815500090792,0.0,1030.8924747303377,189.5643519863365,0.0,151.6907425430886,0.0,0.0,1534.9301112571704,74.5824232900731,167.6241790800974,1448.0060659802498,0.0,0.0,0.0,0.0,0.0,0.0,45895.85716235048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.231570043720232,0.0,51003.097491183195,0.0,0.0
AdamsvilleBrook,GT5%,LT10,7011936.444739694,19453.837857250815,332154.55269210116,3690789.057226571,249111.2779173216,0.0,0.0,0.0,0.0,63773.72640261452,174864.08451424126,168770.0758118836,1497.4210725881835,6269.67437493359,1683469.3178090497,31445.428378934466,518900.1100866164,128234.54698387468,0.0,3691.393516105582,7011936.444739694,1403042.9484174377,99251.92318680069,0.0,0.0,0.0,0.0,3328.8711398218957,1633205.7805339089,0.0,279555.7357298991,2489750.5971991783,921119.5937338778,104445.04314791686,0.0,138724.0115552451,0.0
AdamsvilleBrook,LE5%,LT10,638356.5272352906,26.749156880626913,0.0,78138.0719562429,36492.60948657081,0.0,0.0,0.0,0.0,12356.470264296775,5179.665839678561,22500.61348149857,117.62187893917013,285.8674061376698,9326.260757202259,0.0,0.0,5166.433564115038,0.0,365.61603678664994,638356.5272352906,0.0,81846.8161496514,0.0,0.0,0.0,0.0,0.0,20015.300184509266,0.0,8958.613415591228,0.0,42704.573178988474,12032.87588472144,0.0,4397.801014887227,0.0
