,SUBW_NAME,ele5pct,Travel_Tim,SLOPE_,SLOPE_0,SLOPE_A,SLOPE_B,SLOPE_C,SLOPE_D,SLOPE_E,FRMLNDCLS_,FRMLNDCLS_All areas are prime farmland,FRMLNDCLS_Farmland of statewide importance,FRMLNDCLS_Farmland of unique importance,FRMLNDCLS_Not prime farmland,HYDROLGRP_,HYDROLGRP_A,HYDROLGRP_A/D,HYDROLGRP_B,HYDROLGRP_B/D,HYDROLGRP_C,HYDROLGRP_C/D,HYDROLGRP_D,HYDRCRATNG_,HYDRCRATNG_No,HYDRCRATNG_Unranked,HYDRCRATNG_Yes,DRAINCLASS_,DRAINCLASS_Excessively drained,DRAINCLASS_Moderately well drained,DRAINCLASS_Poorly drained,DRAINCLASS_Somewhat excessively drained,DRAINCLASS_Somewhat poorly drained,DRAINCLASS_Subaqueous,DRAINCLASS_Very poorly drained,DRAINCLASS_Well drained,DEP2WATTBL_0.0,DEP2WATTBL_5.0,DEP2WATTBL_8.0,DEP2WATTBL_10.0,DEP2WATTBL_15.0,DEP2WATTBL_23.0,DEP2WATTBL_29.0,DEP2WATTBL_30.0,DEP2WATTBL_38.0,DEP2WATTBL_45.0,DEP2WATTBL_46.0,DEP2WATTBL_48.0,DEP2WATTBL_51.0,DEP2WATTBL_54.0,DEP2WATTBL_60.0,DEP2WATTBL_61.0,DEP2WATTBL_64.0,DEP2WATTBL_66.0,DEP2WATTBL_68.0,DEP2WATTBL_69.0,DEP2WATTBL_73.0,DEP2WATTBL_76.0,DEP2WATTBL_77.0,DEP2WATTBL_82.0,CLAY_0.0,CLAY_0.1,CLAY_0.2,CLAY_0.5,CLAY_1.0,CLAY_1.3,CLAY_1.5,CLAY_2.0,CLAY_2.5,CLAY_3.0,CLAY_3.3000000000000003,CLAY_4.0,CLAY_4.5,CLAY_4.6000000000000005,CLAY_4.7,CLAY_5.0,CLAY_5.4,CLAY_6.0,CLAY_6.5,CLAY_7.0,CLAY_7.2,CLAY_7.3,CLAY_7.5,CLAY_8.0,CLAY_9.0,CLAY_9.200000000000001,CLAY_9.5,CLAY_10.0,CLAY_10.6,CLAY_11.5,CLAY_13.0,CLAY_15.0,CLAY_19.0,CLAY_20.2,CLAY_25.0,CLAY_27.0,CLAY_27.5,CLAY_30.0,OM_0.0,OM_0.05,OM_0.08,OM_0.1,OM_0.25,OM_0.3,OM_0.4,OM_0.7000000000000001,OM_0.75,OM_1.0,OM_1.5,OM_1.74,OM_2.0,OM_2.2,OM_2.3000000000000003,OM_2.5,OM_3.0,OM_3.35,OM_3.4,OM_3.5,OM_3.8000000000000003,OM_3.92,OM_4.0,OM_4.12,OM_4.13,OM_4.5,OM_4.97,OM_5.0,OM_5.09,OM_5.5,OM_5.75,OM_6.0,OM_6.4,OM_6.5,OM_6.7,OM_6.9,OM_7.0,OM_7.01,OM_7.75,OM_8.0,OM_8.3,OM_8.34,OM_9.5,OM_10.0,OM_11.0,OM_12.0,OM_14.0,OM_25.0,NLEACHING_,NLEACHING_High,NLEACHING_Low,NLEACHING_Moderate,NLEACHING_Not rated,COVERNAME_,COVERNAME_Bare Land,COVERNAME_Cultivated,COVERNAME_Deciduous Forest,COVERNAME_Developed Open Space,COVERNAME_Estaurine Aquatic bed,COVERNAME_Estuarine Emergent Wetland,COVERNAME_Estuarine Forested Wetland,COVERNAME_Estuarine Scrub/Shrub Wetland,COVERNAME_Evergreen Forest,COVERNAME_Grassland,COVERNAME_Impervious,COVERNAME_Palustrine Aquatic Bed,COVERNAME_Palustrine Emergent Wetland,COVERNAME_Palustrine Forested Wetland,COVERNAME_Palustrine Scrub/Shrub Wetland,COVERNAME_Pasture/Hay,COVERNAME_Scrub/Shrub,COVERNAME_Unconsolidated Shore,COVERNAME_Water,USEGENNAME_,USEGENNAME_Agriculture,USEGENNAME_Commercial,USEGENNAME_Forest,USEGENNAME_Industrial,"USEGENNAME_Mixed use, other","USEGENNAME_Mixed use, primarily commercial","USEGENNAME_Mixed use, primarily residential",USEGENNAME_Open land,USEGENNAME_Recreation,USEGENNAME_Residential - multi-family,USEGENNAME_Residential - other,USEGENNAME_Residential - single family,USEGENNAME_Right-of-way,USEGENNAME_Tax exempt,USEGENNAME_Unknown,USEGENNAME_Water,CRANBERRY_0,CRANBERRY_1,ACTIVE_0,ACTIVE_1
0,4Ponds,GT5%,LT10,0.0,1323.8239179226666,472941.3906141253,763164.7629137471,158806.80227699975,0.0,7997.3020774340175,0.0,0.0,206413.7280932836,0.0,1197820.3537069452,0.0,1375530.5805625047,8056.369569629443,5678.854553598517,13643.8920921852,0.0,0.0,0.0,0.0,1381209.4351161034,0.0,21700.26166181464,0.0,1347687.6803095343,27842.900252970067,0.0,0.0,0.0,0.0,21700.26166181464,5678.854553598517,21700.26166181464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27842.900252970067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.4030029830844,0.0,0.0,0.0,384156.4587980884,0.0,128979.36567462112,286323.9837936425,0.0,0.0,0.0,588321.3756416051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5678.854553598517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6191.6367788061125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128979.36567462112,0.0,5678.854553598517,966418.8678730472,0.0,27842.900252970067,0.0,0.0,73718.61892155283,0.0,1997.4030029830844,0.0,0.0,178570.82784031352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6058.966566646358,0.0,0.0,0.0,1381209.4351161034,13643.8920921852,8056.369569629443,1324.3850223109866,0.0,79484.44574742025,0.0,223792.7647398946,291154.1675090182,0.0,0.0,0.0,0.0,542929.5780614517,31886.257745409457,189138.9532954368,7715.981636031493,3363.943590448459,8625.004984286968,6963.198727452157,0.0,18913.783767211906,0.0,265.96620277816635,0.0,0.0,18367.253030069725,0.0,108800.98450106791,355662.829512615,0.9253025634234966,0.0,358437.7927501936,10400.76532947243,53443.00330973297,0.0,396096.8349013526,52997.238864601575,47554.45526191655,0.0,2471.963243254362,1404234.0685386178,0.0,1404234.0685386178,0.0
1,4Ponds,LE5%,LT10,0.0,378542.9769498282,36455.38485734135,37890.2265584598,28798.51421315185,0.0,489.9122506200547,0.0,0.0,22809.068661284084,0.0,459367.9461681172,0.0,66795.10327750458,9150.907607911668,0.0,27304.477249429685,0.0,0.0,0.0,0.0,66795.10327750458,0.0,36455.38485734135,0.0,43986.03461622049,22809.068661284084,0.0,0.0,0.0,0.0,36455.38485734135,0.0,36455.38485734135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22809.068661284084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32959.55023203111,0.0,408.10736852213086,37107.67443168667,0.0,0.0,0.0,19769.284623578907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14298.605770402586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.10736852213086,0.0,0.0,43577.92724769836,0.0,22809.068661284084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9150.907607911668,0.0,0.0,0.0,66795.10327750458,27304.477249429685,9150.907607911668,378926.5266945553,0.0,4392.044335868328,0.0,29591.268280634024,2185.741038040227,0.0,0.0,0.0,0.0,4739.8641826313,3352.168300514813,1335.8417111679864,87410.64991902772,11612.283853330671,8059.081608143529,3009.5453750141223,0.0,645.9006297981142,0.0,325842.625515767,0.0,0.0,0.0,0.0,0.0,47880.42702324299,230.51067396173528,0.0,18002.011451276776,27886.02354056169,127.14460687789884,0.0,28617.6895092887,256.25571367118334,8524.659682193478,0.0,350652.2925488634,482177.0146363808,0.0,482177.0146363808,0.0
2,AbnerPond,GT5%,LT10,0.0,13557.736638436005,4211.326933363768,94175.40367104889,128429.36369982205,0.0,95210.47164557478,0.0,0.0,0.0,0.0,335584.3025882455,0.0,322026.5659498095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322026.5659498095,0.0,0.0,0.0,322026.5659498095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,112152.23559771302,0.0,0.0,0.0,0.0,0.0,0.0,209874.33035209644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322026.5659498095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322026.5659498095,0.0,0.0,13557.736638436005,0.0,568.9924803971737,0.0,37442.32896454698,1694.7711150970656,0.0,0.0089396048229285,0.0,0.0,247097.12964164224,14742.624316404434,11876.439872800674,1718.0828617231005,0.0,7649.094940234225,0.0,0.0,1118.1278537490955,0.0,11676.690566634376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212899.4707135795,0.0,122684.82083925468,0.0,0.0,335584.29673892865,0.0,335584.29673892865,0.0
3,AbnerPond,LE5%,LT10,0.0,45108.91646109127,0.0,0.0,1427.5547860282202,0.0,4474.854603764647,0.0,0.0,0.0,0.0,51011.32585088414,0.0,5902.409389792867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5902.409389792867,0.0,0.0,0.0,5902.409389792867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5335.711227012359,0.0,0.0,0.0,0.0,0.0,0.0,566.6981627805078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5902.409389792867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5902.409389792867,0.0,0.0,45108.91646109127,0.0,518.1815500090792,0.0,1030.8924747303377,189.5643519863365,0.0,151.6907425430886,0.0,0.0,1534.9301112571704,74.5824232900731,167.6241790800974,1448.0060659802498,0.0,0.0,0.0,0.0,0.0,0.0,45895.85716235048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.231570043720232,0.0,51003.0974911832,0.0,0.0,51011.32682216819,0.0,51011.32682216819,0.0
4,AdamsvilleBrook,GT5%,LT10,7007353.1200682325,155.68673286237436,3125747.938588844,3775184.128955011,135981.8423115767,39938.25167645783,0.0,7007353.1200682325,816712.9254659029,1615655.5927640093,0.0,4644639.33003484,7007353.1200682325,321416.12155031506,1.725106386283184,443122.6722490509,467917.5703085209,1904909.5151090475,1221254.5309794764,2718235.1285502585,7007353.1200682325,3890697.737566724,155.68673286237436,3186154.423965166,7007353.1200682325,0.0,1221913.4048766354,1067141.4344903142,321411.0192291491,0.0,0.0,2119012.989474852,2347373.31346094,9126366.109543083,0.0,1067141.4344903142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147778.50846093576,0.0,1073476.0225185405,0.0,0.0,690343.052420354,0.0,1657687.8208879803,0.0,1.3140497638279458,0.0,0.0,0.0,0.0,7007353.1200682325,0.0,0.0,4.541645426942869,0.0,0.0,0.0,122480.30698282448,0.0,0.0,321411.0192291491,1.3140497638279458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4193305.480578838,0.0,0.0,0.0,1651093.6940599445,443121.3581992871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7007353.1200682325,122483.12352186516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.9762183249596,0.0,0.0,0.0,0.0,0.0,668933.1029552033,64192.37215835793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177814.548438874,321411.0192291491,27150.69132092901,0.0,0.0,0.0,4348773.983223696,0.0,0.0,0.0,0.0,7007353.1200682325,2611281.3428722774,3186152.6988587794,1279418.1198008328,155.68673286237436,7011936.444739694,19453.83785725081,332154.5526921012,3690789.057226571,249111.2779173216,0.0,0.0,0.0,0.0,63773.72640261452,174864.08451424126,168770.0758118836,1497.4210725881835,6269.67437493359,1683469.3178090495,31445.428378934463,518900.1100866164,128234.54698387468,0.0,3691.393516105582,7011936.444739694,1403042.9484174375,99251.92318680068,0.0,0.0,0.0,0.0,3328.871139821896,1633205.7805339089,0.0,279555.7357298991,2489750.5971991783,921119.5937338778,104445.04314791686,0.0,138724.0115552451,0.0,14084360.975414151,0.0,14084360.975414151,0.0
5,AdamsvilleBrook,LE5%,LT10,635448.8549203954,92291.50503426214,31972.891865582285,48599.23899129345,0.0,0.0,0.0,635448.8549203954,18128.690792599868,31675.11287173897,0.0,123059.83222679904,635448.8549203954,56897.15200809366,8342.581111287014,35052.816912154354,5501.619961695402,31675.11287173897,0.0,0.0,635448.8549203954,66727.92978389331,92291.50503426214,13844.201072982416,635448.8549203954,0.0,18128.690792599868,5501.619961695402,0.0,0.0,0.0,8342.581111287014,48599.23899129345,643791.4360316824,5501.619961695402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48599.23899129345,0.0,18128.690792599868,0.0,0.0,0.0,0.0,635448.8549203954,0.0,0.0,40862.13609763153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18128.690792599868,0.0,0.0,0.0,0.0,0.0,5501.619961695402,0.0,31675.11287173897,0.0,0.0,0.0,0.0,16924.126119554487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635448.8549203954,32519.55498634452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75025.84280069353,0.0,0.0,0.0,0.0,5501.619961695402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56941.82010258047,0.0,0.0,0.0,0.0,635448.8549203954,35052.816912154354,0.0,45519.31394472138,92291.50503426214,638356.5272352906,26.749156880626916,0.0,78138.0719562429,36492.60948657081,0.0,0.0,0.0,0.0,12356.470264296777,5179.665839678561,22500.61348149857,117.62187893917012,285.8674061376698,9326.26075720226,0.0,0.0,5166.433564115038,0.0,365.61603678664994,638356.5272352906,0.0,81846.8161496514,0.0,0.0,0.0,0.0,0.0,20015.300184509266,0.0,8958.613415591228,0.0,42704.57317898848,12032.87588472144,0.0,4397.801014887227,0.0,808312.4929307565,0.0,808312.4929307565,0.0
6,AgawamReservoirN,GT5%,GT10,0.0,0.0,0.0,126067.26908506996,140838.33979953363,0.0,26886.483267973163,0.0,20718.249799319132,20483.749959450997,0.0,252590.09239380664,0.0,293792.0921525768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293792.0921525768,0.0,0.0,0.0,273073.84235325764,0.0,0.0,20718.249799319132,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,40236.51325449174,0.0,0.0,20483.749959450997,0.0,0.0,0.0,212353.57913931488,0.0,0.0,0.0,0.0,20718.249799319132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252590.09239380664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41201.99975877013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293792.0921525768,0.0,0.0,0.0,0.0,2530.4560126567085,0.0,53980.961455764045,2470.3516204384664,0.0,0.0,0.0,0.0,189976.17014929277,26147.69695887025,5678.609473867812,0.0,0.0,0.0,0.0,0.0,13007.876510873975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31506.629976762968,36825.42642465428,0.0,0.0,0.0,218345.02375868068,0.0,7115.042021666047,0.0,0.0,293792.10542725044,0.0,293792.10542725044,0.0
7,AgawamReservoirN,GT5%,LT10,0.0,3372.142277429572,8443.203677621665,76435.8779889713,163613.1130746181,0.0,437130.31224772485,0.0,0.0,48420.9196505385,8443.203677621665,632130.5259382054,0.0,677179.3033113143,0.0,0.0,8443.203677621665,0.0,0.0,0.0,0.0,677179.3033113143,0.0,8443.203677621665,0.0,677179.3033113143,0.0,0.0,0.0,0.0,0.0,8443.203677621665,0.0,8443.203677621665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463739.28043806896,0.0,11400.15938562027,56864.12332816017,0.0,3188.4427978700955,0.0,150430.50103921647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8443.203677621665,11400.15938562027,0.0,0.0,614169.7814772854,0.0,0.0,3188.4427978700955,0.0,0.0,0.0,0.0,0.0,0.0,48420.9196505385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677179.3033113143,8443.203677621665,0.0,3372.142277429572,0.0,78649.03025403435,6717.653396993483,84126.84168624268,2011.8345497135424,0.0,0.0,0.0,0.0,363049.21722777234,90417.76964168444,32516.78154543726,1107.7066977890147,0.0,0.0,0.0,0.0,29393.61359216194,0.0,1004.158382722306,0.0,185737.07246389423,0.0,0.0,0.0,15607.92925325134,0.0,89059.39160259198,68304.4009827283,19745.578732559254,0.0,0.0,154558.6507139479,519.806665618343,155461.77655996007,0.0,0.0,682295.6285222096,6699.011023679483,682295.6285222096,6699.011023679483
8,AgawamReservoirN,LE5%,LT10,0.0,73862.47032438264,346.66712963524134,0.0,685.5000579714642,0.0,971.3739309779504,0.0,0.0,0.0,346.66712963524134,75519.34431333205,0.0,1656.8739889494143,0.0,0.0,346.66712963524134,0.0,0.0,0.0,0.0,1656.8739889494143,0.0,346.66712963524134,0.0,1656.8739889494143,0.0,0.0,0.0,0.0,0.0,346.66712963524134,0.0,346.66712963524134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.3739309779504,0.0,21.364699689243903,346.66712963524134,0.0,42.51628604807849,0.0,621.6190722341418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.66712963524134,21.364699689243903,0.0,0.0,1592.993003212092,0.0,0.0,42.51628604807849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656.8739889494143,346.66712963524134,0.0,73862.47032438264,0.0,43.641627197063386,166.6982077373242,504.5008124066137,0.0,0.0,0.0,0.0,0.0,796.2740590376253,238.96577592230545,0.0,1718.5289984930112,0.0,0.0,0.0,0.0,56.94979045158574,0.0,72340.452321319,0.0,736.1033849520235,0.0,0.0,0.0,75087.39175885814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.51644875435869,0.0,0.0,75671.3117257828,194.699412299096,75671.3117257828,194.699412299096
9,AgawamReservoirS,GT5%,GT10,0.0,9250.3745662775,12399.676839574568,361278.6511813128,96993.42669391414,0.0,202118.85319445125,0.0,32159.40641802735,228819.47187861125,0.0,421062.1041788916,0.0,660659.664588702,0.0,0.0,0.0,0.0,0.0,12130.943320550596,0.0,660659.664588702,0.0,12130.943320550596,0.0,627989.9265796368,510.331591037965,12130.943320550596,32159.40641802735,0.0,0.0,0.0,0.0,12130.943320550596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.331591037965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312123.38878281595,12130.943320550596,0.0,228819.47187861125,0.0,0.0,0.0,87557.39750924754,0.0,0.0,0.0,0.0,32159.40641802735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399680.7862920635,0.0,510.331591037965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260468.54670560063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12130.943320550596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660659.664588702,12130.943320550596,0.0,9250.3745662775,0.0,161.45105040310105,0.0,81194.01412482544,5673.706019216381,0.0,0.0,0.0,0.0,529307.5100709804,34970.49638069117,15024.36890959045,3563.79929869236,204.93304708475827,0.0,0.0,0.0,4935.895553294234,0.0,7004.793406095519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682040.9678608738,0.0,0.0,0.0,0.0,682040.9906533938,0.0,682040.9906533938,0.0
