SUBW_NAME,ele5pct,Travel_Tim,SLOPE_,SLOPE_0,SLOPE_A,SLOPE_B,SLOPE_C,SLOPE_D,SLOPE_E,FRMLNDCLS_,FRMLNDCLS_All areas are prime farmland,FRMLNDCLS_Farmland of statewide importance,FRMLNDCLS_Farmland of unique importance,FRMLNDCLS_Not prime farmland,HYDROLGRP_,HYDROLGRP_A,HYDROLGRP_A/D,HYDROLGRP_B,HYDROLGRP_B/D,HYDROLGRP_C,HYDROLGRP_C/D,HYDROLGRP_D,HYDRCRATNG_,HYDRCRATNG_No,HYDRCRATNG_Unranked,HYDRCRATNG_Yes,DRAINCLASS_,DRAINCLASS_Excessively drained,DRAINCLASS_Moderately well drained,DRAINCLASS_Poorly drained,DRAINCLASS_Somewhat excessively drained,DRAINCLASS_Somewhat poorly drained,DRAINCLASS_Subaqueous,DRAINCLASS_Very poorly drained,DRAINCLASS_Well drained,DEP2WATTBL_0.0,DEP2WATTBL_5.0,DEP2WATTBL_8.0,DEP2WATTBL_10.0,DEP2WATTBL_15.0,DEP2WATTBL_23.0,DEP2WATTBL_29.0,DEP2WATTBL_30.0,DEP2WATTBL_38.0,DEP2WATTBL_45.0,DEP2WATTBL_46.0,DEP2WATTBL_48.0,DEP2WATTBL_51.0,DEP2WATTBL_54.0,DEP2WATTBL_60.0,DEP2WATTBL_61.0,DEP2WATTBL_64.0,DEP2WATTBL_66.0,DEP2WATTBL_68.0,DEP2WATTBL_69.0,DEP2WATTBL_73.0,DEP2WATTBL_76.0,DEP2WATTBL_77.0,DEP2WATTBL_82.0,CLAY_0.0,CLAY_0.1,CLAY_0.2,CLAY_0.5,CLAY_1.0,CLAY_1.3,CLAY_1.5,CLAY_2.0,CLAY_2.5,CLAY_3.0,CLAY_3.3000000000000003,CLAY_4.0,CLAY_4.5,CLAY_4.6000000000000005,CLAY_4.7,CLAY_5.0,CLAY_5.4,CLAY_6.0,CLAY_6.5,CLAY_7.0,CLAY_7.2,CLAY_7.3,CLAY_7.5,CLAY_8.0,CLAY_9.0,CLAY_9.200000000000001,CLAY_9.5,CLAY_10.0,CLAY_10.6,CLAY_11.5,CLAY_13.0,CLAY_15.0,CLAY_19.0,CLAY_20.2,CLAY_25.0,CLAY_27.0,CLAY_27.5,CLAY_30.0,OM_0.0,OM_0.05,OM_0.08,OM_0.1,OM_0.25,OM_0.3,OM_0.4,OM_0.7000000000000001,OM_0.75,OM_1.0,OM_1.5,OM_1.74,OM_2.0,OM_2.2,OM_2.3000000000000003,OM_2.5,OM_3.0,OM_3.35,OM_3.4,OM_3.5,OM_3.8000000000000003,OM_3.92,OM_4.0,OM_4.12,OM_4.13,OM_4.5,OM_4.97,OM_5.0,OM_5.09,OM_5.5,OM_5.75,OM_6.0,OM_6.4,OM_6.5,OM_6.7,OM_6.9,OM_7.0,OM_7.01,OM_7.75,OM_8.0,OM_8.3,OM_8.34,OM_9.5,OM_10.0,OM_11.0,OM_12.0,OM_14.0,OM_25.0,NLEACHING_,NLEACHING_High,NLEACHING_Low,NLEACHING_Moderate,NLEACHING_Not rated
,GT5%,,25.231442974080252,1627.8776035447038,2313.2037847337187,4710.16685607198,2693.368032700485,720.3493454679667,575.4649717920453,25.231442974080252,1086.8701592808738,2489.4992471127166,83.17421614193879,8930.45803769646,25.231442974080252,7502.329101800712,445.233075831565,745.0234926640885,246.0823166263153,1265.213217859872,392.98214000456767,456.6482836398612,25.231442974080252,9981.685554688078,1420.9229877519194,983.6964184206714,25.231442974080252,6323.866299896577,781.7559283172427,255.83651721217134,376.2940954138513,17.147594729811328,0.0,738.3895488656219,2472.091988673473,852.1916700075471,0.34581196971704875,148.54413411527483,0.0,413.8236436800389,1.2402492587496146,0.0,6.605996043463087,79.63539564267282,1.2847347847372395,145.4407198254722,54.59180471644335,269.0657855044022,35.811313697409766,171.77936968597473,409.95129231132626,201.5106842315984,780.4605580852436,6.414163543527195,17.487009380942865,2.971947648172402,151.62149729689975,5.439090455170004,199.21635936666365,1052.77923904247,565.4451409769387,0.0,198.7206066520141,2177.302384478395,54.17890364639794,103.63465072190867,928.5981100432922,524.8457955927358,1269.503551289304,40.15986641633579,1243.5248562500772,113.82289126590409,14.279414276233169,114.93134980078477,92.41254216729067,243.24151360867168,60.165650821005656,113.70540162652323,1534.2383378793616,0.0,16.47663080667362,141.684422388957,477.77407390713455,119.34579585019021,0.0,1.2847347847372395,2.241432298878884,0.0,4.586093947052564,17.147594729811328,12.832926622870698,0.0,0.0,0.0,0.0,0.0,6.863616488269803,25.231442974080252,115.71949816186529,993.8995141053501,413.8236436800389,69.7499679654869,0.0,0.0,0.0,91.63424751468325,70.52833547049312,533.4084618702858,15.791649815776255,395.0165869855456,2448.4508691531028,0.0,202.10368027864712,1260.0282928689078,18.26466475677635,136.32360362540288,537.0688018005892,1.770506469286044,2.207385644481641,363.6591991772516,273.12801238609404,468.1692130713029,1.9786834095476378,0.0,0.34581196971704875,337.57371647069255,604.0152520691697,16.47663080667362,40.8230251654683,0.0,0.0,0.0,151.62149729689975,1.248551945173652,259.5824849091694,40.517655452171,0.0,54.17890364639794,13.297949961827936,89.72410002104888,1221.9786848828794,2.131101989782369,44.69022467931847,0.0,0.0,25.231442974080252,8960.348186989993,615.6343069438002,1389.399479174955,1675.0486212021508
,LE5%,,0.0,2030.2138851500417,622.0418377701259,228.21303965324648,251.80218095559874,81.29250783955213,36.925843873335324,0.0,47.315622961144456,172.85421488441506,15.317062579247319,2755.239764790064,0.0,585.4670641839202,545.6796224897003,48.898966573725346,24.349708705774834,1.756224000953441,1.8071420289624363,571.7393302226582,0.0,669.9651525878721,553.5463557092191,1084.2139664010047,0.0,499.26562009442245,78.66351865695798,8.843113664222802,16.497541735783557,24.730819348430686,563.7562535448114,511.6145991919703,50.807652752277534,1082.3346675782288,0.0,0.35857883027332443,0.0,164.10577940958862,0.0,0.0,1.52071999250248,25.59812739880907,0.0,1.306286482357654,0.2765365936052061,11.437646628403474,20.44900944056295,3.912503408840512,1.756224000953441,32.171250367205076,18.984582691882963,0.9173728505757366,10.63840377353529,0.14976695173842214,1.7439288748968687,0.0,0.0,199.09106129480827,165.84970828448547,0.0,260.4516517162506,538.5027226184867,2.240348627442414,0.16218881044095435,165.42479900424408,29.709383053693223,68.88812185152746,10.919626521697728,99.57597376290023,3.4924678441768044,0.0,0.0,0.0,5.577915214085829,0.0,0.0,26.27433256857123,0.0,0.0,3.4327427855071613,13.18962062900083,18.984582691882963,0.0,0.0,0.0,0.0,0.0,24.730819348430686,0.0,84.14276132826056,0.0,0.0,0.0,0.0,0.0,0.0,4.485971285113484,95.34115544546927,164.10577940958862,0.2765365936052061,0.0,315.94920468852445,60.06414863042586,0.0,26.754709207650794,133.47171076173476,0.0,39.39647937656731,183.73902271669928,0.0,32.171250367205076,77.03836329622301,0.0,24.487124172768578,15.793887785861575,0.0,0.0,40.714083670688204,5.577915214085829,20.007359554948913,0.9398339785840553,0.0,0.0,0.0,92.20836317285058,0.0,13.46995665501339,0.0,0.0,0.0,1.7439288748968687,0.0,0.0,10.919626521697728,0.0,2.240348627442414,0.7774419087721093,0.0,275.9147252415874,0.0,23.767395680319524,84.14276132826056,0.0,0.0,645.2343332394415,31.39556578388995,513.7929664207338,2060.066429797835
 ,GT5%,LT10,487831.6980532184,9549469.021251144,40016759.35693623,62357369.392383195,12636828.195774598,2123604.776737069,111382.72572627962,487831.6980532184,11998110.046605023,35685952.71418337,203805.02296491395,78897843.69002642,487831.6980532184,21982247.91030697,6152369.929571011,1765875.7061958055,11093992.547798477,37520142.472249396,16706199.007556602,22652300.38919272,487831.6980532184,77460713.7245512,8968685.490559982,39785230.723006174,487831.6980532184,13032628.602036225,18906299.6212501,11172632.938531535,6770165.020678193,0.0,0.0,28726029.928030673,38638188.33703064,29213861.62608389,209290.3549809982,10505493.408299685,0.0,45292.15615522745,0.0,344417.0316948179,0.0,113432.14355603396,0.0,2534405.1176748658,0.0,14171793.889881736,0.0,0.0,7157046.398819595,1312498.807079539,31217805.3706126,0.0,756422.4845494065,81474.6591015186,0.0,0.0,0.0,1541194.7579604154,45292.15615522745,0.0,5267359.104500291,765995.0480958241,0.0,183628.72900618907,12174998.159879195,104015.20082402673,3221760.123232716,4779953.271583517,4326710.701834421,0.0,49691.944325863486,0.0,0.0,1990211.7490946758,322722.49853703217,158297.30609788664,64565985.23533881,0.0,0.0,12.718637172454077,12532278.227787819,947683.1401648765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487831.6980532184,5695990.212136512,971888.4008056785,45292.15615522745,0.0,0.0,0.0,0.0,104015.20082402673,387433.751971103,0.0,0.0,194906.80265755256,0.0,0.0,1312498.807079539,3380057.4293306028,79653.1498597266,0.0,854670.997519339,0.0,0.0,1383618.718500187,1990211.7490946758,765995.0480958241,0.0,0.0,209290.3549809982,6354324.801761553,10103000.657293854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15374877.057761597,4779953.271583517,17397.001310663363,0.0,0.0,0.0,55678638.96039455,0.0,3433427.3611996183,0.0,0.0,487831.6980532184,45013278.76723139,33537002.5820102,38695663.09831579,9549469.021251144
 ,LE5%,LT10,17.44473208496188,13671376.921521235,2156083.6583906235,90771.20421054178,86331.02571150105,29743.21314682444,849.1494635865029,17.44473208496188,32299.386435431497,73647.74056048213,0.0,15927003.042383088,17.44473208496188,148690.35407898432,2119486.7371463943,6859.167064119533,427.2681765778777,64239.16152243452,12493.25777643005,12552.712242020321,17.44473208496188,231311.53335808477,35522.39509368017,2132466.7175649926,17.44473208496188,99101.00420531277,40367.56656263519,8888.646103351959,21834.002550395664,0.0,0.0,2123578.0714616403,70008.96003974116,2123595.5161937256,0.0,8827.67246637933,0.0,22486.065805249083,0.0,60.97363697262961,0.0,0.0,0.0,2628.125284263927,0.0,9865.132492166122,0.0,0.0,12164.57209219153,1475.3902124241417,58312.371867820686,0.0,621.3846265418351,25309.550026968107,0.0,0.0,0.0,69974.65880018534,22486.065805249083,0.0,2125641.470105402,1712.0302245695439,0.0,0.0,55048.2670454737,0.0,0.0,4019.3220417637694,2645.7817785578704,0.0,467.9839202710577,0.0,0.0,17814.680508631893,0.0,0.0,84321.51458850685,0.0,0.0,0.0,4556.606669079609,6237.782437577698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.44473208496188,9071.670641435385,44647.66404113227,22486.065805249083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25309.550026968107,0.0,0.0,1475.3902124241417,0.0,0.0,0.0,1360.524450682305,0.0,0.0,1591.79171042548,17814.680508631893,1712.0302245695439,0.0,0.0,0.0,10767.212095722782,54395.97786485635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12235.949847653386,4019.3220417637694,0.0,0.0,0.0,0.0,2186966.8996535367,0.0,2024.3971520160353,0.0,0.0,17.44473208496188,178050.25992286744,12979.980418598198,2172748.0105816117,13671376.921521235
4Ponds,GT5%,LT10,0.0,1323.8239179226666,472941.3906141253,763164.7629137471,158806.80227699975,0.0,7997.3020774340175,0.0,0.0,206413.7280932836,0.0,1197820.3537069452,0.0,1375530.5805625047,8056.369569629443,5678.854553598517,13643.8920921852,0.0,0.0,0.0,0.0,1381209.4351161034,0.0,21700.261661814642,0.0,1347687.6803095345,27842.900252970067,0.0,0.0,0.0,0.0,21700.261661814642,5678.854553598517,21700.261661814642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27842.900252970067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.4030029830844,0.0,0.0,0.0,384156.45879808837,0.0,128979.36567462113,286323.9837936425,0.0,0.0,0.0,588321.3756416051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5678.854553598517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6191.6367788061125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128979.36567462113,0.0,5678.854553598517,966418.8678730471,0.0,27842.900252970067,0.0,0.0,73718.61892155283,0.0,1997.4030029830844,0.0,0.0,178570.82784031352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6058.966566646358,0.0,0.0,0.0,1381209.4351161034,13643.8920921852,8056.369569629443,1324.3850223109866
4Ponds,LE5%,LT10,0.0,378542.9769498282,36455.38485734135,37890.2265584598,28798.514213151855,0.0,489.9122506200547,0.0,0.0,22809.068661284084,0.0,459367.94616811717,0.0,66795.10327750458,9150.907607911668,0.0,27304.477249429685,0.0,0.0,0.0,0.0,66795.10327750458,0.0,36455.38485734135,0.0,43986.03461622049,22809.068661284084,0.0,0.0,0.0,0.0,36455.38485734135,0.0,36455.38485734135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22809.068661284084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32959.55023203111,0.0,408.10736852213086,37107.67443168667,0.0,0.0,0.0,19769.284623578907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14298.605770402586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.10736852213086,0.0,0.0,43577.92724769836,0.0,22809.068661284084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9150.907607911668,0.0,0.0,0.0,66795.10327750458,27304.477249429685,9150.907607911668,378926.5266945553
AbnerPond,GT5%,LT10,0.0,13557.736638436005,4211.326933363768,94175.40367104887,128429.36369982205,0.0,95210.47164557478,0.0,0.0,0.0,0.0,335584.3025882455,0.0,322026.5659498095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322026.5659498095,0.0,0.0,0.0,322026.5659498095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,112152.23559771302,0.0,0.0,0.0,0.0,0.0,0.0,209874.33035209644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322026.5659498095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322026.5659498095,0.0,0.0,13557.736638436005
AbnerPond,LE5%,LT10,0.0,45108.91646109127,0.0,0.0,1427.5547860282202,0.0,4474.8546037646465,0.0,0.0,0.0,0.0,51011.32585088414,0.0,5902.409389792867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5902.409389792867,0.0,0.0,0.0,5902.409389792867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5335.711227012359,0.0,0.0,0.0,0.0,0.0,0.0,566.6981627805078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5902.409389792867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5902.409389792867,0.0,0.0,45108.91646109127
AdamsvilleBrook,GT5%,LT10,7007353.1200682325,155.68673286237436,3125747.938588844,3775184.128955011,135981.8423115767,39938.25167645783,0.0,7007353.1200682325,816712.9254659029,1615655.5927640093,0.0,4644639.33003484,7007353.1200682325,321416.12155031506,1.725106386283184,443122.6722490509,467917.5703085209,1904909.5151090475,1221254.5309794764,2718235.1285502585,7007353.1200682325,3890697.737566724,155.68673286237436,3186154.423965166,7007353.1200682325,0.0,1221913.4048766354,1067141.4344903142,321411.0192291491,0.0,0.0,2119012.9894748516,2347373.3134609396,9126366.109543085,0.0,1067141.4344903142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147778.50846093576,0.0,1073476.0225185405,0.0,0.0,690343.052420354,0.0,1657687.8208879805,0.0,1.3140497638279458,0.0,0.0,0.0,0.0,7007353.1200682325,0.0,0.0,4.541645426942869,0.0,0.0,0.0,122480.30698282449,0.0,0.0,321411.0192291491,1.3140497638279458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4193305.480578838,0.0,0.0,0.0,1651093.6940599445,443121.3581992871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7007353.1200682325,122483.12352186516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.9762183249596,0.0,0.0,0.0,0.0,0.0,668933.1029552033,64192.37215835793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177814.548438874,321411.0192291491,27150.69132092901,0.0,0.0,0.0,4348773.983223696,0.0,0.0,0.0,0.0,7007353.1200682325,2611281.3428722774,3186152.6988587794,1279418.1198008328,155.68673286237436
AdamsvilleBrook,LE5%,LT10,635448.8549203954,92291.50503426214,31972.891865582285,48599.23899129345,0.0,0.0,0.0,635448.8549203954,18128.690792599868,31675.112871738966,0.0,123059.83222679903,635448.8549203954,56897.15200809366,8342.581111287014,35052.816912154354,5501.619961695402,31675.112871738966,0.0,0.0,635448.8549203954,66727.92978389331,92291.50503426214,13844.201072982416,635448.8549203954,0.0,18128.690792599868,5501.619961695402,0.0,0.0,0.0,8342.581111287014,48599.23899129345,643791.4360316824,5501.619961695402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48599.23899129345,0.0,18128.690792599868,0.0,0.0,0.0,0.0,635448.8549203954,0.0,0.0,40862.13609763153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18128.690792599868,0.0,0.0,0.0,0.0,0.0,5501.619961695402,0.0,31675.112871738966,0.0,0.0,0.0,0.0,16924.126119554487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635448.8549203954,32519.55498634452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75025.84280069353,0.0,0.0,0.0,0.0,5501.619961695402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56941.82010258047,0.0,0.0,0.0,0.0,635448.8549203954,35052.816912154354,0.0,45519.31394472138,92291.50503426214
