,count,mean,std,min,25%,50%,75%,max
NO32TN,86.0,0.3972882808255813,0.21791098861355646,0.020376176,0.22434674775,0.38411181650000004,0.56253495675,1.0
TN,86.0,0.9873255813953488,0.4941076018049335,0.258,0.671,0.885,1.15275,2.988
Qmeas,86.0,15773.04391511628,31759.36603660115,97.0,1368.25,3847.5,13734.75,217352.2767
Qdiff,86.0,8.18292289279651,36.578802717241516,-100.0,-5.47257508175,1.9990984745,11.0713365525,191.6764361
NO3,86.0,0.44881860465116286,0.438777229156511,0.013,0.1485,0.316,0.5762499999999999,2.207
Atten,86.0,30.721511627906978,23.874473866328042,-57.0,13.0,33.0,51.0,76.0
Yr_Start,86.0,2003.6511627906978,1.7807298032017524,1999.0,2002.0,2003.0,2005.0,2006.0
Yr_End,86.0,2004.7790697674418,1.7177356010385405,2000.0,2004.0,2005.0,2006.0,2007.0
Year,86.0,2004.2151162790697,1.7363597785130134,1999.5,2003.125,2004.0,2005.5,2006.5
Lat,86.0,41.65726024767441,0.13014289772230644,41.326807,41.5920375,41.6556425,41.7140985,41.98991
Lon,86.0,-70.45491298372093,0.3360149439352459,-71.126612,-70.7087295,-70.43442049999999,-70.20332675,-69.967575
Shape_Area,86.0,7858683.168180086,13369942.445616968,52454.1545716615,795483.3972559655,2301231.1310821073,8547206.822117828,66378363.55232455
SLOPE_,86.0,0.5967349690150765,5.533892445567262,0.0,0.0,0.0,0.0,51.31920733529658
SLOPE_0,86.0,8.225999695260194,10.70093690925711,0.0,1.146655602310291,4.485843642468518,10.652227960619536,67.09514796829117
SLOPE_A,86.0,26.30446230452209,17.866808365683422,0.0,11.544398592766276,24.84565058889646,37.9163675982495,80.55864816203787
SLOPE_B,86.0,31.51637317929689,17.323870470402756,0.0,19.582810893194367,29.719808116324206,41.8300717664017,76.64252128570705
SLOPE_C,86.0,16.932914688310483,16.261702725813848,0.0,2.8318919468811012,14.093458176872959,25.025255174586448,59.0493356667101
SLOPE_D,86.0,7.639699899305374,9.305340269053,0.0,0.2849183804941441,4.269378491945818,11.68204616747054,41.04994368325791
SLOPE_E,86.0,0.7910531512639533,3.341550296682387,0.0,0.0,0.0,0.0,18.87825048903109
FRMLNDCLS_,86.0,0.5967349690150765,5.533892445567262,0.0,0.0,0.0,0.0,51.31920733529658
FRMLNDCLS_All_areas_are_prime_farmland,86.0,10.57600864054888,13.356221522461539,0.0,0.0,3.35680200142977,18.44589761742333,58.088701453353785
FRMLNDCLS_Farmland_of_statewide_importance,86.0,14.147366791671095,17.649745223371696,0.0,1.3794359433455383,7.401219661804456,21.785378759697025,92.76142257366875
FRMLNDCLS_Farmland_of_unique_importance,86.0,2.9991062135802085,4.883668491920237,0.0,0.0,1.4105384291888186,4.07466692534623,29.472593443336365
FRMLNDCLS_Not_prime_farmland,86.0,63.68655701515127,25.312228739670797,0.6679530290068567,48.99648636111057,66.63643149861896,83.13484283131874,100.00000251312797
HYDROLGRP_,86.0,0.5967349690150765,5.533892445567262,0.0,0.0,0.0,0.0,51.31920733529658
HYDROLGRP_A,86.0,54.902895361774725,29.299942408512855,0.0184791388383182,32.46164843492204,64.2177510166328,77.3396730364195,99.8763544950693
HYDROLGRP_A/D,86.0,2.521754643877625,4.9817742393531,0.0,0.0,0.42230700955659656,2.741620263949628,28.23455651618635
HYDROLGRP_B,86.0,5.558631710593833,11.198985472741557,0.0,0.0,0.06403263645969395,3.9723158880039424,63.6541497779873
HYDROLGRP_B/D,86.0,6.862182099852275,8.41564623088438,0.0,1.5027299856072358,4.167967892703693,9.474246213070987,49.13324869024736
HYDROLGRP_C,86.0,4.508592457914616,9.823902130714503,0.0,0.0,0.0,1.9007070525837948,37.84760360901087
HYDROLGRP_C/D,86.0,3.4753910746512866,7.313767259400193,0.0,0.0,0.0,0.8141275178084177,29.46064780631825
HYDROLGRP_D,86.0,5.464636174546286,13.40289217080644,0.0,0.0,0.0,0.6429892892365643,70.94245348646477
HYDRCRATNG_,86.0,0.5967349690150765,5.533892445567262,0.0,0.0,0.0,0.0,51.31920733529658
HYDRCRATNG_No,86.0,68.40168286564489,21.15455249534908,0.5476376567790473,56.3548643933801,74.21487096187289,83.99028541194156,99.98963505969569
HYDRCRATNG_Unranked,86.0,7.490631381422926,10.619987319925752,0.0,0.31909085123886427,3.363893430961542,10.2149420333944,65.06778383906348
HYDRCRATNG_Yes,86.0,14.74952786731295,14.938370951691468,0.0,3.5571882459361874,9.232325011094563,23.18261140558922,72.90963943061044
DRAINCLASS_,86.0,0.5967349690150765,5.533892445567262,0.0,0.0,0.0,0.0,51.31920733529658
DRAINCLASS_Excessively_drained,86.0,46.24509237448393,29.00733795214844,0.0,23.796802056316405,49.192077911171694,73.19671843258509,99.8763544950693
DRAINCLASS_Moderately_well_drained,86.0,4.256166769499648,7.016037229500165,0.0,0.0,0.5775743803600268,5.153581874879731,29.46064780631825
DRAINCLASS_Poorly_drained,86.0,2.9387881057321246,7.426671891097038,0.0,0.0,0.019790217831756798,1.9818977547779841,53.53037758213199
DRAINCLASS_Somewhat_excessively_drained,86.0,3.610142467343047,6.917689088837542,0.0,0.0,0.0,4.471122372255107,32.920925961076435
DRAINCLASS_Somewhat_poorly_drained,86.0,0.13137963036520836,0.9873022537075258,0.0,0.0,0.0,0.0,8.851649388839808
DRAINCLASS_Subaqueous,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRAINCLASS_Very_poorly_drained,86.0,11.810739761580823,11.067553653231709,0.0,3.428944738601773,8.275144644527568,15.148359570564505,49.13324869024736
DRAINCLASS_Well_drained,86.0,14.158901623953035,17.700680258064356,0.0,0.0,4.595226052645066,27.919005811418653,63.6541497779873
DEP2WATTBL_0,86.0,11.965256550508139,12.529055838060858,0.0,3.0375016185793116,7.061611954168924,16.40425591655299,65.60378542067482
DEP2WATTBL_5,86.0,0.009232677015863631,0.061678780846462763,0.0,0.0,0.0,0.0,0.5247411894085658
DEP2WATTBL_8,86.0,2.762286961159256,7.4176453620054055,0.0,0.0,0.0,1.1082851464683077,53.53037758213199
DEP2WATTBL_10,86.0,0.005426771824082283,0.03490766722790901,0.0,0.0,0.0,0.0,0.2603957811319319
DEP2WATTBL_15,86.0,0.08873355184433178,0.7005553051532915,0.0,0.0,0.0,0.0,6.496702320575884
DEP2WATTBL_23,86.0,0.1440172369110427,0.823915058355536,0.0,0.0,0.0,0.0,7.0011854786453815
DEP2WATTBL_29,86.0,0.009070476047931594,0.049356674699306886,0.0,0.0,0.0,0.0,0.3310541017337432
DEP2WATTBL_30,86.0,0.3075111234102457,1.0876831559623448,0.0,0.0,0.0,0.0,8.4393649907073
DEP2WATTBL_38,86.0,0.21323803676852107,1.1354526382963683,0.0,0.0,0.0,0.0,8.851649388839808
DEP2WATTBL_45,86.0,0.2599371765277298,0.9676646886486193,0.0,0.0,0.0,0.0,4.989451377229264
DEP2WATTBL_46,86.0,3.1563071718003086,11.931765650303777,0.0,0.0,0.0,0.1897369241820648,75.60876038236988
DEP2WATTBL_48,86.0,0.05903006948180564,0.49596505884832426,0.0,0.0,0.0,0.0,4.578173193236219
DEP2WATTBL_51,86.0,1.7987296614404864,4.879068329223276,0.0,0.0,0.0,0.0,26.65224760269565
DEP2WATTBL_54,86.0,0.05825557654680888,0.44365696361296936,0.0,0.0,0.0,0.0,4.025714801952843
DEP2WATTBL_60,86.0,2.2027560460955713,7.537647388063522,0.0,0.0,0.0,0.0,48.37901005011497
DEP2WATTBL_61,86.0,3.649093401567205,10.060257028837867,0.0,0.0,0.0,0.0,68.49176531508603
DEP2WATTBL_64,86.0,0.7047912810181498,1.6827118346228713,0.0,0.0,0.0,0.45258278976203425,8.442161925699693
