embFID,EMBAY_NAME,embayshed_area_ha,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Septic_Tar,Total_Targ,MEP_Source,MEP_Sept_T,MEP_Total_,MEP_Septic,MEP_Tota_1,EMBAY_ID,Shape_Leng,Shape_Area,CCC_Nload_Total,MEP_WAL_kgd,MEP_thresh_kgd,MEP_reduction_pct,septic_kgy,wwtf_kgy,fertilizer_kgy,impervious_kgy,water_kgy,natural_kgy,buildout_kgy,unatten_plus_estuary_kgy,atten_plus_estuary_kgy,atten_kgy,loading_rate_kghay,unatten_plus_buildout_kgy,atten_plus_buildout_kgy,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,bogsurf_area_ha,bogshed_area_ha,bog_count,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,NO3_removal_kgN_y_walton2020_a,NO3_removal_kgN_y_walton2020_b,NO3_removal_kgN_y_land2016_a,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_NO3_removal_kgN_y_walton2020_a,marg_NO3_removal_kgN_y_walton2020_b,marg_NO3_removal_kgN_y_land2016_a,marg_TN_removal_kgN_y_1,marg_TN_removal_kgN_y_2,marg_TN_removal_kgN_y_3,marg_TN_removal_kgN_y_1_MEP,marg_TN_removal_kgN_y_2_MEP,marg_TN_removal_kgN_y_3_MEP,TN_removal_kgN_y_1,TN_removal_kgN_y_2,TN_removal_kgN_y_3,TN_removal_kgN_y_1_MEP,TN_removal_kgN_y_2_MEP,TN_removal_kgN_y_3_MEP,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
2,BarnstableHarbor,8771.098471846923,65741,9732,10770,11421,97666,10971,75572,92434,7,75572,92434,-283.9,-211.9,714,220441.72698880098,219380593.60325742,97666,181.427,253.242,39.60%,53984,274,4813,5247,1903,3842,16326,73613,66221,66266.21175,7.555064165,89939,82547,11.134979308861249,7.5550641647335635,9.411249943773365,21.851708360558987,837.35,11,473.66999999999996,15867.811156741958,8976.062710472279,0.6363403146917169,0.8096818978136237,0.9901047565720298,0.06886973706158725,0.178216044198383,0.3848037828098644,4613.209971218293,916.52205909885,549.5404370762737,507.76421960984567,344.0629245733965,2627.837194505453,532.8470307371387,345.8144246565245,314.6962103250629,204.02722294812244,1236.2963637449193,999.9942575721254,1630.6679707258045,1683.3431319608205,1359.4912958285113,2114.2530974116225,2155.988793810474,1951.0210824616483,2284.277265256038,2956.1017944060454,1257.1831101438306,1926.5071370694493,3578.6072429093465,6326.232978339649
3,BassRiver,4779.487101658365,91114,8662,11748,2606,114651,14474,25618,41792,7,25618,41792,464.6,366.3,721,167259.64598057637,105354810.54731461,114651,217.819,114.487,-47.40%,72512,1795,7293,7292,5594,1453,8247,95939,84068,79558.38975,16.6458007,104186,92315,23.98813880263824,16.645800701584736,19.314834005508448,28.18357888944428,207.76,7,207.83,3937.059110198494,3938.385612594114,0.657645583152771,0.839762670653207,1.0822821600096566,0.09940586664846965,0.24927347046988352,0.4978584349155426,1379.4218081624908,410.53206364190356,310.47358934607064,248.0394763728747,158.27245810110614,1379.8286773752357,410.65283788471356,310.5785985834056,248.1122658184048,158.31898267735693,670.9009918285427,682.2106944742897,1143.7506859189373,1683.6734762761857,1427.5400260444128,2591.589201942981,670.709615289057,681.90437652707,1143.3747098541717,1683.1273148500497,1427.6460959387075,2591.7838510224706,3459.496759810356,3458.331553761245
5,BournesPond,604.4674301358305,7632,2776,1690,1226,13323,1529,394,1296,2,394,1296,189.9,161.39999999999998,210,53819.509686867874,21196487.363199063,13323,14.95,NA,-100.00%,5573,1,485,502,723,242,1261,7526,6711,5460.4875,9.033551235,8787,7972,22.040889774666894,9.033551234965577,13.188469059794675,8.73960877813729,349.48,1,349.48,6622.657960301164,6622.657960301164,0.6723121404647827,0.7637391090393066,0.8494621515274048,0.21072643995285034,0.3137483596801758,0.44565021991729736,1847.4282505989745,758.9340082130242,455.8442883891723,432.5014723479087,287.515267836676,1847.4282505989745,758.9340082130242,455.8442883891723,432.5014723479087,287.515267836676,901.5345090713612,702.8594431032715,1120.9836631682056,1540.620292587681,1048.1086926280386,1762.3857995429685,901.5345090713612,702.8594431032715,1120.9836631682056,1540.620292587681,1048.1086926280386,1762.3857995429685,3157.04548559577,3157.04548559577
7,CentervilleRiver,2778.93803438895,48278,5008,6413,4548,63166,7996,25847,34833,4,25847,34833,73.1,59.8,428,77848.76964844904,54096623.89113688,63166,123.558,92.113,-25.40%,48493,47,3155,3972,5156,921,3107,61745,48277,45129.5595,16.23985815,64852,51384,22.730265741204022,16.23985815499602,18.49051665209175,14.097969998047821,314.8,8,314.88,5965.4707734428475,5966.986776180698,1.0778418108820915,1.474371775984764,1.8225095868110657,0.6634234115481377,0.9427222833037376,1.2697565332055092,4129.96791031196,2887.738362820817,1149.1370360883304,923.1011025995791,864.4360216014243,4130.784299451758,2888.2603670035282,1149.4392475707737,923.2942420574287,864.5943617754875,1928.9240469221038,1317.9776936328208,2121.919220759432,2391.561718324306,1608.6884101591888,2669.2642526255668,1928.5460477630213,1317.5170029168296,2121.425257383575,2390.9607421766336,1608.806339296075,2669.4806646253387,5113.606535845147,5112.307347192747
10,GreatPond,3334.852706885451,25721,5758,5128,4099,40705,6013,3207,7195,2,3207,7195,179.3,143.7,222,86735.18734086401,75112671.44295387,40705,53.01,NA,-100.00%,21202,539,1700,2319,3128,1302,4781,30196,21833,19361.9025,5.80592434,34977,26614,12.205936386922463,5.80592433963383,7.980562363384214,25.731219754876697,5238.91,10,1530.02,99277.52379192335,28993.931362080766,0.656500768661499,0.7396307229995728,0.823435926437378,0.09233756624162197,0.14855408817529678,0.23057300895452498,27043.655355768562,5599.056456689798,2541.4575912079354,2439.9174256128267,1944.0194430048691,7814.93354341452,1469.5372175861364,710.3588817996607,813.4927480059969,551.6653589569543,3733.87601459766,1942.8944618301866,3539.9280191090797,4243.45089387818,2645.0483082512583,3887.9078398472448,12826.970660709432,10812.88280711959,7408.174162121913,14411.127233936057,2110.424279135683,2906.818192947806,8883.180358126552,30416.715082151066
12,GreenPond,641.4920314206738,9152,3662,1849,1268,15932,1767,2376,3708,1,2376,3708,65.2,54.6,113,49536.96809773583,21861270.17590606,15932,22.36,NA,-100.00%,8458,499,909,688,763,281,949,11598,8941,8166.99,12.73124154,12547,9890,24.835850204898662,12.73124154311482,15.417182935378342,23.8304905979942,382.32,1,382.33,7244.977084188912,7245.166584531144,0.6764546036720276,0.7583640217781067,0.833292543888092,0.14885225892066956,0.21730023622512817,0.3028472661972046,2006.8040176181535,575.0259434295202,429.1084047375248,348.90324979301096,221.98035246132943,2006.8565077839207,575.0409838653705,429.11962853969936,348.9121555277981,221.9861165700712,1006.4835855281485,878.1142691088172,1490.4694047526752,2441.17835202271,1739.762397608857,3224.3755250950826,1006.4572605317965,878.086554420924,1490.4391325839254,2441.114501988655,1739.773912126747,3224.396655410361,4867.535579179089,4867.408266763658
15,HerringRiverHarwich,3865.655609802233,26832,3843,4339,8144,43776,5336,8669,17511,3,8669,17511,47.1,27.7,348,48915.00981203222,69706754.6847993,43776,62.816,47.945,-23.70%,24589,158,7206,2532,6432,1352,9729,41340,23164,22943.544,5.935227117,51069,32893,11.324340401404662,5.9352271169272095,8.50903528927731,70.14041282240524,1468.42,27,714.47,27826.60925393566,13539.23095140315,0.5297591907006723,0.682065502361015,0.864480220609241,0.07597212469274248,0.15582231908208793,0.2947487511016704,7460.620647280149,1824.2099002197854,1004.1356231581569,834.1661475274024,636.4559665009183,3958.7359778560226,1273.4862546202553,645.8296296133483,516.7460087565572,427.10855454286644,1847.9065252233027,1459.2050025289057,2332.283353915149,1983.26734571103,1738.817192376492,2635.077186276718,3510.8360297616373,3541.4641127607056,4029.442956782056,4107.839274570866,1611.2415254915622,2400.962819617679,4240.541718230983,8715.406203038254
16,LewisBay,3534.098850186387,57533,4751,11773,1700,75755,9787,20216,48941,8,20216,48941,174.79999999999998,79.89999990463001,936,130152.14676782783,84358071.58828473,75755,133.909,97.822,-26.90%,34909,12367,3084,4937,6100,1107,17237,62504,56327,48910.26225,13.83952864,79741,73564,21.43545022686751,13.83952863894016,20.815490205125492,8.012414978627243,86.65,1,86.66,1642.020465434634,1642.2099657768651,0.9011310935020447,1.0066884756088257,1.1201483011245728,0.3058455288410187,0.42167192697525024,0.537798285484314,603.7593747022302,252.89688431775426,181.00052051583216,152.31154322510213,97.40967751407783,603.8290526450693,252.9260703401798,181.0214092083325,152.32856614124137,97.42081279455299,293.9625575568339,287.4268934450613,483.1789115031729,583.8724664229511,496.44339355079387,885.1397288683736,293.92863619085693,287.38742481542255,483.13471958087456,583.8050913402806,496.4559109954145,885.1626996565427,1199.3335518505544,1199.195156564165
21,NamskaketCreek,629.7390435089897,4515,503,1015,1897,7931,961,0,16750,1,0,16750,0,-261.8,122,22246.68424290042,18157877.95244492,7931,12.685,45.89,261.80%,3916,1196,455,433,1040,381,5331,7421,5834,4633.19625,7.357327289,12752,11165,12.594105577140992,7.357327289385163,17.729566103742172,3.568260038412783,2.61,5,2.66,49.45958932238193,50.40709103353868,0.7017144799232483,0.8603034973144531,1.0763261556625365,0.19717011898756026,0.3728320598602295,0.597366464138031,15.387574512383939,6.334668658449054,6.271321971864564,3.9304902053251434,2.4618555798624104,15.685304045217038,6.463696513565183,6.399059548429531,4.01039752884831,2.511971578310356,7.146457099999137,12.486375251124924,20.343772158222386,8.918479111886437,15.143456331403343,24.97584919054564,7.01109742782665,12.221235856492935,20.004371930540785,8.751208032138475,15.177076860972633,25.037546292971566,19.570490589764532,19.202624225295274
25,ParkersRiver,1127.474830983997,29886,2965,3424,1388,37577,4701,804,4912,4,804,4912,384,321.5,504,65014.837557038154,29074083.3286659,37577,67.022,13.459,-79.90%,22821,145,1973,1881,1163,419,13272,28402,25221,24479.7855,21.71204609,41674,38493,33.328460172547615,21.712046093867492,34.14089515985511,24.64318198969267,1160.84,4,726.45,21997.95772758385,13766.252361396304,0.6631582975387573,0.8673451095819473,1.0824746489524841,0.08484885469079018,0.21787337586283684,0.438469834625721,6786.1829879117695,1577.9325696990838,924.6836120712845,841.8091857720025,584.8864875109625,4407.072028882422,1136.1939365857368,625.0732125243783,580.7357538233999,415.6945269299492,2105.6612100825814,1399.190745778307,2232.754648136281,7537.088761919668,3463.3213428462745,6213.141762327608,3275.9171271809946,2749.722110040277,3498.271610267473,12176.329545460892,3184.950664614141,5702.303162600398,15772.71588489004,25204.21158760514
